Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.005711,918,0,0,8,217,152,1,70,253,111,253,111
0.006627,914,0,0,8,217,152,1,70,253,111,253,111
0.016984,299,0,0,1,3,,,,,,,
0.017985,915,0,0,8,0,0,0,0,0,0,0,0
0.018951,802,0,0,8,2,169,0,0,55,255,255,255
0.025753,729,0,0,8,0,0,0,47,0,0,0,0
0.026735,827,0,0,8,43,255,3,150,0,0,0,0
0.035884,560,0,0,8,3,54,54,8,0,0,0,0
0.036877,726,0,0,8,0,0,0,0,0,0,0,0
0.038791,767,0,0,8,0,144,0,0,255,255,255,255
0.039796,792,0,0,8,0,0,0,0,0,0,255,0
0.046980,918,0,0,8,217,152,1,70,253,111,253,111
0.047919,914,0,0,8,217,152,1,70,253,111,253,111
0.048868,590,0,0,8,255,255,16,0,0,0,90,90
0.049826,594,0,0,8,3,0,16,15,128,15,127,139
0.051357,1028,0,0,8,253,5,191,255,255,255,255,255
0.057685,915,0,0,8,0,0,0,0,0,0,0,0
0.058674,707,0,0,8,0,0,0,0,0,0,255,0
0.065762,729,0,0,8,0,0,0,47,0,0,0,0
0.068003,448,0,0,6,0,0,0,128,0,4,,
0.068984,917,0,0,8,3,255,7,255,0,0,240,0
0.075619,720,0,0,6,0,1,0,3,0,67,,
0.078305,290,0,0,4,4,2,0,0,,,,
0.085769,918,0,0,8,217,152,1,70,253,111,253,111
0.086696,914,0,0,8,217,152,1,70,253,111,253,111
0.088704,584,0,0,8,0,0,255,255,255,3,255,255
0.089639,736,0,0,8,64,192,0,255,89,94,97,94
0.090174,825,0,0,2,0,90,,,,,,
0.091105,992,0,0,8,1,84,53,76,78,51,52,48
0.097929,915,0,0,8,0,0,0,0,0,0,0,0
0.098624,456,0,0,4,0,0,0,0,,,,
0.099621,762,0,0,8,0,1,0,24,0,0,0,0
0.105774,729,0,0,8,0,0,0,47,0,0,0,0
0.108661,690,0,0,8,255,255,255,0,20,4,255,0
0.115422,830,0,0,2,0,0,,,,,,
0.117373,299,0,0,1,3,,,,,,,
0.118727,802,0,0,8,2,162,0,0,55,255,255,255
0.119716,855,0,0,8,0,0,0,0,0,0,0,0
0.125775,918,0,0,8,217,152,1,70,253,111,253,111
0.126733,827,0,0,8,42,255,3,150,0,0,0,0
0.127659,914,0,0,8,217,152,1,70,253,111,253,111
0.128806,818,0,0,8,0,80,216,80,60,9,255,25
0.138066,915,0,0,8,0,0,0,0,0,0,0,0
0.139066,767,0,0,8,0,144,0,0,255,255,255,255
0.140075,792,0,0,8,0,0,0,0,0,0,255,0
0.141084,1029,0,0,8,253,10,191,255,255,255,255,255
0.145778,729,0,0,8,0,0,0,47,0,0,0,0
0.148785,590,0,0,8,255,255,16,0,0,0,90,90
0.149756,594,0,0,8,3,0,16,15,128,7,127,137
0.158689,707,0,0,8,0,0,0,0,0,0,255,0
0.165778,918,0,0,8,217,152,1,70,253,111,253,111
0.166704,914,0,0,8,217,152,1,70,253,111,253,111
0.168457,706,0,0,4,19,136,146,0,,,,
0.177976,915,0,0,8,0,0,0,0,0,0,0,0
0.178656,290,0,0,4,4,2,0,0,,,,
0.179642,562,0,0,8,255,64,0,255,0,0,0,0
0.185792,729,0,0,8,0,0,0,47,0,0,0,0
0.190458,992,0,0,8,2,52,49,57,0,0,0,0
0.196493,727,0,0,8,32,0,0,0,0,0,0,0
0.197917,860,0,0,6,0,0,16,64,20,0,,
0.200845,798,0,0,6,0,64,0,192,0,0,,
0.205763,918,0,0,8,217,152,1,70,253,111,253,111
0.206691,914,0,0,8,217,152,1,70,253,111,253,111
0.217045,299,0,0,1,3,,,,,,,
0.218043,915,0,0,8,0,0,0,0,0,0,0,0
0.219020,802,0,0,8,2,160,0,0,55,255,255,255
0.225802,729,0,0,8,0,0,0,47,0,0,0,0
0.226765,827,0,0,8,41,255,3,150,0,0,0,0
0.236028,726,0,0,8,0,0,0,0,0,0,0,0
0.238713,767,0,0,8,0,144,0,0,255,255,255,255
0.239722,792,0,0,8,0,0,0,0,0,0,255,0
0.240704,1034,0,0,8,253,44,191,255,255,255,255,255
0.245767,918,0,0,8,217,152,1,70,253,111,253,111
0.246693,914,0,0,8,217,152,1,70,253,111,253,111
0.248733,590,0,0,8,255,255,16,0,0,0,90,90
0.249696,594,0,0,8,3,0,16,15,128,15,127,139
0.258340,915,0,0,8,0,0,0,0,0,0,0,0
0.259326,707,0,0,8,0,0,0,0,0,0,255,0
0.265815,729,0,0,8,0,0,0,47,0,0,0,0
0.269422,448,0,0,6,0,0,0,128,0,4,,
0.274412,752,0,0,2,1,0,,,,,,
0.278323,290,0,0,4,4,2,0,0,,,,
0.285807,918,0,0,8,217,152,1,70,253,111,253,111
0.286734,914,0,0,8,217,152,1,70,253,111,253,111
0.288661,736,0,0,8,64,192,0,255,89,94,97,94
0.290411,992,0,0,8,0,49,67,54,83,82,70,72
0.297981,915,0,0,8,0,0,0,0,0,0,0,0
0.305825,729,0,0,8,0,0,0,47,0,0,0,0
0.308633,690,0,0,8,255,255,255,0,20,4,255,0
0.317042,299,0,0,1,3,,,,,,,
