Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.000739,876,0,0,8,130,29,47,93,96,139,120,75
0.001664,594,0,0,8,3,0,16,13,128,15,127,139
0.002649,896,0,0,8,0,132,240,192,0,0,0,0
0.003633,832,0,0,8,255,255,253,0,2,128,0,0
0.004560,908,0,0,8,233,7,11,13,17,50,0,47
0.005561,915,0,0,8,0,0,0,0,0,0,0,0
0.006447,923,0,0,8,246,27,47,93,117,139,120,75
0.007447,729,0,0,8,0,0,0,108,0,0,0,0
0.008447,928,0,0,8,0,0,0,0,0,0,0,0
0.009401,996,0,0,8,193,223,153,114,133,0,0,0
0.010390,707,0,0,8,0,0,0,0,0,0,255,0
0.011422,812,0,0,8,0,0,0,0,0,0,0,0
0.012399,946,0,0,8,64,0,102,0,0,255,255,0
0.013364,990,0,0,8,190,30,30,0,3,97,209,2
0.014341,995,0,0,8,253,12,16,65,33,32,0,0
0.015950,760,0,0,8,255,255,255,0,32,37,40,0
0.016628,978,0,0,4,23,24,176,0,,,,
0.025722,290,0,0,4,4,2,0,0,,,,
0.026691,810,0,0,8,2,0,2,0,0,32,216,43
0.027652,827,0,0,8,45,255,2,49,0,0,0,0
0.028578,918,0,0,8,217,152,1,70,253,111,253,111
0.029507,914,0,0,8,217,152,1,70,253,111,253,111
0.030473,946,0,0,8,64,0,104,0,0,255,255,0
0.034829,1087,0,0,8,253,1,63,255,255,255,255,255
0.035932,736,0,0,8,64,192,0,255,89,94,97,94
0.036760,930,0,0,6,0,10,30,1,0,1,,
0.040043,915,0,0,8,0,0,0,0,0,0,0,0
0.045936,557,0,0,8,116,0,0,0,0,0,0,0
0.046936,729,0,0,8,0,0,0,108,0,0,0,0
0.047622,856,0,0,4,4,0,0,0,,,,
0.048599,946,0,0,8,64,0,102,0,0,255,255,0
0.055903,690,0,0,8,255,255,255,0,20,4,255,0
0.056880,911,0,0,8,25,255,255,255,3,1,1,1
0.062663,992,0,0,8,2,52,49,57,0,0,0,0
0.066013,774,0,0,8,0,0,0,0,0,0,0,0
0.066943,918,0,0,8,217,152,1,70,253,111,253,111
0.067877,778,0,0,8,132,128,0,136,252,15,0,103
0.068802,914,0,0,8,217,152,1,70,253,111,253,111
0.069772,802,0,0,8,2,71,0,0,55,255,255,255
0.070749,946,0,0,8,64,0,104,0,0,255,255,0
0.076099,984,0,0,8,1,0,100,250,4,35,0,0
0.080189,915,0,0,8,0,0,0,0,0,0,0,0
0.083532,299,0,0,1,3,,,,,,,
