Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.000630,729,0,0,8,0,0,0,108,0,0,0,0
0.001616,792,0,0,8,0,0,0,0,0,0,255,0
0.009551,590,0,0,8,255,255,16,0,0,0,90,90
0.010544,726,0,0,8,0,0,0,0,0,0,0,0
0.011485,594,0,0,8,3,0,16,13,128,15,127,139
0.019605,707,0,0,8,0,0,0,0,0,0,255,0
0.020536,918,0,0,8,217,152,1,70,253,111,253,111
0.021756,914,0,0,8,217,152,1,70,253,111,253,111
0.024628,827,0,0,8,47,255,2,72,0,0,0,0
0.031963,735,0,0,8,132,0,0,0,0,0,0,0
0.033341,915,0,0,8,0,0,0,0,0,0,0,0
0.034597,560,0,0,8,3,54,54,8,0,0,0,0
0.039390,290,0,0,4,4,2,0,0,,,,
0.040387,729,0,0,8,0,0,0,108,0,0,0,0
0.049404,736,0,0,8,64,192,0,255,89,94,97,94
0.059653,918,0,0,8,217,152,1,70,253,111,253,111
0.061297,1082,0,0,8,253,62,191,255,255,255,255,255
0.062227,914,0,0,8,217,152,1,70,253,111,253,111
0.069492,690,0,0,8,255,255,255,0,20,4,255,0
0.073897,915,0,0,8,0,0,0,0,0,0,0,0
0.078777,992,0,0,8,1,84,53,76,78,51,52,48
0.079785,729,0,0,8,0,0,0,108,0,0,0,0
0.080763,802,0,0,8,2,63,0,0,55,255,255,255
0.097863,299,0,0,1,3,,,,,,,
0.099551,767,0,0,8,0,142,0,0,255,255,255,255
0.100481,918,0,0,8,217,152,1,70,253,111,253,111
0.101482,792,0,0,8,0,0,0,0,0,0,255,0
0.102408,914,0,0,8,217,152,1,70,253,111,253,111
0.109549,590,0,0,8,255,255,16,0,0,0,90,90
0.110503,594,0,0,8,3,0,16,13,128,15,127,137
0.113079,915,0,0,8,0,0,0,0,0,0,0,0
0.119669,707,0,0,8,0,0,0,0,0,0,255,0
0.120669,729,0,0,8,0,0,0,108,0,0,0,0
0.124588,827,0,0,8,46,255,2,72,0,0,0,0
0.129325,706,0,0,4,19,136,146,0,,,,
0.138265,752,0,0,2,1,0,,,,,,
0.139679,918,0,0,8,217,152,1,70,253,111,253,111
0.140364,290,0,0,4,4,2,0,0,,,,
0.141328,562,0,0,8,255,78,0,255,0,0,0,0
0.142258,914,0,0,8,217,152,1,70,253,111,253,111
0.153543,915,0,0,8,0,0,0,0,0,0,0,0
0.159754,729,0,0,8,0,0,0,108,0,0,0,0
0.161207,1086,0,0,8,253,63,4,15,0,0,0,1
0.171893,727,0,0,8,32,0,0,0,0,0,0,0
0.172437,761,0,0,2,0,0,,,,,,
0.178840,992,0,0,8,2,52,49,57,0,0,0,0
0.179774,918,0,0,8,217,152,1,70,253,111,253,111
0.180760,802,0,0,8,2,65,0,0,55,255,255,255
0.181811,914,0,0,8,217,152,1,70,253,111,253,111
0.193327,915,0,0,8,0,0,0,0,0,0,0,0
0.194458,448,0,0,6,0,0,0,128,0,4,,
0.197859,299,0,0,1,3,,,,,,,
0.199547,767,0,0,8,0,142,0,0,255,255,255,255
0.200548,729,0,0,8,0,0,0,108,0,0,0,0
0.201548,792,0,0,8,0,0,0,0,0,0,255,0
0.209547,590,0,0,8,255,255,16,0,0,0,90,90
0.210539,726,0,0,8,0,0,0,0,0,0,0,0
0.211485,594,0,0,8,3,0,16,13,128,15,127,139
0.219586,707,0,0,8,0,0,0,0,0,0,255,0
0.220516,918,0,0,8,217,152,1,70,253,111,253,111
0.221834,914,0,0,8,217,152,1,70,253,111,253,111
0.224561,827,0,0,8,46,255,2,72,0,0,0,0
0.229561,917,0,0,8,3,255,7,255,0,0,240,0
0.233376,915,0,0,8,0,0,0,0,0,0,0,0
0.239394,290,0,0,4,4,2,0,0,,,,
0.240395,729,0,0,8,0,0,0,108,0,0,0,0
0.249128,1087,0,0,8,253,1,63,255,255,255,255,255
0.250121,584,0,0,8,0,0,255,255,255,3,255,255
0.251055,736,0,0,8,64,192,0,255,89,94,97,94
0.251591,825,0,0,2,0,90,,,,,,
0.259173,456,0,0,4,0,0,0,0,,,,
0.260103,918,0,0,8,217,152,1,70,253,111,253,111
0.261080,762,0,0,8,0,0,200,24,0,0,200,0
0.262006,914,0,0,8,217,152,1,70,253,111,253,111
0.269494,690,0,0,8,255,255,255,0,20,4,255,0
0.273252,915,0,0,8,0,0,0,0,0,0,0,0
0.278794,992,0,0,8,0,49,67,54,83,82,70,72
0.279763,802,0,0,8,2,66,0,0,55,255,255,255
0.281050,729,0,0,8,0,0,0,108,0,0,0,0
0.283156,925,0,0,8,45,0,0,0,0,0,0,0
0.289561,818,0,0,8,0,80,216,80,151,9,255,25
0.297868,299,0,0,1,3,,,,,,,
0.299386,855,0,0,8,0,0,0,0,0,0,0,0
0.300367,767,0,0,8,0,142,0,0,255,255,255,255
0.301297,918,0,0,8,217,152,1,70,253,111,253,111
0.302297,792,0,0,8,0,0,0,0,0,0,255,0
0.303223,914,0,0,8,217,152,1,70,253,111,253,111
0.309553,590,0,0,8,255,255,16,0,0,0,90,90
0.310510,594,0,0,8,3,0,16,13,128,7,127,139
0.313873,915,0,0,8,0,0,0,0,0,0,0,0
0.319590,707,0,0,8,0,0,0,0,0,0,255,0
0.320591,729,0,0,8,0,0,0,108,0,0,0,0
0.324560,827,0,0,8,46,255,2,72,0,0,0,0
0.329188,706,0,0,4,19,136,146,0,,,,
0.339332,290,0,0,4,4,2,0,0,,,,
0.340262,918,0,0,8,217,152,1,70,253,111,253,111
0.341219,562,0,0,8,255,78,0,255,0,0,0,0
0.342149,914,0,0,8,217,152,1,70,253,111,253,111
0.349602,1025,0,0,8,253,3,4,15,0,0,0,1
0.353826,915,0,0,8,0,0,0,0,0,0,0,0
0.359810,729,0,0,8,0,0,0,108,0,0,0,0
0.364246,798,0,0,6,0,64,0,192,0,0,,
0.371918,727,0,0,8,32,0,0,0,0,0,0,0
0.378797,992,0,0,8,1,84,53,76,78,51,52,48
0.379629,860,0,0,6,0,0,16,64,20,0,,
0.380590,802,0,0,8,2,69,0,0,55,255,255,255
0.381517,918,0,0,8,217,152,1,70,253,111,253,111
0.382446,914,0,0,8,217,152,1,70,253,111,253,111
0.393309,915,0,0,8,0,0,0,0,0,0,0,0
0.394164,448,0,0,6,0,0,0,128,0,4,,
0.397859,299,0,0,1,3,,,,,,,
0.399532,767,0,0,8,0,142,0,0,255,255,255,255
0.400532,729,0,0,8,0,0,0,108,0,0,0,0
0.401532,792,0,0,8,0,0,0,0,0,0,255,0
0.409531,590,0,0,8,255,255,16,0,0,0,90,90
0.410524,726,0,0,8,0,0,0,0,0,0,0,0
0.411465,594,0,0,8,3,0,16,13,128,15,127,139
0.419523,707,0,0,8,0,0,0,0,0,0,255,0
0.420449,918,0,0,8,217,152,1,70,253,111,253,111
0.421882,914,0,0,8,217,152,1,70,253,111,253,111
0.424530,827,0,0,8,47,255,2,72,0,0,0,0
0.433920,915,0,0,8,0,0,0,0,0,0,0,0
0.439296,290,0,0,4,4,2,0,0,,,,
0.440297,729,0,0,8,0,0,0,108,0,0,0,0
