Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.004802,590,0,0,8,255,255,16,0,0,0,90,90
0.005752,594,0,0,8,3,0,16,13,128,7,127,139
0.012153,827,0,0,8,43,255,3,41,0,0,0,0
0.014978,707,0,0,8,0,0,0,0,0,0,255,0
0.018225,918,0,0,8,217,152,1,70,253,111,253,111
0.019512,914,0,0,8,217,152,1,70,253,111,253,111
0.030985,915,0,0,8,0,0,0,0,0,0,0,0
0.034599,290,0,0,4,4,2,0,0,,,,
0.038218,729,0,0,8,0,0,0,108,0,0,0,0
0.042304,925,0,0,8,45,0,0,0,0,0,0,0
0.044806,736,0,0,8,64,192,0,255,89,93,97,94
0.046342,1028,0,0,8,253,5,191,255,255,255,255,255
0.049516,727,0,0,8,32,0,0,0,0,0,0,0
0.058231,918,0,0,8,217,152,1,70,253,111,253,111
0.059158,992,0,0,8,0,49,67,54,83,82,70,72
0.060084,914,0,0,8,217,152,1,70,253,111,253,111
0.064835,690,0,0,8,255,255,255,0,20,4,255,0
0.070771,915,0,0,8,0,0,0,0,0,0,0,0
0.074909,802,0,0,8,2,63,0,0,55,255,255,255
0.078225,729,0,0,8,0,0,0,108,0,0,0,0
0.078691,299,0,0,1,3,,,,,,,
0.088411,726,0,0,8,0,0,0,0,0,0,0,0
0.095099,767,0,0,8,0,143,0,0,255,255,255,255
0.096108,792,0,0,8,0,0,0,0,0,0,255,0
0.098170,918,0,0,8,217,152,1,70,253,111,253,111
0.099481,914,0,0,8,217,152,1,70,253,111,253,111
0.104816,590,0,0,8,255,255,16,0,0,0,90,90
0.105777,594,0,0,8,3,0,16,13,128,15,127,139
0.107551,448,0,0,6,0,0,0,128,0,4,,
0.112008,915,0,0,8,0,0,0,0,0,0,0,0
0.112986,827,0,0,8,43,255,3,41,0,0,0,0
0.115032,707,0,0,8,0,0,0,0,0,0,255,0
0.118240,729,0,0,8,0,0,0,108,0,0,0,0
0.124473,706,0,0,4,19,136,147,0,,,,
0.131168,1029,0,0,8,253,10,191,255,255,255,255,255
0.134648,290,0,0,4,4,2,0,0,,,,
0.135626,562,0,0,8,255,68,0,255,0,0,0,0
0.138313,918,0,0,8,217,152,1,70,253,111,253,111
0.139502,914,0,0,8,217,152,1,70,253,111,253,111
0.151144,915,0,0,8,0,0,0,0,0,0,0,0
0.158246,729,0,0,8,0,0,0,108,0,0,0,0
0.159168,992,0,0,8,1,84,53,76,78,51,52,48
0.174964,802,0,0,8,2,81,0,0,55,255,255,255
0.178237,918,0,0,8,217,152,1,70,253,111,253,111
0.178703,299,0,0,1,3,,,,,,,
0.179628,914,0,0,8,217,152,1,70,253,111,253,111
0.191070,915,0,0,8,0,0,0,0,0,0,0,0
0.195035,767,0,0,8,0,143,0,0,255,255,255,255
0.196044,792,0,0,8,0,0,0,0,0,0,255,0
0.198266,729,0,0,8,0,0,0,108,0,0,0,0
0.204812,590,0,0,8,255,255,16,0,0,0,90,90
0.205762,594,0,0,8,3,0,16,13,128,15,127,139
0.212100,827,0,0,8,43,255,3,41,0,0,0,0
0.215050,707,0,0,8,0,0,0,0,0,0,255,0
0.218215,918,0,0,8,217,152,1,70,253,111,253,111
0.219197,1034,0,0,8,253,44,191,255,255,255,255,255
0.220126,914,0,0,8,217,152,1,70,253,111,253,111
0.222093,560,0,0,8,3,54,54,8,0,0,0,0
0.231168,915,0,0,8,0,0,0,0,0,0,0,0
0.232118,846,0,0,8,30,127,30,127,21,31,0,127
0.234632,290,0,0,4,4,2,0,0,,,,
0.237598,798,0,0,6,0,64,0,192,0,0,,
0.238594,729,0,0,8,0,0,0,108,0,0,0,0
0.244804,736,0,0,8,64,192,0,255,89,93,97,94
0.249573,727,0,0,8,32,0,0,0,0,0,0,0
0.250554,828,0,0,8,0,102,1,246,0,0,0,0
0.252144,826,0,0,8,23,142,86,127,127,127,127,127
0.258201,918,0,0,8,217,152,1,70,253,111,253,111
0.259162,992,0,0,8,2,52,49,57,0,0,0,0
0.260088,914,0,0,8,217,152,1,70,253,111,253,111
0.262130,782,0,0,8,68,110,28,9,7,255,7,255
0.264847,690,0,0,8,255,255,255,0,20,4,255,0
0.271178,915,0,0,8,0,0,0,0,0,0,0,0
0.274945,802,0,0,8,2,70,0,0,55,255,255,255
0.276760,672,0,0,6,0,0,0,0,0,1,,
0.278279,729,0,0,8,0,0,0,108,0,0,0,0
0.278741,299,0,0,1,3,,,,,,,
0.286912,628,0,0,8,0,0,0,0,0,0,0,0
0.288280,726,0,0,8,0,0,0,0,0,0,0,0
0.293056,752,0,0,2,1,0,,,,,,
0.295207,767,0,0,8,0,143,0,0,255,255,255,255
0.296173,785,0,0,8,3,254,3,254,3,254,0,0
0.297181,792,0,0,8,0,0,0,0,0,0,255,0
0.298213,918,0,0,8,217,152,1,70,253,111,253,111
0.299517,914,0,0,8,217,152,1,70,253,111,253,111
0.304836,590,0,0,8,255,255,16,0,0,0,90,90
0.305789,594,0,0,8,3,0,16,13,128,15,127,139
0.306755,709,0,0,8,1,91,1,29,5,0,0,0
0.308619,448,0,0,6,0,0,0,128,0,4,,
0.311482,915,0,0,8,0,0,0,0,0,0,0,0
0.312459,827,0,0,8,43,255,3,41,0,0,0,0
0.314796,1068,0,0,8,253,58,63,255,255,255,255,255
0.315781,707,0,0,8,0,0,0,0,0,0,255,0
0.316778,820,0,0,8,96,0,0,63,255,252,0,0
0.317449,969,0,0,4,90,50,0,0,,,,
0.318448,729,0,0,8,0,0,0,108,0,0,0,0
0.319401,1012,0,0,8,17,0,240,32,127,87,5,199
0.324527,706,0,0,4,19,136,147,0,,,,
0.325496,710,0,0,8,125,31,17,31,0,179,0,1
0.326481,917,0,0,8,3,255,7,255,0,0,240,0
0.334812,290,0,0,4,4,2,0,0,,,,
0.335782,562,0,0,8,255,68,0,255,0,0,0,0
0.336712,1010,0,0,8,201,2,91,33,29,32,16,6
0.338262,918,0,0,8,217,152,1,70,253,111,253,111
0.339533,914,0,0,8,217,152,1,70,253,111,253,111
0.344884,584,0,0,8,0,0,255,255,255,3,255,255
0.345884,711,0,0,8,1,0,0,0,0,0,0,0
0.346436,825,0,0,2,0,90,,,,,,
0.351107,915,0,0,8,0,0,0,0,0,0,0,0
0.354666,456,0,0,4,0,0,0,0,,,,
0.355666,762,0,0,8,0,1,0,24,0,0,0,0
0.356611,813,0,0,8,2,34,2,34,1,171,88,0
0.358299,729,0,0,8,0,0,0,108,0,0,0,0
0.359225,992,0,0,8,0,49,67,54,83,82,70,72
0.362297,738,0,0,4,0,0,0,0,,,,
0.364940,948,0,0,8,121,239,48,0,0,0,66,0
0.365937,962,0,0,8,1,0,0,0,0,0,0,112
0.366891,973,0,0,8,64,0,48,240,252,48,207,63
0.367839,1003,0,0,8,67,232,15,80,10,80,10,100
0.374930,802,0,0,8,2,71,0,0,55,255,255,255
0.375903,906,0,0,8,5,0,0,0,0,0,72,35
0.376857,1002,0,0,8,65,68,62,9,160,196,131,237
0.378326,918,0,0,8,217,152,1,70,253,111,253,111
0.378792,299,0,0,1,3,,,,,,,
0.379262,559,0,0,1,0,,,,,,,
0.380191,914,0,0,8,217,152,1,70,253,111,253,111
0.381368,579,0,0,6,0,0,0,0,0,0,,
0.383453,755,0,0,8,0,0,0,0,0,0,0,0
0.384580,769,0,0,8,0,0,0,0,0,0,0,0
0.385502,818,0,0,8,0,80,216,80,89,9,255,25
0.386494,770,0,0,8,0,2,0,0,8,0,0,0
0.387172,781,0,0,4,0,0,0,0,,,,
0.388039,783,0,0,7,5,10,10,10,10,106,1,
0.388997,897,0,0,8,181,77,62,96,0,4,0,0
0.389972,791,0,0,8,0,0,0,0,0,64,2,0
0.390579,815,0,0,3,200,0,0,,,,,
0.391347,834,0,0,5,0,0,0,0,0,,,
0.392347,915,0,0,8,0,0,0,0,0,0,0,0
0.393292,848,0,0,8,2,45,12,7,233,11,13,1
0.394285,855,0,0,8,0,0,0,0,0,0,0,0
0.395246,1001,0,0,8,1,10,20,0,36,36,0,0
0.396156,876,0,0,8,84,29,47,93,5,139,120,75
0.397137,767,0,0,8,0,143,0,0,255,255,255,255
0.398122,896,0,0,8,0,132,240,192,0,0,0,0
0.399123,729,0,0,8,0,0,0,108,0,0,0,0
0.400123,792,0,0,8,0,0,0,0,0,0,255,0
0.401057,908,0,0,8,233,7,11,13,17,45,0,1
0.401947,923,0,0,8,246,27,47,93,117,139,120,75
0.402889,1000,0,0,8,81,53,162,123,0,11,142,12
0.403889,928,0,0,8,0,0,0,0,0,0,0,0
0.404865,1082,0,0,8,253,62,191,255,255,255,255,255
0.405815,590,0,0,8,255,255,16,0,0,0,90,90
0.406775,594,0,0,8,3,0,16,13,128,7,127,139
0.407767,832,0,0,8,255,255,253,0,2,128,0,0
0.408729,996,0,0,8,193,223,153,114,133,0,0,0
0.412049,827,0,0,8,42,255,3,41,0,0,0,0
0.415085,707,0,0,8,0,0,0,0,0,0,255,0
0.416093,812,0,0,8,0,0,0,0,0,0,0,0
0.417062,990,0,0,8,190,30,30,0,3,97,209,2
0.418031,995,0,0,8,253,12,16,65,33,32,0,0
0.418956,918,0,0,8,217,152,1,70,253,111,253,111
0.419883,914,0,0,8,217,152,1,70,253,111,253,111
0.424830,760,0,0,8,255,255,255,0,32,37,40,0
0.425501,978,0,0,4,23,24,176,0,,,,
0.429684,720,0,0,6,0,1,0,3,0,67,,
0.430869,915,0,0,8,0,0,0,0,0,0,0,0
0.434681,290,0,0,4,4,2,0,0,,,,
0.435650,810,0,0,8,2,0,2,0,0,32,216,43
0.436626,946,0,0,8,64,0,102,0,0,255,255,0
0.438323,729,0,0,8,0,0,0,108,0,0,0,0
0.444794,736,0,0,8,64,192,0,255,89,94,97,94
0.445626,930,0,0,6,0,10,30,1,0,1,,
0.449626,727,0,0,8,32,0,0,0,0,0,0,0
0.454911,557,0,0,8,109,0,0,0,0,0,0,0
0.455610,856,0,0,4,4,0,0,0,,,,
0.458272,918,0,0,8,217,152,1,70,253,111,253,111
0.459190,992,0,0,8,1,84,53,76,78,51,52,48
0.460120,914,0,0,8,217,152,1,70,253,111,253,111
0.464929,690,0,0,8,255,255,255,0,20,4,255,0
0.465902,911,0,0,8,25,255,255,255,3,1,1,1
0.470870,915,0,0,8,0,0,0,0,0,0,0,0
0.474908,774,0,0,8,0,0,0,0,0,0,0,0
0.475885,802,0,0,8,2,71,0,0,55,255,255,255
0.476492,754,0,0,3,0,0,0,,,,,
0.478335,729,0,0,8,0,0,0,108,0,0,0,0
0.478796,299,0,0,1,3,,,,,,,
0.484877,778,0,0,8,132,128,0,120,252,15,0,103
0.485846,984,0,0,8,1,0,100,250,4,35,0,0
0.488333,726,0,0,8,0,0,0,0,0,0,0,0
0.490310,1086,0,0,8,253,63,4,15,0,0,0,1
0.492521,761,0,0,2,0,0,,,,,,
0.494995,767,0,0,8,0,143,0,0,255,255,255,255
0.496004,792,0,0,8,0,0,0,0,0,0,255,0
0.498266,918,0,0,8,217,152,1,70,253,111,253,111
0.499576,914,0,0,8,217,152,1,70,253,111,253,111
0.504922,590,0,0,8,255,255,16,0,0,0,90,90
0.505872,594,0,0,8,3,0,16,13,128,15,127,139
0.507982,448,0,0,6,0,0,0,128,0,4,,
0.511694,915,0,0,8,0,0,0,0,0,0,0,0
0.512671,827,0,0,8,43,255,3,41,0,0,0,0
0.515073,707,0,0,8,0,0,0,0,0,0,255,0
0.518343,729,0,0,8,0,0,0,108,0,0,0,0
0.524533,706,0,0,4,19,136,146,0,,,,
0.532221,838,0,0,2,0,0,,,,,,
0.534628,290,0,0,4,4,2,0,0,,,,
0.535605,562,0,0,8,255,68,0,255,0,0,0,0
0.538292,918,0,0,8,217,152,1,70,253,111,253,111
0.539587,914,0,0,8,217,152,1,70,253,111,253,111
0.551091,915,0,0,8,0,0,0,0,0,0,0,0
0.558354,729,0,0,8,0,0,0,108,0,0,0,0
0.559315,992,0,0,8,2,52,49,57,0,0,0,0
0.564967,1098,0,0,8,1,0,0,0,0,0,0,224
0.574851,802,0,0,8,2,73,0,0,55,255,255,255
0.575852,1100,0,0,8,113,0,0,0,0,0,0,0
0.578316,918,0,0,8,217,152,1,70,253,111,253,111
0.578777,299,0,0,1,3,,,,,,,
0.579714,914,0,0,8,217,152,1,70,253,111,253,111
0.584889,947,0,0,8,113,114,66,251,229,183,255,80
0.589208,1087,0,0,8,253,1,63,255,255,255,255,255
0.591714,915,0,0,8,0,0,0,0,0,0,0,0
0.594963,767,0,0,8,0,143,0,0,255,255,255,255
0.595970,792,0,0,8,0,0,0,0,0,0,255,0
0.598370,729,0,0,8,0,0,0,108,0,0,0,0
0.604881,590,0,0,8,255,255,16,0,0,0,90,90
0.605830,594,0,0,8,3,0,16,13,128,15,127,139
0.612000,827,0,0,8,43,255,3,41,0,0,0,0
0.614191,735,0,0,8,132,0,0,0,0,0,0,0
0.615172,707,0,0,8,0,0,0,0,0,0,255,0
0.619595,918,0,0,8,217,152,1,70,253,111,253,111
0.620990,914,0,0,8,217,152,1,70,253,111,253,111
0.631099,915,0,0,8,0,0,0,0,0,0,0,0
0.634622,290,0,0,4,4,2,0,0,,,,
0.638380,729,0,0,8,0,0,0,108,0,0,0,0
