Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.008540,767,0,0,8,0,143,0,0,255,255,255,255
0.009450,918,0,0,8,217,152,1,70,253,111,253,111
0.010450,792,0,0,8,0,0,0,0,0,0,255,0
0.011297,798,0,0,6,0,64,0,192,0,0,,
0.012223,914,0,0,8,217,152,1,70,253,111,253,111
0.013215,827,0,0,8,42,255,2,248,0,0,0,0
0.014191,1082,0,0,8,253,62,191,255,255,255,255,255
0.018678,590,0,0,8,255,255,16,0,0,0,90,90
0.019633,594,0,0,8,3,0,16,13,128,15,127,139
0.022344,915,0,0,8,0,0,0,0,0,0,0,0
0.023309,560,0,0,8,3,54,54,8,0,0,0,0
0.028543,707,0,0,8,0,0,0,0,0,0,255,0
0.029540,729,0,0,8,0,0,0,108,0,0,0,0
0.032509,846,0,0,8,30,127,30,127,21,31,0,127
0.048084,290,0,0,4,4,2,0,0,,,,
0.049340,918,0,0,8,217,152,1,70,253,111,253,111
0.050325,828,0,0,8,0,102,1,246,0,0,0,0
0.051250,914,0,0,8,217,152,1,70,253,111,253,111
0.052658,826,0,0,8,23,182,80,127,127,127,127,127
0.058436,736,0,0,8,64,192,0,255,89,94,97,94
0.062266,915,0,0,8,0,0,0,0,0,0,0,0
0.063219,782,0,0,8,68,109,28,9,7,255,7,255
0.069356,729,0,0,8,0,0,0,108,0,0,0,0
0.077788,992,0,0,8,1,84,53,76,78,51,52,48
0.078754,690,0,0,8,255,255,255,0,20,4,255,0
0.080914,727,0,0,8,32,0,0,0,0,0,0,0
0.088377,802,0,0,8,2,69,0,0,55,255,255,255
0.089225,672,0,0,6,0,0,0,0,0,1,,
0.090153,918,0,0,8,217,152,1,70,253,111,253,111
0.091083,914,0,0,8,217,152,1,70,253,111,253,111
0.092968,299,0,0,1,3,,,,,,,
0.099266,628,0,0,8,0,0,0,0,0,0,0,0
0.102889,915,0,0,8,0,0,0,0,0,0,0,0
0.107879,1086,0,0,8,253,63,4,15,0,0,0,1
0.108863,767,0,0,8,0,143,0,0,255,255,255,255
0.109865,729,0,0,8,0,0,0,108,0,0,0,0
0.110822,785,0,0,8,3,254,3,254,3,254,0,0
0.111830,792,0,0,8,0,0,0,0,0,0,255,0
0.112823,827,0,0,8,42,255,2,248,0,0,0,0
0.118798,590,0,0,8,255,255,16,0,0,0,90,90
0.119791,726,0,0,8,0,0,0,0,0,0,0,0
0.120733,594,0,0,8,3,0,16,13,128,15,127,139
0.121702,709,0,0,8,1,91,1,29,5,0,0,0
0.128578,707,0,0,8,0,0,0,0,0,0,255,0
0.129508,918,0,0,8,217,152,1,70,253,111,253,111
0.130501,820,0,0,8,96,0,0,63,255,252,0,0
0.131426,914,0,0,8,217,152,1,70,253,111,253,111
0.132092,969,0,0,4,90,50,0,0,,,,
0.133050,1012,0,0,8,17,0,240,32,127,87,5,199
0.138249,706,0,0,4,19,136,146,0,,,,
0.139212,710,0,0,8,125,31,17,31,0,179,0,1
