Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.002614,590,0,0,8,255,255,16,0,0,0,90,90
0.003567,594,0,0,8,3,0,16,13,128,7,127,139
0.004438,448,0,0,6,0,0,0,128,0,4,,
0.007357,918,0,0,8,217,152,1,70,253,111,253,111
0.008813,914,0,0,8,217,152,1,70,253,111,253,111
0.012525,707,0,0,8,0,0,0,0,0,0,255,0
0.020429,915,0,0,8,0,0,0,0,0,0,0,0
0.027339,729,0,0,8,0,0,0,108,0,0,0,0
0.032115,290,0,0,4,4,2,0,0,,,,
0.034197,1082,0,0,8,253,62,191,255,255,255,255,255
0.042038,752,0,0,2,1,0,,,,,,
0.042967,736,0,0,8,64,192,0,255,89,94,97,94
0.047359,918,0,0,8,217,152,1,70,253,111,253,111
0.048856,914,0,0,8,217,152,1,70,253,111,253,111
0.060149,915,0,0,8,0,0,0,0,0,0,0,0
0.061992,992,0,0,8,1,84,53,76,78,51,52,48
0.062956,690,0,0,8,255,255,255,0,20,4,255,0
0.067355,729,0,0,8,0,0,0,108,0,0,0,0
0.072459,802,0,0,8,2,72,0,0,55,255,255,255
0.077042,299,0,0,1,3,,,,,,,
0.078876,727,0,0,8,32,0,0,0,0,0,0,0
0.085770,827,0,0,8,42,255,2,233,0,0,0,0
0.087288,918,0,0,8,217,152,1,70,253,111,253,111
0.088840,914,0,0,8,217,152,1,70,253,111,253,111
0.092548,767,0,0,8,0,142,0,0,255,255,255,255
0.093552,792,0,0,8,0,0,0,0,0,0,255,0
0.100338,915,0,0,8,0,0,0,0,0,0,0,0
0.102631,590,0,0,8,255,255,16,0,0,0,90,90
0.103585,594,0,0,8,3,0,16,13,128,15,127,139
0.107365,729,0,0,8,0,0,0,108,0,0,0,0
0.112567,707,0,0,8,0,0,0,0,0,0,255,0
0.117365,726,0,0,8,0,0,0,0,0,0,0,0
0.122216,706,0,0,4,19,136,146,0,,,,
0.127302,918,0,0,8,217,152,1,70,253,111,253,111
0.128990,914,0,0,8,217,152,1,70,253,111,253,111
0.132156,290,0,0,4,4,2,0,0,,,,
0.133125,562,0,0,8,255,69,0,255,0,0,0,0
0.135029,1086,0,0,8,253,63,4,15,0,0,0,1
0.140917,915,0,0,8,0,0,0,0,0,0,0,0
0.147389,729,0,0,8,0,0,0,108,0,0,0,0
0.155809,828,0,0,8,0,101,1,245,0,0,0,0
0.161964,798,0,0,6,0,64,0,192,0,0,,
0.163012,992,0,0,8,2,52,49,57,0,0,0,0
0.167318,918,0,0,8,217,152,1,70,253,111,253,111
0.168826,914,0,0,8,217,152,1,70,253,111,253,111
0.172483,802,0,0,8,2,68,0,0,55,255,255,255
0.177045,299,0,0,1,3,,,,,,,
0.180357,915,0,0,8,0,0,0,0,0,0,0,0
0.185762,827,0,0,8,41,255,2,233,0,0,0,0
0.187388,729,0,0,8,0,0,0,108,0,0,0,0
0.192616,767,0,0,8,0,142,0,0,255,255,255,255
0.193625,792,0,0,8,0,0,0,0,0,0,255,0
0.195743,560,0,0,8,3,53,54,8,0,0,0,0
0.202744,590,0,0,8,255,255,16,0,0,0,90,90
0.203705,594,0,0,8,3,0,16,13,128,7,127,139
0.205377,448,0,0,6,0,0,0,128,0,4,,
0.206326,846,0,0,8,30,127,30,127,21,31,0,127
0.207343,918,0,0,8,217,152,1,70,253,111,253,111
0.208863,914,0,0,8,217,152,1,70,253,111,253,111
0.212544,707,0,0,8,0,0,0,0,0,0,255,0
0.220948,915,0,0,8,0,0,0,0,0,0,0,0
0.223261,828,0,0,8,0,101,1,245,0,0,0,0
0.225846,826,0,0,8,23,252,79,127,127,127,127,127
0.227396,729,0,0,8,0,0,0,108,0,0,0,0
0.228775,1087,0,0,8,253,1,63,255,255,255,255,255
0.232212,290,0,0,4,4,2,0,0,,,,
0.235731,782,0,0,8,68,109,28,9,7,255,7,255
0.242587,736,0,0,8,64,192,0,255,89,93,97,94
0.247330,918,0,0,8,217,152,1,70,253,111,253,111
0.248915,914,0,0,8,217,152,1,70,253,111,253,111
0.260402,915,0,0,8,0,0,0,0,0,0,0,0
0.262244,992,0,0,8,0,49,67,54,83,82,70,72
0.263209,690,0,0,8,255,255,255,0,20,4,255,0
0.267408,729,0,0,8,0,0,0,108,0,0,0,0
0.272095,672,0,0,6,0,0,0,0,0,1,,
0.273056,802,0,0,8,2,86,0,0,55,255,255,255
0.277048,299,0,0,1,3,,,,,,,
0.278937,727,0,0,8,32,0,0,0,0,0,0,0
0.282216,628,0,0,8,0,0,0,0,0,0,0,0
0.285727,827,0,0,8,41,255,2,233,0,0,0,0
