Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.005609,918,0,0,8,217,152,1,70,253,111,253,111
0.007202,914,0,0,8,217,152,1,70,253,111,253,111
0.018753,915,0,0,8,0,0,0,0,0,0,0,0
0.025455,992,0,0,8,0,49,67,54,83,82,70,72
0.026455,729,0,0,8,0,0,0,108,0,0,0,0
0.034909,1082,0,0,8,253,62,191,255,255,255,255,255
0.035878,802,0,0,8,2,76,0,0,55,255,255,255
0.036852,827,0,0,8,43,255,2,207,0,0,0,0
0.040371,299,0,0,1,3,,,,,,,
0.045579,918,0,0,8,217,152,1,70,253,111,253,111
0.047228,914,0,0,8,217,152,1,70,253,111,253,111
0.055058,767,0,0,8,0,142,0,0,255,255,255,255
0.056066,792,0,0,8,0,0,0,0,0,0,255,0
0.058564,915,0,0,8,0,0,0,0,0,0,0,0
0.065145,590,0,0,8,255,255,16,0,0,0,90,90
0.066146,729,0,0,8,0,0,0,108,0,0,0,0
0.067088,594,0,0,8,3,0,16,13,128,15,127,137
0.075108,707,0,0,8,0,0,0,0,0,0,255,0
0.085096,917,0,0,8,3,255,7,255,0,0,240,0
0.086026,918,0,0,8,217,152,1,70,253,111,253,111
0.087183,914,0,0,8,217,152,1,70,253,111,253,111
0.094663,290,0,0,4,4,2,0,0,,,,
0.098520,915,0,0,8,0,0,0,0,0,0,0,0
0.105021,584,0,0,8,0,0,255,255,255,3,255,255
0.106022,729,0,0,8,0,0,0,108,0,0,0,0
0.106952,736,0,0,8,64,192,0,255,89,94,97,94
0.107484,825,0,0,2,0,90,,,,,,
0.114742,456,0,0,4,0,0,0,0,,,,
0.115742,762,0,0,8,0,1,0,24,0,0,0,0
0.120252,448,0,0,6,0,0,0,128,0,4,,
0.121237,1086,0,0,8,253,63,4,15,0,0,0,1
0.125102,690,0,0,8,255,255,255,0,20,4,255,0
0.126028,918,0,0,8,217,152,1,70,253,111,253,111
0.126947,992,0,0,8,1,84,53,76,78,51,52,48
0.127877,914,0,0,8,217,152,1,70,253,111,253,111
0.135118,802,0,0,8,2,76,0,0,55,255,255,255
0.136229,827,0,0,8,43,255,2,207,0,0,0,0
0.138754,915,0,0,8,0,0,0,0,0,0,0,0
0.140706,299,0,0,1,3,,,,,,,
0.142237,855,0,0,8,0,0,0,0,0,0,0,0
0.145034,818,0,0,8,0,80,216,80,109,9,255,25
0.146035,729,0,0,8,0,0,0,108,0,0,0,0
0.155041,767,0,0,8,0,142,0,0,255,255,255,255
0.156049,792,0,0,8,0,0,0,0,0,0,255,0
0.157442,727,0,0,8,32,0,0,0,0,0,0,0
0.162196,761,0,0,2,0,0,,,,,,
0.165094,590,0,0,8,255,255,16,0,0,0,90,90
0.166024,918,0,0,8,217,152,1,70,253,111,253,111
0.166974,594,0,0,8,3,0,16,13,128,7,127,137
0.167900,914,0,0,8,217,152,1,70,253,111,253,111
0.175117,707,0,0,8,0,0,0,0,0,0,255,0
0.178884,915,0,0,8,0,0,0,0,0,0,0,0
0.184779,706,0,0,4,19,136,147,0,,,,
0.185775,729,0,0,8,0,0,0,108,0,0,0,0
0.194700,290,0,0,4,4,2,0,0,,,,
0.195701,726,0,0,8,0,0,0,0,0,0,0,0
0.196659,562,0,0,8,255,70,0,255,0,0,0,0
0.207003,918,0,0,8,217,152,1,70,253,111,253,111
0.208601,914,0,0,8,217,152,1,70,253,111,253,111
