ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",159,"0.078305,0.178656,0.278323,0.378482,0.478333,0.579172,0.678328,0.779183,0.878468,0.979407,1.278446,1.378949,1.478437,1.578461,1.678415,1.779911,1.87835,1.979145,2.07837,2.178934,2.278379,2.379271,2.478343,2.578528,2.678394,2.77945,2.878371,2.978377,3.078336,3.17838,3.278352,3.378346,3.478366,3.578465,3.678336,3.778462,3.878348,3.978339,4.078508,4.178445,4.278409,4.378369,4.478346,4.579081,4.678363,4.778465,4.878315,4.978359,5.078395,5.178344,5.278369,5.378369,5.47833,5.578981,5.678389,5.77859,5.878429,5.978425,6.078381,6.178364,6.27831,6.378338,6.478271,6.578309,6.678251,6.778763,6.878248,6.97825,7.078299,7.178252,7.278224,7.378374,7.478316,7.578354,7.678266,7.77868,7.87822,7.978253,8.078447,8.178239,8.27824,8.37826,8.478213,8.57828,8.678231,8.778263,8.87821,8.978229,9.078723,9.17824,9.278203,9.378209,9.478214,9.578252,9.678189,9.778502,9.8782,9.978201,10.078208,10.178221,10.278172,10.37823,10.478191,10.578258,10.678373,10.778943,10.878331,10.978247,11.078286,11.178257,11.278328,11.378224,11.478221,11.578243,11.678195,11.77827,11.878196,11.978198,12.078165,12.178206,12.278239,12.378188,12.478244,12.578265,12.678199,12.778469,12.878196,12.978183,13.078189,13.178203,13.278184,13.378193,13.478196,13.578188,13.678195,13.778317,13.878141,13.978274,14.078288,14.178278,14.278243,14.378218,14.478134,14.578216,14.678196,14.778231,14.878201,14.978214,15.078126,15.178211,15.278211,15.378168,15.478154,15.5782,15.678169,15.77823,15.878236,15.978232,16.078209"
290,0,0,4,"4,2,0,0,,,,1.179915",1,1.17893
299,0,0,1,"3,,,,,,,",160,"0.016984,0.117373,0.217045,0.317042,0.418315,0.517019,0.616965,0.716939,0.817035,0.916927,1.016934,1.216935,1.31693,1.416933,1.516937,1.616936,1.716927,1.816931,1.916937,2.017087,2.117375,2.217309,2.317016,2.417618,2.516933,2.616936,2.716933,2.81694,2.916938,3.016942,3.116968,3.216942,3.316937,3.417223,3.51694,3.616936,3.716947,3.81694,3.916944,4.016945,4.117039,4.216944,4.316945,4.41694,4.516942,4.616947,4.716945,4.816948,4.916944,5.017013,5.117167,5.217203,5.316976,5.41817,5.517053,5.617056,5.717054,5.816946,5.916945,6.016947,6.116964,6.219151,6.316952,6.417619,6.516954,6.616999,6.717057,6.817056,6.917344,7.016954,7.117158,7.21695,7.316953,7.417103,7.516957,7.616954,7.716956,7.817173,7.917093,8.016952,8.11698,8.216968,8.316954,8.416956,8.516955,8.616961,8.716959,8.816957,8.917269,9.016961,9.116958,9.216963,9.316961,9.417003,9.516958,9.616958,9.716964,9.81714,9.917038,10.017184,10.117172,10.217006,10.317073,10.417076,10.517075,10.617067,10.716961,10.816963,10.916963,11.016978,11.116966,11.216966,11.316967,11.416965,11.516964,11.616973,11.716964,11.816968,11.916969,12.016969,12.116966,12.216973,12.31697,12.416972,12.51697,12.616975,12.71697,12.819954,12.916965,13.01697,13.116969,13.217127,13.317175,13.416972,13.517123,13.616973,13.716974,13.816976,13.916975,14.016976,14.116979,14.216979,14.316976,14.416983,14.516978,14.617014,14.717079,14.817122,14.917192,15.017207,15.117031,15.217312,15.3172,15.417209,15.517046,15.616976,15.71698,15.816979,15.916986,16.01698"
448,0,0,6,"0,0,0,128,0,4,,",80,"0.068003,0.269422,0.468903,0.668043,0.866831,1.26694,1.464964,1.6639,1.863597,2.063535,2.262127,2.463571,2.665076,2.8606,3.060503,3.260489,3.460456,3.658405,3.857891,4.057297,4.256763,4.458177,4.657649,4.857109,5.054707,5.254096,5.455547,5.653587,5.852493,6.05211,6.253566,6.451742,6.651295,6.852265,7.051786,7.250399,7.44856,7.647656,7.847128,8.046622,8.248843,8.447474,8.646998,8.849019,9.049013,9.247354,9.447023,9.642811,9.841978,10.043786,10.241397,10.441508,10.644127,10.842116,11.041536,11.241465,11.43749,11.636976,11.836456,12.035881,12.235504,12.434817,12.638348,12.835696,13.03545,13.234724,13.434662,13.635053,13.835509,14.030717,14.230431,14.42947,14.631198,14.828402,15.0281,15.229268,15.428048,15.628777,15.828714,16.025764"
456,0,0,4,"0,0,0,0,,,,",31,"0.098624,0.598474,1.59853,2.099166,2.598415,3.099211,3.598403,4.098361,4.598414,5.098346,5.598657,6.098402,6.599275,7.098303,7.599199,8.098412,8.598329,9.098289,9.598336,10.098259,10.598357,11.098394,11.598357,12.098323,12.598426,13.098299,13.598345,14.098357,14.598434,15.098324,15.598388"
557,0,0,8,"104,0,0,0,0,0,0,0",17,"1.699106,2.698674,3.698629,4.698935,6.089251,6.698643,7.698591,8.698602,10.129439,10.698668,11.698623,12.634659,12.698644,13.698566,14.632789,14.698727,15.698621"
557,0,0,8,"103,0,0,0,0,0,0,0",7,"0.699044,5.6297,5.698669,9.628886,9.698551,12.088526,14.128577"
559,0,0,1,"0,,,,,,,",16,"0.61746,1.617423,2.617432,3.617431,4.617442,5.617551,6.617494,7.617446,8.617463,9.617457,10.617561,11.61746,12.617462,13.617468,14.61751,15.617472"
560,0,0,8,"3,54,54,8,0,0,0,0",28,"0.035884,0.535782,1.03569,1.535574,2.035476,2.535389,3.035291,3.535159,4.035066,4.534948,5.034848,5.534762,6.034633,6.534537,7.034437,7.534326,8.034222,8.534136,9.034014,9.533906,10.033829,10.533704,11.033611,11.533498,12.033392,12.533296,13.033184,13.533111"
560,0,0,8,"3,53,54,8,0,0,0,0",5,"14.033008,14.53292,15.032782,15.532845,16.032549"
