ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",148,"0.025722,0.125734,0.225722,0.325725,0.425651,0.525657,0.625657,0.725648,0.82561,0.925757,1.025645,1.125608,1.22559,1.325623,1.425586,1.525613,1.62568,1.725696,1.825683,1.925748,2.025624,2.125648,2.225616,2.325621,2.425612,2.525629,2.625601,2.725624,2.825628,2.925742,3.025627,3.125647,3.225565,3.325596,3.425576,3.525624,3.625574,3.725604,3.825561,3.925707,4.025588,4.125581,4.225531,4.325612,4.425587,4.525604,4.62559,4.726532,4.826504,4.926481,5.026476,5.126457,5.226407,5.326386,5.426388,5.526356,5.626307,5.726298,5.826262,5.926254,6.026267,6.126209,6.226169,6.326155,6.426145,6.526105,6.626068,6.726051,6.826029,6.926021,7.025984,7.125966,7.225935,7.325928,7.425881,7.52586,7.62584,7.72582,7.825805,7.925788,8.025749,8.125724,8.225711,8.325679,8.425642,8.525639,8.625632,8.725606,8.825589,8.925703,9.025616,9.12562,9.225571,9.325582,9.425603,9.525615,9.625617,9.725638,9.825604,9.925721,10.025632,10.126258,10.225607,10.32564,10.425614,10.525597,10.625599,10.725558,10.825571,10.925719,11.02556,11.125558,11.225561,11.325651,11.425658,11.525678,11.625564,11.725561,11.825567,11.925663,12.025592,12.125574,12.225566,12.325554,12.425578,12.525668,12.625577,12.725631,12.825564,12.925667,13.025586,13.126396,13.22554,13.325523,13.425502,13.525507,13.625514,13.725499,13.82551,13.925663,14.025529,14.125544,14.22561,14.325561,14.425588,14.525726,14.62569,14.725723"
299,0,0,1,"3,,,,,,,",148,"0.083532,0.183525,0.283432,0.383544,0.483541,0.583557,0.683545,0.783782,0.883547,0.983544,1.083544,1.183545,1.283451,1.383545,1.483451,1.583447,1.683453,1.783457,1.883455,1.983496,2.083553,2.183461,2.283453,2.383449,2.483452,2.583555,2.683448,2.783447,2.883447,2.983455,3.083452,3.183449,3.28364,3.383541,3.483649,3.58357,3.68351,3.783541,3.883449,3.983477,4.083863,4.183461,4.283572,4.383463,4.483645,4.583504,4.683512,4.78348,4.884008,4.983492,5.083595,5.1835,5.283672,5.38351,5.483942,5.583523,5.683637,5.783542,5.88373,5.983532,6.083755,6.183542,6.283897,6.383551,6.484279,6.583559,6.683694,6.78356,6.884021,6.983559,7.083801,7.183558,7.284445,7.384147,7.484508,7.583559,7.684417,7.783575,7.884219,7.983575,8.084308,8.183569,8.283564,8.383569,8.484298,8.583495,8.684236,8.783555,8.883615,8.983471,9.083464,9.183529,9.283527,9.383581,9.483559,9.583502,9.683613,9.78361,9.88351,9.983572,10.083884,10.183574,10.283565,10.383581,10.483576,10.583588,10.683589,10.783585,10.883756,10.983574,11.084017,11.183569,11.284212,11.383577,11.483795,11.583577,11.68383,11.783585,11.884436,11.983484,12.083931,12.183478,12.283778,12.38348,12.48387,12.583488,12.684527,12.783482,12.883488,12.983483,13.083482,13.183483,13.284224,13.383502,13.48433,13.583506,13.684483,13.783789,13.88443,13.983485,14.083508,14.183593,14.284294,14.383491,14.484471,14.583535,14.683517,14.783539"
448,0,0,6,"0,0,0,128,0,4,,",74,"0.167846,0.367872,0.568028,0.763989,0.969006,1.163694,1.362571,1.563769,1.761769,1.963637,2.16022,2.361834,2.561579,2.758622,2.958048,3.157738,3.359024,3.556958,3.755994,3.955411,4.154843,4.354626,4.555683,4.754787,4.953175,5.152126,5.351858,5.551046,5.751049,5.950148,6.149444,6.349377,6.550289,6.74974,6.949715,7.146885,7.346172,7.545763,7.745986,7.944741,8.14401,8.343476,8.543342,8.74435,8.945866,9.142059,9.340789,9.540265,9.739717,9.939504,10.138634,10.338249,10.539539,10.739103,10.940446,11.138794,11.335385,11.535023,11.735045,11.933885,12.135179,12.332682,12.532371,12.731647,12.933096,13.13253,13.330011,13.529661,13.728929,13.928429,14.127942,14.327456,14.527566,14.728178"
456,0,0,4,"0,0,0,0,,,,",29,"0.445696,0.945677,1.445638,1.945695,2.445759,2.945665,3.445663,3.945648,4.445632,4.945656,5.445811,5.945749,6.445667,6.945693,7.445677,7.94575,8.445665,8.946571,9.445657,9.945692,10.445629,10.945585,11.445553,11.945651,12.445545,12.94555,13.44551,13.945596,14.445555"
557,0,0,8,"116,0,0,0,0,0,0,0",12,"0.045936,1.045928,2.045915,3.045946,4.27586,6.335843,7.045948,8.045977,11.275801,12.045925,13.045798,14.045816"
557,0,0,8,"115,0,0,0,0,0,0,0",9,"3.33594,4.045929,4.835927,5.045903,6.045967,8.775915,9.045932,10.045905,11.045826"
559,0,0,1,"0,,,,,,,",14,"0.984021,1.983984,2.98394,3.983973,4.983981,5.984013,6.984055,7.984053,8.984046,9.984065,10.984095,11.983973,12.983979,13.98406"
560,0,0,8,"3,54,54,8,0,0,0,0",30,"0.236911,0.736836,1.236911,1.736565,2.236903,2.736318,3.23686,3.736105,4.236866,4.735856,5.235739,5.735621,6.235487,6.735377,7.235255,7.73514,8.23503,8.734955,9.234778,9.734657,10.234542,10.734422,11.234298,11.734189,12.234062,12.73396,13.233844,13.733729,14.233598,14.733466"
562,0,0,8,"255,72,0,255,0,0,0,0",74,"0.126707,0.326698,0.526634,0.726625,0.926734,1.126585,1.326601,1.52659,1.727626,1.927678,2.127578,2.327552,2.527559,2.727553,2.927671,3.127577,3.327523,3.527553,3.72753,3.927633,4.127507,4.327539,4.527534,4.727505,4.927458,5.127441,5.327363,5.527334,5.727271,5.927231,6.127178,6.327131,6.527082,6.727025,6.926998,7.126943,7.3269,7.526837,7.726844,7.926761,8.126701,8.326652,8.526612,8.726583,8.92668,9.126593,9.326558,9.526592,9.726612,9.926695,10.127235,10.326617,10.52657,10.726534,10.926696,11.126531,11.326644,11.526656,11.726538,11.92664,12.126547,12.326531,12.526644,12.726608,12.92664,13.127369,13.3265,13.526484,13.726475,13.926636,14.126516,14.326589,14.526703,14.726699"
579,0,0,6,"0,0,0,0,0,0,,",14,"0.985237,1.985193,2.985148,3.985253,4.985197,5.985221,6.985265,7.985262,8.985278,9.985275,10.985304,11.985181,12.985187,13.985271"
