ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",144,"0.03939,0.140364,0.239394,0.339332,0.439296,0.539303,0.639197,0.739368,0.839226,0.939198,1.039325,1.13923,1.239217,1.33922,1.439225,1.539295,1.639216,1.739311,1.839213,1.939215,2.039286,2.139193,2.239197,2.339207,2.439185,2.53932,2.639197,2.739295,2.839204,2.939217,3.039315,3.139209,3.239205,3.339201,3.439295,3.539417,3.639287,3.739334,3.839268,3.939223,4.039319,4.13923,4.239242,4.339235,4.439287,4.539338,4.639218,4.739409,4.839201,4.939157,5.03927,5.139158,5.239132,5.339132,5.43911,5.539204,5.639121,5.739229,5.839155,5.939588,6.039199,6.139131,6.239123,6.33912,6.439118,6.539178,6.639196,6.739333,6.839232,6.939123,7.039193,7.139171,7.239112,7.339111,7.439105,7.539175,7.639097,7.739218,7.839093,7.939113,8.039173,8.139099,8.239093,8.339106,8.43911,8.539181,8.639133,8.739237,8.839143,8.939156,9.039205,9.139151,9.239197,9.339168,9.439157,9.539283,9.639177,9.739396,9.839153,9.939211,10.039265,10.139185,10.23907,10.339065,10.43905,10.539134,10.63904,10.739238,10.839051,10.939063,11.039122,11.139052,11.239071,11.339068,11.439042,11.539137,11.639045,11.739201,11.839048,11.939066,12.039125,12.139081,12.239092,12.339073,12.439049,12.539189,12.639037,12.739238,12.839066,12.939057,13.039579,13.139136,13.239134,13.339133,13.439027,13.53913,13.63904,13.739275,13.839086,13.939115,14.039168,14.139106,14.239099,14.339159"
299,0,0,1,"3,,,,,,,",144,"0.097863,0.197859,0.297868,0.397859,0.497859,0.597864,0.697866,0.798055,0.897867,0.997867,1.097867,1.19787,1.297865,1.397872,1.497871,1.597864,1.697865,1.797855,1.897887,1.997867,2.097867,2.197995,2.298019,2.398016,2.497963,2.597979,2.697963,2.797981,2.897869,2.998847,3.098389,3.199954,3.29871,3.399961,3.498473,3.598772,3.697875,3.797856,3.897953,3.997968,4.097963,4.198157,4.297955,4.39787,4.497867,4.597861,4.697863,4.797881,4.897881,4.99788,5.09788,5.197883,5.297879,5.397891,5.497883,5.597885,5.69788,5.797881,5.897883,5.997888,6.098608,6.197887,6.300028,6.397889,6.497887,6.5979,6.697891,6.797902,6.897903,6.997916,7.097928,7.197887,7.298106,7.398032,7.497926,7.598698,7.697951,7.797989,7.897989,7.998183,8.09812,8.197899,8.298097,8.397975,8.497883,8.600079,8.698802,8.800201,8.900043,9.000038,9.100035,9.200034,9.298453,9.398082,9.497977,9.598077,9.698019,9.798084,9.898015,9.998078,10.098007,10.198066,10.297983,10.398442,10.497898,10.597931,10.697902,10.798101,10.897901,10.997889,11.097907,11.198492,11.297993,11.398464,11.497892,11.5984,11.697891,11.798366,11.897892,11.998625,12.097918,12.197905,12.297911,12.398394,12.49791,12.598702,12.697909,12.797899,12.897912,12.997894,13.097912,13.197905,13.297905,13.399838,13.4981,13.598055,13.698018,13.797979,13.898005,13.998181,14.097902,14.197997,14.2979,14.397913"
448,0,0,6,"0,0,0,128,0,4,,",72,"0.194458,0.394164,0.594335,0.794895,0.994359,1.190956,1.391212,1.589175,1.788407,1.988348,2.188076,2.38795,2.588018,2.791382,2.988169,3.184425,3.384383,3.583612,3.783404,3.982263,4.181841,4.382493,4.582577,4.784937,4.984322,5.179842,5.378469,5.577937,5.777596,5.977177,6.176322,6.375885,6.575236,6.776643,6.976103,7.175023,7.373133,7.572547,7.772021,7.971464,8.170932,8.372336,8.571971,8.771485,8.972971,9.172197,9.371259,9.567193,9.766602,9.966058,10.165542,10.365093,10.564441,10.764068,10.963555,11.165089,11.364234,11.561751,11.764234,11.962612,12.162089,12.360694,12.560034,12.758513,12.958009,13.16071,13.358834,13.558663,13.75581,13.955416,14.15481,14.354221"
456,0,0,4,"0,0,0,0,,,,",29,"0.259173,0.759174,1.259148,1.759148,2.259116,2.759163,3.259119,3.759119,4.259219,4.75924,5.259099,5.759118,6.259112,6.759145,7.259087,7.759096,8.259073,8.75915,9.259195,9.759266,10.259119,10.759237,11.2591,11.759119,12.25915,12.759218,13.259092,13.759247,14.259103"
557,0,0,8,"116,0,0,0,0,0,0,0",16,"0.859514,1.859402,2.859402,3.859392,4.859477,5.85937,6.859403,7.859941,8.589425,8.85945,9.589445,9.859561,11.589467,11.859384,13.569486,13.859544"
557,0,0,8,"117,0,0,0,0,0,0,0",7,"8.089418,9.0695,10.089406,10.85943,12.589365,12.859454,14.089471"
559,0,0,1,"0,,,,,,,",14,"0.798539,1.798348,2.798459,3.800049,4.798365,5.798365,6.798384,7.798467,8.800671,9.798566,10.798579,11.798855,12.799938,13.799979"
560,0,0,8,"3,54,54,8,0,0,0,0",29,"0.034597,0.534488,1.035101,1.534248,2.034831,2.534025,3.033932,3.533761,4.033637,4.533526,5.033403,5.533285,6.033164,6.53305,7.033176,7.532826,8.033204,8.532598,9.033212,9.532373,10.032195,10.532134,11.031981,11.531887,12.031744,12.531661,13.031492,13.531395,14.031232"
562,0,0,8,"255,79,0,255,0,0,0,0",70,"0.541191,0.741254,0.941086,1.141117,1.341107,1.541185,1.741199,1.940183,2.140158,2.340172,2.54029,2.740264,2.940182,3.140177,3.340166,3.540387,3.740302,3.940188,4.140199,4.3402,4.540307,4.740379,4.940126,5.140122,5.340101,5.540173,5.740197,5.940557,6.140098,6.340089,6.540146,6.740298,6.940091,7.14014,7.340079,7.540144,7.740187,7.940082,8.140068,8.340075,8.54015,8.740201,8.940124,9.140121,9.340137,9.540252,9.740367,9.94018,10.140154,10.340034,10.540103,10.740207,10.940033,11.140021,11.340052,11.540106,11.740166,11.940031,12.14005,12.340042,12.540158,12.740204,12.940026,13.140101,13.340098,13.540099,13.740245,13.94008,14.140075,14.340137"
562,0,0,8,"255,78,0,255,0,0,0,0",2,"0.141328,0.341219"
