ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",144,"0.034599,0.134648,0.234632,0.334812,0.434681,0.534628,0.634622,0.734688,0.834625,0.934637,1.03458,1.135446,1.234568,1.334678,1.434641,1.534651,1.634595,1.734559,1.834552,1.934558,2.034541,2.134555,2.234544,2.334576,2.434557,2.534541,2.634545,2.734571,2.834553,2.934572,3.034561,3.134559,3.234592,3.33461,3.434547,3.534588,3.634556,3.734553,3.834569,3.934578,4.034574,4.134625,4.234678,4.334692,4.434648,4.535174,4.634682,4.735308,4.834702,4.934529,5.034554,5.134537,5.234978,5.334572,5.434566,5.534513,5.634507,5.734661,5.834452,5.934464,6.034433,6.134423,6.23526,6.334478,6.434468,6.534458,6.634449,6.734465,6.834447,6.934451,7.034436,7.134441,7.234479,7.334441,7.434432,7.53443,7.63443,7.734393,7.8345,7.934497,8.034496,8.134421,8.234419,8.334441,8.43444,8.535226,8.634583,8.734429,8.834435,8.93444,9.034443,9.134434,9.234446,9.334549,9.434467,9.534534,9.634474,9.734511,9.834516,9.934508,10.034497,10.134513,10.234518,10.334486,10.434481,10.534509,10.634986,10.734452,10.834628,10.934406,11.034655,11.134508,11.23469,11.334529,11.434916,11.534398,11.634974,11.734449,11.834657,11.934408,12.034955,12.134391,12.234764,12.334429,12.434457,12.534393,12.634364,12.734421,12.835144,12.934377,13.035239,13.134368,13.235287,13.334985,13.434415,13.534388,13.635184,13.734411,13.835219,13.934374,14.034366,14.134386,14.234402,14.334625"
299,0,0,1,"3,,,,,,,",143,"0.078691,0.178703,0.278741,0.378792,0.478796,0.578777,0.678846,0.777939,0.878906,0.977948,1.077944,1.17794,1.279012,1.377966,1.479068,1.577999,1.677949,1.778132,1.878144,1.979209,2.078056,2.178046,2.279292,2.379261,2.479574,2.57806,2.677949,2.778141,2.877967,2.977955,3.077966,3.177953,3.278449,3.377963,3.47835,3.577953,3.677953,3.777961,3.877953,3.977953,4.077953,4.177953,4.278463,4.378694,4.478386,4.577974,4.677966,4.777966,4.877966,4.977961,5.077964,5.177967,5.278395,5.37835,5.47856,5.577963,5.677966,5.777965,5.877962,5.977968,6.077967,6.177967,6.278351,6.378557,6.478845,6.577967,6.678013,6.778021,6.878177,6.978219,7.078694,7.178295,7.278332,7.378076,7.478067,7.577967,7.67797,7.77812,7.878078,7.978339,8.077974,8.177969,8.278495,8.378602,8.47824,8.577972,8.677974,8.777975,8.877972,8.977972,9.077974,9.177972,9.278267,9.377971,9.478292,9.577981,9.677973,9.777979,9.877977,9.977974,10.077977,10.178021,10.278249,10.378598,10.478727,10.577977,10.67798,10.778084,10.878547,10.977975,11.078115,11.177982,11.278221,11.377979,11.478869,11.577983,11.678252,11.778087,11.878395,11.978048,12.078718,12.178091,12.278201,12.37866,12.479272,12.577983,12.678287,12.777985,12.878091,12.977986,13.077983,13.177993,13.278375,13.377987,13.478575,13.577991,13.678429,13.777995,13.878156,13.977993,14.077991,14.17801,14.278466"
448,0,0,6,"0,0,0,128,0,4,,",72,"0.107551,0.308619,0.507982,0.707508,0.908943,1.108545,1.30573,1.505676,1.70569,1.903266,2.101768,2.301911,2.500979,2.701032,2.901696,3.101143,3.298623,3.497968,3.697428,3.897094,4.096855,4.297942,4.497233,4.694798,4.896927,5.095918,5.297953,5.493198,5.695876,5.891764,6.091207,6.290902,6.491072,6.68938,6.888905,7.090974,7.291031,7.487253,7.686774,7.886165,8.085771,8.285343,8.485589,8.686247,8.885599,9.085517,9.286386,9.486051,9.681686,9.881745,10.082284,10.28011,10.479583,10.678838,10.878085,11.077547,11.277299,11.478403,11.675942,11.87582,12.076295,12.274298,12.473955,12.673225,12.872696,13.072368,13.273616,13.473068,13.674517,13.872158,14.069483,14.268984"
456,0,0,4,"0,0,0,0,,,,",29,"0.354666,0.854592,1.354564,1.854516,2.354571,2.854584,3.354566,3.854508,4.354625,4.854554,5.354712,5.854529,6.354569,6.854469,7.354516,7.854476,8.354563,8.854479,9.355213,9.854578,10.354642,10.854512,11.355263,11.854581,12.354564,12.85448,13.354525,13.85448,14.355062"
557,0,0,8,"109,0,0,0,0,0,0,0",14,"0.454911,1.454797,2.4548,3.454802,4.4548,5.454969,6.454775,7.454744,8.454826,9.45481,10.454866,11.454783,12.764724,14.264741"
557,0,0,8,"110,0,0,0,0,0,0,0",4,"12.284727,12.45478,13.284689,13.454754"
559,0,0,1,"0,,,,,,,",14,"0.379262,1.379361,2.379733,3.378444,4.380093,5.378854,6.37907,7.378569,8.379095,9.378468,10.379127,11.378483,12.379143,13.378484"
560,0,0,8,"3,55,54,8,0,0,0,0",20,"4.721084,5.221838,5.720859,6.220877,6.720999,7.221108,7.721274,8.220329,8.720196,9.220092,9.719972,10.219865,10.71976,11.219644,11.719527,12.219439,12.719332,13.219203,13.719096,14.218986"
560,0,0,8,"3,54,54,8,0,0,0,0",9,"0.222093,0.722001,1.221879,1.721737,2.221633,2.721517,3.221429,3.721314,4.221634"
562,0,0,8,"255,68,0,255,0,0,0,0",72,"0.135626,0.335782,0.535605,0.735665,0.935614,1.136423,1.335655,1.535624,1.735535,1.935535,2.135528,2.335554,2.535513,2.735548,2.935548,3.135532,3.335587,3.535565,3.736344,3.935555,4.135602,4.335668,4.536147,4.736281,4.935506,5.135514,5.335549,5.535491,5.735634,5.935441,6.1354,6.335455,6.535435,6.735441,6.935424,7.135417,7.335414,7.535407,7.73537,7.935474,8.135398,8.335413,8.536199,8.735406,8.935417,9.135411,9.335519,9.535506,9.735484,9.93548,10.135486,10.335463,10.535486,10.735429,10.935379,11.135484,11.335506,11.53537,11.735419,11.93538,12.135368,12.335405,12.53537,12.735399,12.93535,13.135345,13.335965,13.535362,13.735388,13.935351,14.135362,14.335602"
