ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",145,"0.048084,0.148182,0.248142,0.348094,0.448084,0.548099,0.648126,0.748162,0.848088,0.948217,1.048217,1.148215,1.2481,1.348132,1.448153,1.548145,1.648153,1.748181,1.848181,1.948186,2.048194,2.148159,2.248141,2.348291,2.448102,2.548122,2.648702,2.748096,2.848084,2.948092,3.048073,3.148117,3.248094,3.34807,3.448082,3.548089,3.648074,3.748078,3.848083,3.948088,4.04809,4.148214,4.24819,4.348179,4.448092,4.548061,4.648072,4.748078,4.848058,4.948062,5.04807,5.148086,5.248094,5.348092,5.448076,5.548088,5.64809,5.74808,5.848063,5.948094,6.048076,6.148156,6.248125,6.348097,6.448172,6.548139,6.648111,6.748127,6.848102,6.948102,7.048041,7.148115,7.248065,7.348052,7.448135,7.548135,7.64813,7.74897,7.84803,7.948051,8.048954,8.148084,8.248049,8.348051,8.448024,8.548045,8.64804,8.748034,8.848028,8.94805,9.048719,9.148048,9.248759,9.34892,9.448025,9.548056,9.648036,9.748054,9.848051,9.948045,10.048496,10.1481,10.248026,10.348657,10.44845,10.548038,10.648116,10.748184,10.84811,10.948089,11.048288,11.148187,11.248055,11.348306,11.448109,11.548163,11.648139,11.748172,11.848145,11.948116,12.048105,12.148118,12.248074,12.348066,12.448053,12.548076,12.648047,12.748073,12.848052,12.948064,13.048071,13.148089,13.248047,13.348065,13.44805,13.548061,13.648039,13.748063,13.848139,13.948147,14.048154,14.148122,14.248051,14.348081,14.448021"
299,0,0,1,"3,,,,,,,",145,"0.092968,0.193277,0.29318,0.392671,0.492731,0.592542,0.693272,0.792542,0.892785,0.992602,1.092985,1.192605,1.293229,1.392609,1.492949,1.592756,1.693091,1.792544,1.893096,1.992544,2.093199,2.193399,2.29454,2.392796,2.493252,2.592544,2.693344,2.792418,2.893336,2.993326,3.093396,3.192624,3.293468,3.392516,3.492519,3.592847,3.693582,3.792981,3.893677,3.992861,4.093752,4.193257,4.293747,4.392707,4.49288,4.592715,4.692897,4.792581,4.892914,4.992613,5.092591,5.192675,5.292597,5.392727,5.492672,5.592788,5.692772,5.792837,5.892843,5.992892,6.092831,6.193271,6.292934,6.393001,6.492953,6.593055,6.692978,6.79287,6.893042,6.993191,7.093091,7.19323,7.293147,7.393275,7.493269,7.593325,7.693322,7.793377,7.893336,7.992433,8.093437,8.193499,8.293441,8.39354,8.493476,8.593593,8.692538,8.792535,8.89255,8.993703,9.092495,9.192543,9.292553,9.392548,9.492548,9.59255,9.692549,9.792549,9.89255,9.992552,10.092549,10.192578,10.292553,10.392621,10.492585,10.592681,10.69267,10.792729,10.89272,10.992785,11.092753,11.192837,11.292899,11.392894,11.492877,11.592947,11.692988,11.793014,11.892491,11.993055,12.093013,12.193105,12.293068,12.393165,12.493163,12.593217,12.693213,12.793274,12.893249,12.99333,13.093347,13.19338,13.29336,13.393439,13.493401,13.593492,13.693449,13.793545,13.892615,13.992561,14.09256,14.192487,14.292457,14.392453,14.492449"
448,0,0,6,"0,0,0,128,0,4,,",73,"0.153505,0.353006,0.554403,0.752305,0.95135,1.151032,1.350955,1.550971,1.751534,1.951018,2.15191,2.3476,2.547059,2.746522,2.946027,3.14568,3.344904,3.546307,3.744249,3.945297,4.144808,4.344638,4.541706,4.741124,4.940762,5.140054,5.339694,5.538994,5.738986,5.939847,6.140076,6.339034,6.536302,6.739133,6.935888,7.134819,7.334181,7.535879,7.735013,7.933725,8.134054,8.335859,8.533877,8.730436,8.934865,9.131307,9.329355,9.529377,9.727784,9.927133,10.129429,10.32801,10.527479,10.725033,10.92446,11.124244,11.325574,11.524826,11.723366,11.921758,12.12348,12.3236,12.52209,12.721684,12.920297,13.119382,13.318141,13.517438,13.717055,13.91639,14.116215,14.317247,14.517068"
456,0,0,4,"0,0,0,0,,,,",29,"0.168301,0.668214,1.168329,1.668256,2.168236,2.66809,3.168141,3.668089,4.168212,4.66811,5.168128,5.668103,6.168198,6.668198,7.168184,7.668108,8.168258,8.668092,9.168113,9.668094,10.168175,10.668064,11.168161,11.668106,12.168086,12.668012,13.168088,13.667996,14.168094"
557,0,0,8,"111,0,0,0,0,0,0,0",15,"0.268489,1.268544,2.268453,3.268378,4.268989,5.268393,6.268401,7.268381,8.268444,9.268708,10.268346,11.268355,12.268311,13.268317,14.268279"
559,0,0,1,"0,,,,,,,",15,"0.193758,1.193118,2.193974,3.193144,4.193808,5.193188,6.193752,7.193805,8.193988,9.194025,10.194061,11.193307,12.193578,13.193853,14.193961"
560,0,0,8,"3,54,54,8,0,0,0,0",30,"0.023309,0.522412,1.023239,1.522176,2.022067,2.521959,3.021852,3.521733,4.021624,4.521537,5.021424,5.521819,6.021176,6.521071,7.020996,7.520841,8.020724,8.520625,9.020517,9.520406,10.020355,10.52041,11.020375,11.520317,12.02035,12.520308,13.020421,13.520368,14.020296,14.519357"
562,0,0,8,"255,69,0,255,0,0,0,0",72,"0.149151,0.349059,0.549068,0.749132,0.949181,1.14918,1.349101,1.549113,1.749149,1.949163,2.149124,2.349256,2.550059,2.749064,2.949057,3.149086,3.349039,3.549057,3.749047,3.949057,4.149178,4.349148,4.54903,4.749048,4.949031,5.149055,5.349061,5.549057,5.749049,5.949059,6.149121,6.349062,6.549109,6.749092,6.949086,7.149155,7.349021,7.549104,7.749939,7.94902,8.14905,8.349019,8.549014,8.749003,8.949015,9.149018,9.349889,9.549026,9.749023,9.94901,10.149065,10.349626,10.549003,10.749153,10.949057,11.149152,11.349275,11.549128,11.74914,11.949084,12.149083,12.349035,12.549044,12.749042,12.949029,13.149057,13.349042,13.549026,13.749031,13.949116,14.149087,14.349051"
579,0,0,6,"0,0,0,0,0,0,,",15,"0.194966,1.194315,2.19519,3.194329,4.195015,5.194377,6.195011,7.195013,8.195209,9.195242,10.195305,11.195242,12.195325,13.194684,14.194796"
584,0,0,8,"0,0,255,255,255,3,255,255",29,"0.158553,0.658428,1.158623,1.658569,2.158597,2.658466,3.158486,3.658451,4.158511,4.658615,5.15843,5.658504,6.158547,6.658489,7.158412,7.658391,8.158411,8.658374,9.158364,9.658365,10.158416,10.658483,11.158487,11.658429,12.158401,12.658327,13.158331,13.658337,14.158469"
