ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",140,"0.032115,0.132156,0.232212,0.332298,0.432218,0.532168,0.632133,0.73218,0.832186,0.932168,1.032155,1.132167,1.232153,1.332125,1.432068,1.532048,1.632052,1.732081,1.83204,1.932072,2.032094,2.132065,2.232094,2.332112,2.432053,2.532063,2.632049,2.732052,2.832045,2.932064,3.032119,3.132192,3.23218,3.332087,3.432042,3.532062,3.632026,3.73206,3.832074,3.932043,4.032029,4.132059,4.232088,4.332138,4.432078,4.532088,4.632043,4.732078,4.832036,4.9322,5.032062,5.132144,5.232198,5.332249,5.432144,5.53215,5.632119,5.732107,5.832133,5.932118,6.032054,6.132094,6.232226,6.332182,6.432149,6.532096,6.632035,6.73207,6.832076,6.932072,7.032062,7.132077,7.232124,7.332104,7.432075,7.532069,7.632057,7.732077,7.832034,7.932111,8.032099,8.132122,8.232113,8.332084,8.432034,8.532037,8.632035,8.732032,8.832039,8.932052,9.032042,9.132049,9.232115,9.332072,9.432042,9.53216,9.632111,9.732141,9.832077,9.932186,10.032086,10.132239,10.232217,10.332302,10.432176,10.532767,10.632135,10.732443,10.832129,10.932464,11.032138,11.132526,11.232178,11.332565,11.432087,11.532764,11.632098,11.732681,11.832093,11.932733,12.032082,12.132794,12.232127,12.33286,12.432119,12.532904,12.632178,12.732951,12.832182,12.933018,13.03208,13.132079,13.232123,13.332118,13.432104,13.532086,13.632089,13.732095,13.83209,13.932088"
299,0,0,1,"3,,,,,,,",140,"0.077042,0.177045,0.277048,0.377043,0.477051,0.577053,0.677045,0.777048,0.877045,0.977049,1.077053,1.177051,1.277046,1.377048,1.477051,1.577051,1.677046,1.777075,1.877052,1.977056,2.077367,2.177052,2.277049,2.377048,2.477218,2.577254,2.677318,2.777188,2.877257,2.977255,3.077302,3.18027,3.277256,3.377251,3.477084,3.577159,3.677058,3.777055,3.877063,3.97706,4.077062,4.177064,4.277058,4.377058,4.477063,4.577064,4.677066,4.777065,4.877058,4.977062,5.07706,5.177061,5.277064,5.377065,5.477067,5.577068,5.677062,5.777066,5.877253,5.977068,6.077068,6.177069,6.277068,6.377525,6.477074,6.577069,6.677299,6.777074,6.877072,6.97707,7.077072,7.17707,7.277074,7.377157,7.477076,7.577204,7.677113,7.777193,7.877263,7.97719,8.077231,8.177385,8.277293,8.377101,8.477177,8.577079,8.677074,8.777074,8.877079,8.977082,9.077215,9.177085,9.277218,9.377212,9.477214,9.577217,9.677218,9.778009,9.877088,9.977501,10.07729,10.177214,10.277292,10.377485,10.477286,10.577398,10.677306,10.777381,10.87731,10.978052,11.077284,11.177297,11.277257,11.377679,11.477258,11.577295,11.677292,11.777156,11.877168,11.977309,12.07718,12.177404,12.277123,12.377573,12.477392,12.577408,12.677228,12.777443,12.877467,12.977432,13.077388,13.177266,13.277109,13.377272,13.477163,13.577184,13.677349,13.777356,13.877673,13.9773"
448,0,0,6,"0,0,0,128,0,4,,",71,"0.004438,0.205377,0.405325,0.606368,0.805827,1.004996,1.2007,1.400351,1.60159,1.799642,1.998645,2.198009,2.401266,2.597018,2.798616,2.997633,3.195937,3.396656,3.594616,3.794349,3.994347,4.193452,4.394542,4.591576,4.794392,4.992417,5.189934,5.389575,5.590809,5.788721,5.987778,6.187235,6.394091,6.586162,6.785648,6.987035,7.185974,7.385486,7.58358,7.783423,7.983371,8.181873,8.386547,8.581326,8.781227,8.98167,9.181309,9.382027,9.578311,9.777543,9.97704,10.176473,10.37834,10.575396,10.776904,10.976266,11.178151,11.377215,11.573847,11.772919,11.971735,12.171748,12.371484,12.570082,12.769487,12.971848,13.168875,13.369819,13.569426,13.766972,13.966245"
456,0,0,4,"0,0,0,0,,,,",28,"0.352408,0.852207,1.352155,1.852085,2.352173,2.852066,3.352133,3.852152,4.352175,4.852123,5.352174,5.852112,6.352171,6.852091,7.352141,7.852078,8.35216,8.852059,9.352126,9.852219,10.352265,10.852448,11.35211,11.85275,12.352113,12.852005,13.352157,13.852007"
557,0,0,8,"112,0,0,0,0,0,0,0",14,"0.452648,1.452385,2.452355,3.452349,4.452386,5.452486,6.452396,7.452408,8.452396,9.452383,10.452634,11.452957,12.453179,13.452411"
559,0,0,1,"0,,,,,,,",14,"0.377547,1.3777,2.377672,3.377768,4.377562,5.377569,6.378023,7.377661,8.377606,9.377755,10.37881,11.378151,12.378067,13.377778"
560,0,0,8,"3,54,54,8,0,0,0,0",17,"5.694549,6.194522,6.694491,7.194525,7.694494,8.194577,8.694495,9.19448,9.694463,10.193496,10.693727,11.193462,11.693937,12.193408,12.693243,13.193418,13.693428"
560,0,0,8,"3,53,54,8,0,0,0,0",11,"0.195743,0.695638,1.195504,1.695595,2.195323,2.695162,3.195078,3.694933,4.195429,4.694704,5.194609"
562,0,0,8,"255,70,0,255,0,0,0,0",39,"6.333147,6.533065,6.733039,6.933049,7.133046,7.333073,7.533038,7.733041,7.93308,8.133088,8.333053,8.533006,8.732997,8.933021,9.133018,9.33304,9.533129,9.733107,9.933155,10.133215,10.333267,10.533732,10.733412,10.933433,11.134472,11.333533,11.533734,11.733645,11.933698,12.133759,12.333825,12.533873,12.733919,12.933987,13.133967,13.334005,13.533972,13.733982,13.933975"
562,0,0,8,"255,69,0,255,0,0,0,0",31,"0.133125,0.333263,0.533137,0.733145,0.933133,1.133132,1.333094,1.533017,1.73305,1.933037,2.133034,2.334058,2.533032,2.733021,2.933033,3.13316,3.334022,3.533031,3.733025,3.933011,4.133024,4.333108,4.533056,4.733043,4.933169,5.133109,5.333218,5.533116,5.733076,5.933088,6.133059"
