ID,Extended,RTR,Length,Data,Count,Timestamps
290,0,0,4,"4,2,0,0,,,,",141,"0.094663,0.1947,0.29469,0.394691,0.494713,0.594813,0.694671,0.794673,0.894651,0.994671,1.094659,1.19468,1.294647,1.394671,1.494673,1.594766,1.694661,1.794673,1.89465,1.994665,2.094655,2.194659,2.294652,2.394753,2.494737,2.594878,2.69469,2.794669,2.894666,2.994684,3.094679,3.194727,3.294749,3.394723,3.494726,3.594884,3.6948,3.794833,3.894811,3.99479,4.094732,4.194731,4.294661,4.394697,4.494685,4.59481,4.694696,4.794716,4.894678,4.994708,5.094681,5.194679,5.294675,5.394706,5.494658,5.594896,5.694778,5.79478,5.894669,5.99472,6.094685,6.194714,6.294695,6.394699,6.494691,6.594821,6.694674,6.794689,6.894706,6.994675,7.094665,7.194718,7.294649,7.394725,7.4947,7.594819,7.694696,7.794734,7.894716,7.994783,8.094747,8.19469,8.294715,8.394695,8.494663,8.594803,8.69469,8.794718,8.894673,8.994714,9.094563,9.194642,9.294608,9.39457,9.494596,9.594704,9.694564,9.7946,9.894588,9.994591,10.094578,10.194594,10.294565,10.394631,10.49461,10.594685,10.694612,10.794604,10.894578,10.994602,11.094591,11.194587,11.2946,11.394606,11.494555,11.594695,11.694628,11.794585,11.894582,11.99462,12.094646,12.194676,12.294684,12.394558,12.494568,12.594701,12.694579,12.794602,12.894598,12.994592,13.09461,13.194671,13.294645,13.394626,13.494616,13.594778,13.694609,13.794549,13.894552,13.994545,14.094575"
299,0,0,1,"3,,,,,,,",141,"0.040371,0.140706,0.240385,0.340732,0.440393,0.541122,0.640482,0.740902,0.840478,0.941659,1.040409,1.140721,1.2405,1.341068,1.440473,1.540817,1.640526,1.741324,1.840413,1.941156,2.040411,2.141186,2.240358,2.341388,2.440433,2.541323,2.640414,2.740419,2.840585,2.941205,3.040954,3.140454,3.240453,3.340441,3.440461,3.540584,3.640463,3.74046,3.840468,3.940745,4.040465,4.14076,4.240366,4.340489,4.440862,4.540483,4.640844,4.740616,4.840496,4.940481,5.040487,5.140612,5.240367,5.340483,5.440486,5.5411,5.640447,5.741175,5.840573,5.94078,6.040483,6.140859,6.240637,6.341033,6.440541,6.541077,6.640499,6.740912,6.840494,6.941098,7.040492,7.140883,7.240494,7.340492,7.44049,7.541345,7.640494,7.741318,7.840491,7.941298,8.040492,8.141387,8.240492,8.340492,8.440493,8.541294,8.640388,8.741561,8.840643,8.9405,9.040498,9.140503,9.2405,9.340498,9.44039,9.540506,9.640388,9.740385,9.840386,9.940391,10.040399,10.140392,10.240395,10.340392,10.440394,10.540388,10.640445,10.740498,10.840423,10.940392,11.040498,11.140506,11.241389,11.340439,11.440594,11.540526,11.640496,11.740543,11.840398,11.940394,12.040398,12.140398,12.240674,12.340401,12.440395,12.540396,12.640404,12.741152,12.840399,12.940395,13.040396,13.140404,13.240819,13.3404,13.440398,13.540404,13.640402,13.74122,13.840404,13.940405,14.040406"
448,0,0,6,"0,0,0,128,0,4,,",71,"0.120252,0.319696,0.516757,0.714654,0.914298,1.11365,1.313007,1.512687,1.713876,1.913375,2.113404,2.310383,2.50978,2.70928,2.908702,3.108362,3.307667,3.507411,3.707774,3.907514,4.108364,4.305809,4.504363,4.703837,4.90331,5.102752,5.30222,5.501891,5.70126,5.901543,6.102018,6.301701,6.499219,6.702117,6.898563,7.097394,7.297072,7.497084,7.696533,7.897174,8.096722,8.296735,8.496001,8.693219,8.89265,9.092195,9.2934,9.490908,9.692326,9.890723,10.089332,10.290829,10.49092,10.687685,10.889866,11.089406,11.286074,11.48573,11.686023,11.88445,12.083923,12.285347,12.484779,12.683963,12.884086,13.08164,13.280668,13.480124,13.68172,13.879454,14.080579"
456,0,0,4,"0,0,0,0,,,,",29,"0.114742,0.614816,1.114741,1.61476,2.114726,2.614733,3.114845,3.614759,4.114667,4.614681,5.114634,5.614612,6.114652,6.614685,7.114624,7.614616,8.114718,8.614727,9.11461,9.614705,10.114592,10.614635,11.114614,11.614606,12.114561,12.614634,13.11464,13.614713,14.114624"
557,0,0,8,"113,0,0,0,0,0,0,0",15,"0.715642,2.005005,2.715023,3.715035,4.545128,4.714927,5.714918,6.714912,7.714925,8.714966,9.714953,10.714888,11.714948,12.715,13.714966"
557,0,0,8,"112,0,0,0,0,0,0,0",3,"1.545105,1.715057,4.00498"
559,0,0,1,"0,,,,,,,",14,"0.640987,1.641047,2.640935,3.640972,4.641321,5.640991,6.641005,7.641006,8.640897,9.640893,10.64095,11.641001,12.640916,13.640919"
560,0,0,8,"3,53,54,8,0,0,0,0",28,"0.446624,0.946828,1.44587,1.946238,2.445634,2.945522,3.44541,3.94529,4.445187,4.945078,5.44497,5.944838,6.444725,6.944652,7.444522,7.944377,8.444269,8.944148,9.444054,9.943927,10.443804,10.943685,11.443567,11.943457,12.443378,12.943775,13.443127,13.943496"
562,0,0,8,"255,70,0,255,0,0,0,0",70,"0.196659,0.395664,0.595785,0.795642,0.995644,1.19565,1.39564,1.59573,1.795639,1.995638,2.195624,2.395718,2.595854,2.795638,2.995658,3.195696,3.395692,3.595864,3.795802,3.995758,4.1957,4.395662,4.595782,4.795681,4.995674,5.195648,5.395737,5.59586,5.795744,5.995689,6.195679,6.395668,6.595789,6.795658,6.995644,7.195687,7.395694,7.595787,7.795703,7.995746,8.195658,8.395663,8.595776,8.795687,8.995683,9.195612,9.395539,9.595674,9.795564,9.995555,10.195563,10.395601,10.595654,10.795573,10.995568,11.195557,11.395571,11.595663,11.795554,11.995589,12.195645,12.395526,12.59567,12.795571,12.995561,13.19564,13.395596,13.595743,13.795518,13.995514"
579,0,0,6,"0,0,0,0,0,0,,",14,"0.642258,1.642278,2.642135,3.642246,4.642529,5.642282,6.642213,7.642268,8.642097,9.642101,10.642237,11.642241,12.642124,13.642112"
