Section,ID,Extended,RTR,Length,Data,Count,Timestamps
=== In capture_01_no_presses_lights_cycled_every_3s_between_off_and_on_grouped but NOT in capture_02_no_presses_lights_cycled_every_3s_between_max_and_min_grouped ===,,,,,,,
IN_A_NOT_B,557,0,0,8,"115,0,0,0,0,0,0,0",9,"3.33594,4.045929,4.835927,5.045903,6.045967,8.775915,9.045932,10.045905,11.045826"
IN_A_NOT_B,562,0,0,8,"255,72,0,255,0,0,0,0",74,"0.126707,0.326698,0.526634,0.726625,0.926734,1.126585,1.326601,1.52659,1.727626,1.927678,2.127578,2.327552,2.527559,2.727553,2.927671,3.127577,3.327523,3.527553,3.72753,3.927633,4.127507,4.327539,4.527534,4.727505,4.927458,5.127441,5.327363,5.527334,5.727271,5.927231,6.127178,6.327131,6.527082,6.727025,6.926998,7.126943,7.3269,7.526837,7.726844,7.926761,8.126701,8.326652,8.526612,8.726583,8.92668,9.126593,9.326558,9.526592,9.726612,9.926695,10.127235,10.326617,10.52657,10.726534,10.926696,11.126531,11.326644,11.526656,11.726538,11.92664,12.126547,12.326531,12.526644,12.726608,12.92664,13.127369,13.3265,13.526484,13.726475,13.926636,14.126516,14.326589,14.526703,14.726699"
IN_A_NOT_B,594,0,0,8,"3,0,16,13,128,23,127,139",3,"6.496931,12.001586,14.096777"
IN_A_NOT_B,706,0,0,4,"19,136,148,0,,,,",1,11.715459
IN_A_NOT_B,762,0,0,8,"0,1,0,24,0,0,0,0",21,"0.446696,0.946674,1.446637,1.946794,2.446759,2.946665,5.827263,5.946751,6.446668,6.946693,7.446677,7.946751,10.74593,10.946586,11.446549,11.946652,12.446546,12.94655,13.446511,13.946597,14.446555"
IN_A_NOT_B,778,0,0,8,"132,128,0,136,252,15,0,103",2,"0.067877,0.086915"
IN_A_NOT_B,778,0,0,8,"132,128,0,137,252,15,0,103",15,"0.465997,1.07588,2.075873,3.07587,4.07583,5.075818,6.075787,7.075793,8.075765,9.075762,10.075785,11.075721,12.075714,13.075829,14.075711"
IN_A_NOT_B,802,0,0,8,"2,49,0,0,55,255,255,255",1,2.165986
IN_A_NOT_B,802,0,0,8,"2,54,0,0,55,255,255,255",1,8.766883
IN_A_NOT_B,802,0,0,8,"2,55,0,0,55,255,255,255",1,2.46594
IN_A_NOT_B,802,0,0,8,"2,62,0,0,55,255,255,255",4,"1.766077,4.466011,11.465893,11.665915"
IN_A_NOT_B,802,0,0,8,"2,88,0,0,55,255,255,255",1,12.9662
IN_A_NOT_B,802,0,0,8,"2,91,0,0,55,255,255,255",1,9.666748
IN_A_NOT_B,813,0,0,8,"2,53,2,53,1,173,79,0",2,"0.948531,1.948646"
IN_A_NOT_B,813,0,0,8,"2,54,2,54,1,173,79,0",8,"2.948514,3.947558,4.947571,5.947676,6.94762,7.947677,8.948482,9.94761"
IN_A_NOT_B,813,0,0,8,"2,55,2,55,1,173,79,0",4,"10.947516,11.947578,12.94748,13.947522"
IN_A_NOT_B,815,0,0,3,"200,0,0,,,,,",12,"0.994265,1.994221,2.994177,5.838861,5.994253,6.995221,7.994292,10.75729,10.994331,11.994214,12.994219,13.994297"
IN_A_NOT_B,818,0,0,8,"0,80,216,80,134,9,255,25",15,"0.475924,0.975909,1.47586,1.97593,2.475886,2.975903,3.475842,3.975917,4.475834,4.97588,5.47587,5.975871,6.475887,6.975832,7.975832"
IN_A_NOT_B,818,0,0,8,"0,80,216,80,135,9,255,25",11,"7.475811,8.475797,8.975801,9.475826,9.975884,10.475779,10.975752,11.475743,11.975758,12.4757,12.975842"
IN_A_NOT_B,818,0,0,8,"0,80,216,80,138,9,255,25",3,"13.475716,13.975788,14.475802"
IN_A_NOT_B,826,0,0,8,"24,206,55,127,127,127,127,127",1,14.76355
IN_A_NOT_B,826,0,0,8,"24,206,56,127,127,127,127,127",14,"0.768049,1.767018,2.767108,3.766952,4.76694,5.76577,6.765495,7.765271,8.765926,9.764758,10.764858,11.765153,12.764422,13.763837"
IN_A_NOT_B,827,0,0,8,"44,255,2,49,0,0,0,0",50,"0.227706,0.528592,0.728583,1.328559,1.528547,1.726657,1.926708,2.42657,2.626557,2.926702,3.226526,3.426537,3.726565,3.926664,4.32657,4.526565,4.825822,5.025793,5.625624,5.825584,6.425463,6.625391,6.825347,7.125285,7.325245,7.625162,7.825126,8.125042,8.424964,8.724925,8.924856,9.224794,9.424724,9.72467,10.024628,10.324521,10.624442,10.924373,11.224298,11.524831,11.824162,12.024127,12.324734,12.723952,13.023883,13.323809,13.623732,13.823683,14.223584,14.523528"
IN_A_NOT_B,827,0,0,8,"45,255,2,49,0,0,0,0",97,"0.027652,0.128668,0.328656,0.427754,0.626854,0.82681,0.928692,1.027572,1.128543,1.226712,1.626641,1.826643,2.026581,2.126609,2.226576,2.326582,2.52659,2.726584,2.826588,3.026588,3.126608,3.326557,3.526584,3.626536,3.826522,4.026549,4.126542,4.226492,4.426544,4.626551,4.72585,4.925803,5.125775,5.225729,5.325704,5.42571,5.525679,5.725621,5.925576,6.025589,6.125523,6.225487,6.325477,6.525424,6.725369,6.925343,7.025302,7.225257,7.425208,7.525181,7.725142,7.925109,8.02507,8.225032,8.324997,8.524948,8.62495,8.824875,9.024864,9.124835,9.324759,9.524712,9.624695,9.824637,9.924633,10.124591,10.224544,10.424496,10.52449,10.724464,10.824394,11.024382,11.124334,11.32429,11.424273,11.62421,11.724345,11.924175,12.124294,12.224054,12.424019,12.523989,12.623972,12.823935,12.92465,13.124732,13.223848,13.423777,13.523766,13.72373,13.923679,14.023649,14.123637,14.323576,14.423541,14.623515,14.723475"
IN_A_NOT_B,827,0,0,8,"45,255,2,51,0,0,0,0",1,1.426697
IN_A_NOT_B,828,0,0,8,"0,102,1,248,0,0,0,0",2,"0.787087,0.996955"
IN_A_NOT_B,828,0,0,8,"0,102,1,253,0,0,0,0",1,3.43696
IN_A_NOT_B,848,0,0,8,"0,51,12,7,233,11,13,1",1,11.996841
IN_A_NOT_B,848,0,0,8,"1,51,12,7,233,11,13,1",1,12.99688
IN_A_NOT_B,848,0,0,8,"2,51,12,7,233,11,13,1",1,13.996928
IN_A_NOT_B,848,0,0,8,"49,50,12,7,233,11,13,1",1,0.997904
IN_A_NOT_B,848,0,0,8,"50,50,12,7,233,11,13,1",1,1.996853
IN_A_NOT_B,848,0,0,8,"51,50,12,7,233,11,13,1",1,2.996817
IN_A_NOT_B,848,0,0,8,"52,50,12,7,233,11,13,1",1,3.996906
IN_A_NOT_B,848,0,0,8,"53,50,12,7,233,11,13,1",1,4.996848
IN_A_NOT_B,848,0,0,8,"54,50,12,7,233,11,13,1",1,5.996881
IN_A_NOT_B,848,0,0,8,"55,50,12,7,233,11,13,1",1,6.998821
IN_A_NOT_B,848,0,0,8,"56,50,12,7,233,11,13,1",1,7.996939
IN_A_NOT_B,848,0,0,8,"57,50,12,7,233,11,13,1",1,8.996956
IN_A_NOT_B,848,0,0,8,"58,50,12,7,233,11,13,1",1,9.996936
IN_A_NOT_B,848,0,0,8,"59,50,12,7,233,11,13,1",1,10.998861
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,47",1,0.00456
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,49",2,"1.004576,2.0035"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,51",2,"3.003506,4.004577"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,53",2,"5.004519,6.003571"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,55",2,"7.004621,8.003593"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,57",2,"9.00362,10.004567"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,50,0,59",2,"11.004037,12.004473"
IN_A_NOT_B,908,0,0,8,"233,7,11,13,17,51,0,1",2,"13.003558,14.004575"
IN_A_NOT_B,946,0,0,8,"64,0,102,0,0,255,255,0",81,"0.012399,0.048599,0.089889,0.307942,0.448665,0.729552,0.867877,0.910059,0.999866,1.089039,1.306961,1.40698,1.507018,1.566985,1.628537,1.729591,1.929644,2.089023,2.12955,2.188924,2.246133,2.289058,2.329518,2.428464,2.489019,2.529526,2.567244,2.606984,2.769073,2.828483,2.909023,3.01794,3.037785,3.089015,3.406945,3.466948,3.529523,3.606936,3.706944,3.80693,3.908963,3.969671,4.012405,4.145945,4.227458,4.329504,4.388942,4.447589,4.5295,4.566996,4.645974,4.706966,4.845967,4.889928,4.997816,5.029339,5.067939,5.129407,5.206963,5.246042,5.287958,5.32933,5.447767,5.506969,5.62728,5.666939,5.729248,5.787926,5.88992,6.013352,6.028213,6.08794,6.506964,7.027926,8.027693,9.027559,10.027578,11.027502,12.027534,13.027528,14.027491"
,,,,,,,
=== In capture_02_no_presses_lights_cycled_every_3s_between_max_and_min_grouped but NOT in capture_01_no_presses_lights_cycled_every_3s_between_off_and_on_grouped ===,,,,,,,
IN_B_NOT_A,557,0,0,8,"117,0,0,0,0,0,0,0",7,"8.089418,9.0695,10.089406,10.85943,12.589365,12.859454,14.089471"
IN_B_NOT_A,562,0,0,8,"255,78,0,255,0,0,0,0",2,"0.141328,0.341219"
IN_B_NOT_A,562,0,0,8,"255,79,0,255,0,0,0,0",70,"0.541191,0.741254,0.941086,1.141117,1.341107,1.541185,1.741199,1.940183,2.140158,2.340172,2.54029,2.740264,2.940182,3.140177,3.340166,3.540387,3.740302,3.940188,4.140199,4.3402,4.540307,4.740379,4.940126,5.140122,5.340101,5.540173,5.740197,5.940557,6.140098,6.340089,6.540146,6.740298,6.940091,7.14014,7.340079,7.540144,7.740187,7.940082,8.140068,8.340075,8.54015,8.740201,8.940124,9.140121,9.340137,9.540252,9.740367,9.94018,10.140154,10.340034,10.540103,10.740207,10.940033,11.140021,11.340052,11.540106,11.740166,11.940031,12.14005,12.340042,12.540158,12.740204,12.940026,13.140101,13.340098,13.540099,13.740245,13.94008,14.140075,14.340137"
IN_B_NOT_A,706,0,0,4,"19,136,145,0,,,,",1,0.729234
IN_B_NOT_A,736,0,0,8,"64,192,0,255,89,93,97,94",1,0.449384
IN_B_NOT_A,762,0,0,8,"0,0,100,24,0,0,200,0",1,8.899581
IN_B_NOT_A,762,0,0,8,"0,0,103,24,0,0,200,0",1,3.159407
IN_B_NOT_A,762,0,0,8,"0,0,104,24,0,0,200,0",1,11.840032
IN_B_NOT_A,762,0,0,8,"0,0,105,24,0,0,200,0",1,5.920473
IN_B_NOT_A,762,0,0,8,"0,0,107,24,0,0,200,0",1,8.880091
IN_B_NOT_A,762,0,0,8,"0,0,110,24,0,0,200,0",1,3.142088
IN_B_NOT_A,762,0,0,8,"0,0,113,24,0,0,200,0",2,"5.942461,11.860369"
