
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 17611 bytes in 20.67 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
173,0xF0
255,0x00
276,0xFF
308,0x00
328,0xFF
348,0x00
371,0xFF
396,0x00
416,0xFF
436,0x00
456,0xFF
476,0x00
497,0xFF
517,0x00
537,0xFF
557,0x00
577,0xFF
597,0x00
617,0xFF
637,0x00
658,0xFF
678,0x00
698,0xFF
718,0x00
738,0xFF
758,0x00
778,0xFF
798,0x00
819,0x55
839,0xC1
859,0x00
879,0x10
899,0x00
920,0xFF
940,0x2E
960,0x00
980,0x55
1000,0xB1
1020,0x0C
1040,0x00
1060,0x42
1081,0x00
1101,0x55
1121,0xC4
1141,0x00
1161,0x55
1181,0x1F
1201,0x79
1221,0xC9
1242,0x00
1262,0x0C
1282,0x00
1302,0xC0
1322,0xFF
1342,0xFF
1395,0xD0
1415,0x00
1437,0x55
1456,0x6A
1475,0x24
1494,0xA0
1513,0x00
1559,0x00
1578,0x00
1596,0xFF
1615,0xFF
1634,0xFF
1653,0xD0
1672,0x00
1691,0x55
1710,0xE9
1729,0x00
1748,0x55
1767,0xAD
1786,0x00
1805,0x55
1824,0x61
1843,0x20
1862,0x44
1881,0xFF
1902,0xFF
1921,0xFF
1940,0xFF
1959,0xFF
1978,0xFF
1997,0x3A
2016,0x00
2035,0x55
2080,0xCF
2099,0x0C
2118,0xFE
2137,0x25
2156,0x00
2175,0x55
2194,0x8E
2213,0x60
2232,0x7F
2251,0x91
2270,0x00
2289,0x55
2312,0xDD
2331,0x00
2350,0xFC
2369,0x25
2393,0x00
2412,0x55
2431,0x1F
2450,0x79
2469,0xC9
2488,0x00
2507,0x0C
2526,0x00
2545,0xC0
2590,0xFF
2609,0xFF
2628,0xD0
2647,0x00
2666,0x55
2685,0x80
2704,0x00
2723,0x55
2742,0x32
2761,0x09
2780,0x00
2799,0xC4
2817,0x00
2836,0x55
2855,0x9C
2874,0x00
2897,0x00
2916,0x2C
2935,0x10
2954,0xE0
2973,0xFF
2992,0x3F
3011,0x35
3029,0xD1
3048,0x00
3067,0x55
3086,0x1F
3105,0x79
3124,0xC9
3143,0x00
3162,0x0C
3181,0x00
3200,0xC0
3219,0xFF
3238,0xFF
3257,0xD0
3276,0x00
3295,0x55
3314,0x42
3333,0x00
3352,0xFF
3371,0xBD
3394,0x00
3413,0x55
3432,0xCA
3451,0xFC
3470,0x7F
3489,0xB8
3508,0x00
3527,0x55
3546,0x0D
3565,0x00
3584,0x00
3603,0xF2
3622,0x00
3641,0x55
3660,0xC1
3679,0x00
3698,0x10
3717,0x00
3736,0xFF
3755,0x2E
3773,0x00
3792,0x55
3811,0xB1
3830,0x0C
3849,0x00
3868,0x42
3887,0x00
3909,0x55
3928,0xC4
3947,0x00
3966,0x55
3985,0x1F
4004,0x79
4023,0xC9
4042,0x00
4061,0x0C
4080,0x00
4099,0xC0
4118,0xFF
4137,0xFF
4156,0xD0
4175,0x00
4194,0x55
4213,0x6A
4232,0x24
4252,0xA0
4271,0x00
4289,0x00
4308,0x00
4327,0xFF
4346,0xFF
4365,0xFF
4384,0xD0
4408,0x00
4427,0x55
4446,0xE9
4465,0x00
4484,0x55
4503,0xAD
4522,0x00
4541,0x55
4560,0x61
4578,0x20
4597,0x44
4616,0xFF
4635,0xFF
4654,0xFF
4673,0xFF
4692,0xFF
4711,0xFF
4730,0x3A
4749,0x00
4768,0x55
4787,0xCF
4806,0x0C
4893,0xFE
4905,0x25
4924,0x00
4943,0x55
4962,0x8E
4981,0x60
5000,0x7F
5019,0x91
5038,0x00
5057,0x55
5076,0xDD
5095,0x00
5114,0xFC
5133,0x25
5152,0x00
5171,0x55
5190,0x1F
5209,0x79
5228,0xC9
5246,0x00
5265,0x0C
5284,0x00
5303,0xC0
5322,0xFF
5341,0xFF
5360,0xD0
5379,0x00
5403,0x55
5422,0xFF
5441,0x2E
5460,0x00
5479,0x55
5498,0xB1
5517,0x0C
5536,0x00
5581,0x42
5600,0x00
5619,0x55
5638,0xC4
5657,0x00
5676,0x55
5695,0x1F
5714,0x79
5733,0xC9
5752,0x00
5771,0x0C
5790,0x00
5809,0xC0
5828,0xFF
5847,0xFF
5866,0xD0
5885,0x00
5907,0x55
5926,0x6A
5945,0x24
5964,0xA0
5983,0x00
6001,0x00
6020,0x00
6039,0xFF
6058,0xFF
6104,0xFF
6123,0xD0
6142,0x00
6161,0x55
6180,0xE9
6199,0x00
6218,0x55
6237,0xAD
6256,0x00
6276,0x55
6295,0x61
6314,0x20
6333,0x44
6352,0xFF
6370,0xFF
6394,0xFF
6413,0xFF
6432,0xFF
6451,0xFF
6470,0x3A
6489,0x00
6508,0x55
6527,0xCF
6546,0x0C
6565,0xFE
6584,0x25
6630,0x00
6648,0x55
6667,0x8E
6686,0x60
7166,0x7F
7683,0x91
9834,0xFF
10522,0x55
11043,0xDD
11575,0x00
12089,0xFC
12614,0x25
14910,0xFF
15594,0x55
16117,0x1F
16695,0x79
17262,0xC9
17833,0x00
18412,0x0C
18979,0x00
19557,0xC0
20124,0xFF
20701,0xFF
21270,0xD0
25588,0x55
26102,0x80
30522,0x55
31043,0x32
31568,0x09
32088,0x00
32613,0xC4
34910,0xFF
35595,0x55
36117,0x9C
36648,0x00
37170,0x00
37687,0x2C
38208,0x10
38725,0xE0
39247,0xFF
39771,0x3F
40285,0x35
40809,0xD1
44872,0xFF
45561,0x55
46082,0x1F
46659,0x79
47234,0xC9
47805,0x00
48379,0x0C
48951,0x00
49521,0xC0
50096,0xFF
50667,0xFF
51242,0xD0
55549,0x55
56071,0x42
56603,0x00
57124,0xFF
57641,0xBD
59841,0xFF
60527,0x55
61048,0xCA
61580,0xFC
62102,0x7F
62618,0xB8
70519,0x55
71040,0x0D
71649,0x00
72224,0x00
72794,0xF2
80530,0x55
81051,0xC1
81629,0x00
82150,0x10
82674,0x00
83188,0xFF
83712,0x2E
90519,0x55
91040,0xB1
91573,0x0C
92094,0x00
92610,0x42
99826,0xFF
100515,0x55
101036,0xC4
110514,0x55
111035,0x1F
111628,0x79
112204,0xC9
112774,0x00
113349,0x0C
113920,0x00
114490,0xC0
115066,0xFF
115636,0xFF
116211,0xD0
120515,0x55
121035,0x6A
121567,0x24
