
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 16356 bytes in 19.20 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
165,0x22
229,0xFD
249,0xFF
269,0xFF
305,0xFF
325,0xFF
345,0xFF
366,0x3A
386,0x00
406,0x55
426,0xCF
446,0x0C
466,0xFE
503,0x25
523,0x00
543,0x55
566,0x8E
586,0x60
607,0x7F
627,0x91
647,0x00
667,0x55
687,0xDD
707,0x00
727,0xFC
747,0x25
768,0x00
788,0x55
808,0x1F
828,0x7A
848,0xC9
868,0x00
891,0x0C
910,0x00
929,0xC0
948,0xFF
967,0xFF
988,0xCF
1006,0x00
1025,0x55
1044,0x80
1063,0x00
1082,0x55
1101,0x32
1120,0x09
1139,0x00
1158,0xC4
1177,0x00
1196,0x55
1215,0x9C
1234,0x00
1253,0x00
1272,0x2C
1291,0x10
1310,0xE0
1329,0xFF
1348,0x3F
1367,0x35
1385,0xD1
1404,0x00
1423,0x55
1442,0x1F
1461,0x7A
1485,0xC9
1504,0x00
1523,0x0C
1542,0x00
1561,0xC0
1580,0xFF
1599,0xFF
1618,0xCF
1637,0x00
1656,0x55
1675,0x42
1694,0x00
1713,0xFF
1731,0xBD
1750,0x00
1769,0x55
1788,0xCA
1807,0xFC
1826,0x7F
1845,0xB8
1864,0x00
1883,0x55
1902,0x0D
1921,0x00
1940,0x00
1959,0xF2
1980,0x00
1999,0x55
2018,0xC1
2036,0x00
2055,0x10
2074,0x00
2093,0xFF
2112,0x2E
2131,0x00
2150,0x55
2169,0xB1
2191,0x0C
2210,0x00
2229,0x42
2248,0x00
2267,0x55
2286,0xC4
2305,0x00
2324,0x55
2343,0x1F
2362,0x7A
2381,0xC9
2400,0x00
2419,0x0C
2438,0x00
2457,0xC0
2480,0xFF
2499,0xFF
2518,0xCF
2537,0x00
2556,0x55
2575,0x6A
2594,0x24
2613,0xA0
2632,0x00
2651,0x00
2670,0x00
2689,0xFF
2708,0xFF
2727,0xFF
