
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 13491 bytes in 15.28 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
185,0xF0
267,0x3F
287,0x35
307,0xD2
327,0x00
347,0x55
368,0x1F
394,0x7D
414,0xC9
437,0x00
457,0x0C
478,0x00
498,0xC0
518,0xFF
538,0xFF
558,0xCC
578,0x00
598,0x55
618,0x42
643,0x00
664,0xFF
684,0xBD
704,0x00
724,0x55
744,0xCA
764,0xFC
784,0x7F
804,0xB8
825,0x00
845,0x55
865,0x0D
885,0x00
905,0x00
925,0xF2
945,0x00
965,0x55
986,0xC1
1006,0x00
1026,0x10
1046,0x00
1066,0xFF
1086,0x2E
1106,0x00
1126,0x55
1149,0xB1
1170,0x0C
1252,0x00
1263,0x42
1283,0x00
1303,0x55
1324,0xC4
1344,0x01
1364,0xFF
1384,0x3A
1404,0x00
1424,0x55
1444,0x1F
1464,0x7D
1485,0xC9
1505,0x00
1525,0x0C
1545,0x00
1565,0xC0
1585,0xFF
1605,0xFF
1630,0xCC
1650,0x00
1670,0x55
1690,0x6A
1711,0x24
1731,0xA0
1779,0x00
1801,0x00
1820,0x00
1839,0xFF
1858,0xFF
1877,0xFF
1896,0xD0
1942,0x00
1961,0x55
1980,0xE9
1998,0x00
2017,0x55
2036,0xAD
2055,0x00
2074,0x55
2093,0x61
2112,0x20
2133,0x44
2152,0xFF
2171,0xFF
2190,0xFF
2209,0xFF
2228,0xFF
2247,0xFF
2266,0x3A
2285,0x00
2304,0x55
2323,0xCF
2342,0x0C
2365,0xFE
2384,0x25
2403,0x00
2422,0x55
2468,0x8E
2487,0x60
2506,0x7F
2524,0x91
2543,0x00
2562,0x55
2581,0xDD
2600,0x00
2619,0xFC
2643,0x25
2662,0x00
2681,0x55
2700,0x1F
2719,0x7D
2738,0xC9
2757,0x00
2776,0x0C
2795,0x00
2814,0xC0
2833,0xFF
2852,0xFF
2870,0xCC
2889,0x00
2908,0x55
2927,0x80
2946,0x00
2992,0x55
3011,0x32
3029,0x09
3048,0x00
3067,0xC4
3086,0x00
3105,0x55
3124,0x9C
3145,0x00
3164,0x00
3183,0x2B
3202,0x10
3221,0xE0
3240,0xFF
3259,0x3F
3278,0x35
3297,0xD2
3316,0x00
3335,0x55
3354,0x1F
3373,0x7D
3392,0xC9
3411,0x00
3430,0x0C
3449,0x00
3468,0xC0
3513,0xFF
3532,0xFF
3551,0xCC
3570,0x00
3589,0x55
3608,0x42
3632,0x00
3650,0xFF
3669,0xBD
3688,0x00
3707,0x55
3726,0xCA
3745,0xFC
3764,0x7F
3783,0xB8
3802,0x00
3821,0x55
3840,0x0D
3859,0x00
3878,0x00
3897,0xF2
3916,0x00
3935,0x55
3954,0xC1
3973,0x00
3992,0x10
4037,0x00
4056,0xFF
4075,0x2E
4094,0x00
4113,0x55
4134,0xB1
4153,0x0C
4172,0x00
4191,0x42
4210,0x00
4229,0x55
4248,0xC4
4266,0x01
4285,0xFF
4304,0x3A
4323,0x00
4342,0x55
4361,0x1F
4381,0x7D
4400,0xC9
4419,0x00
4438,0x0C
4457,0x00
4476,0xC0
4495,0xFF
4514,0xFF
4533,0xCC
4552,0x00
4571,0x55
4590,0x6A
4609,0x24
4632,0xA0
4651,0x00
4670,0x00
4689,0x00
4708,0xFF
4727,0xFF
4746,0xFF
4765,0xD0
4784,0x00
4803,0x55
4822,0xE9
4841,0x00
4860,0x55
4879,0xAD
4898,0x00
4917,0x55
4936,0x61
4955,0x20
4974,0x44
4993,0xFF
5011,0xFF
5030,0xFF
5049,0xFF
5068,0xFF
5087,0xFF
5106,0x3A
5125,0x00
5145,0x55
5164,0xCF
5183,0x0C
5202,0xFE
5221,0x25
5240,0x00
5259,0x55
5278,0x8E
5297,0x60
5316,0x7F
5335,0x91
5354,0x00
5373,0x55
5392,0xDD
5411,0x00
5430,0xFC
5449,0x25
5468,0x00
5487,0x00
5506,0x0C
5525,0x00
5543,0xC0
5562,0xFF
5581,0xFF
5600,0xCD
5619,0x00
5643,0x55
5662,0x6A
5681,0x24
5700,0xA0
5719,0x00
5738,0x00
5757,0x00
5776,0xFF
5795,0xFF
5814,0xFF
5833,0xD0
5852,0x00
5871,0x55
5890,0xE9
5909,0x00
5928,0x55
5947,0xAD
5966,0x00
5985,0x55
6003,0x61
6022,0x20
6041,0x44
6060,0xFF
6079,0xFF
6098,0xFF
6117,0xFF
6137,0xFF
6156,0xFF
6246,0x3A
6265,0x55
6284,0xCF
6303,0x0C
6322,0xFE
6341,0x25
