
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 13130 bytes in 15.00 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
186,0xF0
250,0x00
270,0x55
290,0x42
310,0x00
330,0xFF
367,0xBD
387,0x00
407,0x55
427,0xCA
448,0xFC
468,0x7F
488,0xB8
508,0x00
528,0x55
548,0x0D
568,0x00
594,0x00
615,0xF2
641,0x00
661,0x55
681,0xC1
701,0x00
721,0x10
742,0x00
762,0xFF
782,0x2E
802,0x00
822,0x55
842,0xB1
890,0x0C
938,0x00
961,0x42
980,0x00
999,0x55
1018,0xC4
1037,0x01
1056,0xFF
1075,0x3A
1094,0x00
1117,0x55
1136,0x1F
1155,0x7D
1174,0xC9
1193,0x00
1212,0x0C
1231,0x00
1250,0xC0
1269,0xFF
1288,0xFF
1307,0xCC
1326,0x00
1345,0x55
1364,0x6A
1383,0x24
1401,0xA0
1420,0x00
1439,0x00
1458,0x00
1504,0xFF
1523,0xFF
1542,0xFF
1561,0xD0
1580,0x00
1599,0x55
1618,0xE9
1637,0x00
1656,0x55
1675,0xAD
1694,0x00
1712,0x55
1731,0x61
1750,0x20
1769,0x44
1788,0xFF
1807,0xFF
1826,0xFF
1845,0xFF
1864,0xFF
1883,0xFF
1902,0x3A
1921,0x00
1940,0x55
1959,0xCF
1978,0x0C
1997,0xFE
2016,0x25
2035,0x00
2080,0x55
2099,0x8E
2122,0x60
2141,0x7F
2160,0x91
2179,0x00
2198,0x55
2217,0xDD
2236,0x00
2255,0xFC
2274,0x25
2293,0x00
2316,0x55
2335,0x1F
2354,0x7D
2373,0xC9
2392,0x00
2411,0x0C
2430,0x00
2449,0xC0
2468,0xFF
2487,0xFF
2506,0xCC
2525,0x00
2544,0x55
2563,0x80
2582,0x00
2601,0x55
2646,0x32
2665,0x09
2684,0x00
2703,0xC4
2722,0x00
2741,0x55
2760,0x9C
2779,0x00
2798,0x00
2817,0x2B
2836,0x10
2855,0xE0
2873,0xFF
2892,0x3F
2911,0x35
2930,0xD2
2949,0x00
2968,0x55
2987,0x1F
3006,0x7D
3025,0xC9
3044,0x00
3063,0x0C
3082,0x00
3101,0xC0
3125,0xFF
3144,0xFF
3163,0xCC
3182,0x00
3227,0x55
3246,0x42
3265,0x00
3284,0xFF
3303,0xBD
3322,0x00
3341,0x55
3360,0xCA
3379,0xFC
3398,0x7F
3417,0xB8
3436,0x00
3454,0x55
3473,0x0D
3492,0x00
3511,0x00
3530,0xF2
3549,0x00
3568,0x55
3587,0xC1
3606,0x00
3625,0x10
3644,0x00
3663,0xFF
3682,0x2E
3701,0x00
3720,0x55
3739,0xB1
3780,0x0C
3803,0x00
3822,0x42
3841,0x00
3860,0x55
3879,0xC4
3898,0x01
3917,0xFF
3936,0x3A
3955,0x00
3974,0x55
3993,0x1F
4012,0x7D
4031,0xC9
4050,0x00
4069,0x0C
4088,0x00
4106,0xC0
4130,0xFF
4149,0xFF
4168,0xCC
4187,0x00
4206,0x55
4225,0x6A
4244,0x24
4263,0xA0
4282,0x00
4302,0x00
4321,0x00
4340,0xFF
4359,0xFF
4378,0xFF
4397,0xD0
4416,0x00
4435,0x55
4454,0xE9
4472,0x00
4491,0x55
4510,0xAD
4529,0x00
4548,0x55
4567,0x61
4586,0x20
4605,0x44
4625,0xFF
4644,0xFF
4663,0xFF
4681,0xFF
4700,0xFF
4719,0xFF
4738,0x3A
4757,0x00
4776,0x55
4795,0xCF
4814,0x0C
4833,0xFE
4852,0x25
4871,0x00
4890,0x55
4909,0x8E
4928,0x60
4947,0x7F
4966,0x91
4985,0x00
5004,0x55
5023,0xDD
5042,0x00
5060,0xFC
5079,0x25
5098,0x00
5122,0x55
5141,0x1F
5160,0x7D
5179,0xC9
5198,0x00
5217,0x0C
5236,0x00
5255,0xC0
5274,0xFF
5293,0xFF
5312,0xCC
5331,0x00
5349,0x55
5368,0x80
5387,0x00
5406,0xFF
5425,0xFF
5444,0xCC
5463,0x00
5482,0x55
5501,0x80
5520,0x00
5539,0x55
5558,0x32
5577,0x09
5596,0x00
5615,0xC4
5636,0x00
5655,0x55
5674,0x9C
5693,0x00
5712,0x00
5731,0x2B
5750,0x10
5769,0xE0
5788,0xFF
5807,0x3F
5826,0x35
5845,0xD2
5864,0x00
5883,0x55
5902,0x1F
5921,0x7D
5940,0xC9
5959,0x00
5978,0x0C
5997,0x00
6016,0xC0
6034,0xFF
6053,0xFF
6072,0xCC
8134,0x55
8656,0x42
9181,0x00
9701,0xFF
10226,0xBD
12415,0xFF
13099,0x55
13624,0xCA
14154,0xFC
14675,0x7F
15191,0xB8
23099,0x55
23615,0x0D
24226,0x00
24800,0x00
25370,0xF2
33099,0x55
33624,0xC1
34202,0x00
34724,0x10
35248,0x00
35762,0xFF
36287,0x2E
43099,0x55
43616,0xB1
44156,0x0C
44670,0x00
45187,0x42
52400,0xFF
