
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 13057 bytes in 14.87 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
187,0xF0
256,0x00
288,0x55
308,0xDD
334,0x00
355,0xFC
375,0x25
395,0x00
415,0x55
435,0x1F
455,0x7D
475,0xC9
495,0x00
516,0x0C
536,0x00
556,0xC0
576,0xFF
596,0xFF
616,0xCC
636,0x00
656,0x55
677,0x80
697,0x00
717,0x55
737,0x32
757,0x09
777,0x00
797,0xC4
817,0x00
838,0x55
858,0x9C
878,0x00
898,0x00
918,0x2B
939,0x10
959,0xE0
979,0xFF
999,0x3F
1019,0x35
1039,0xD2
1059,0x00
1079,0x55
1100,0x1F
1120,0x7D
1140,0xC9
1160,0x00
1180,0x0C
1200,0x00
1220,0xC0
1240,0xFF
1261,0xFF
1281,0xCC
1301,0x00
1321,0x55
1346,0x42
1366,0x00
1386,0xFF
1406,0xBD
1426,0x00
1447,0x55
1467,0xCA
1487,0xFC
1507,0x7F
1527,0xB8
1547,0x00
1567,0x55
1587,0x0D
1608,0x00
1628,0x00
1648,0xF2
1668,0x00
1688,0x55
1708,0xC1
1728,0x00
1748,0x10
1771,0x00
1790,0xFF
1809,0x2E
1828,0x00
1849,0x55
1868,0xB1
1887,0x0C
1906,0x00
1925,0x42
1944,0x00
1963,0x55
1982,0xC4
2001,0x01
2020,0xFF
2039,0x3A
2058,0x00
2077,0x55
2096,0x1F
2115,0x7D
2134,0xC9
2153,0x00
2171,0x0C
2190,0x00
2209,0xC0
2228,0xFF
2291,0xFF
2309,0xCC
2333,0x00
2352,0x55
2371,0x6A
2390,0x24
2409,0xA0
2428,0x00
2447,0x00
2466,0x00
2485,0xFF
2504,0xFF
2523,0xFF
2542,0xD0
2561,0x00
2580,0x55
2599,0xE9
2618,0x00
2637,0x55
2655,0xAD
2674,0x00
2693,0x55
2712,0x61
2731,0x20
2750,0x44
2769,0xFF
2788,0xFF
2807,0xFF
2826,0xFF
2846,0xFF
2865,0xFF
2884,0x3A
2903,0x00
2922,0x55
2941,0xCF
2960,0x0C
3006,0xFE
3024,0x25
3043,0x00
3062,0x55
3081,0x8E
3100,0x60
3119,0x7F
3138,0x91
3157,0x00
3176,0x55
3195,0xDD
3214,0x00
3233,0xFC
3252,0x25
3271,0x00
3290,0x55
3309,0x1F
3333,0x7D
3352,0xC9
3370,0x00
3389,0x0C
3408,0x00
3427,0xC0
3446,0xFF
3465,0xFF
3511,0xCC
3529,0x00
3548,0x55
3567,0x80
3586,0x00
3605,0x55
3624,0x32
3643,0x09
3662,0x00
3681,0xC4
3700,0x00
3719,0x55
3738,0x9C
3757,0x00
3776,0x00
3795,0x2B
3814,0x10
3835,0xE0
3854,0xFF
3873,0x3F
3892,0x35
3910,0xD2
3929,0x00
3948,0x55
3967,0x1F
3986,0x7D
4005,0xC9
4024,0x00
4043,0x0C
4088,0x00
4107,0xC0
4126,0xFF
4145,0xFF
4164,0xCC
4183,0x00
4202,0x55
4221,0x42
4240,0x00
4259,0xFF
4279,0xBD
4298,0x00
4317,0x55
4340,0xCA
4359,0xFC
4378,0x7F
4397,0xB8
4416,0x00
4435,0x55
4454,0x0D
4473,0x00
4492,0x00
4511,0xF2
4530,0x00
4549,0x55
4568,0xC1
4587,0x00
4606,0x10
4651,0x00
4670,0xFF
4689,0x2E
4708,0x00
4727,0x55
4746,0xB1
4765,0x0C
4784,0x00
4803,0x42
4822,0x00
4843,0x55
4862,0xC4
4880,0x01
4899,0xFF
4918,0x3A
4937,0x00
4956,0x55
4975,0x1F
4994,0x7D
5013,0xC9
5032,0x00
5051,0x0C
5070,0x00
5089,0xC0
