
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 12941 bytes in 14.74 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
171,0xF0
250,0x00
270,0x55
290,0x0D
310,0x00
342,0x00
362,0xF2
383,0x00
406,0x55
426,0xC1
446,0x00
467,0x10
487,0x00
507,0xFF
527,0x2E
548,0x00
568,0x55
588,0xB1
608,0x0C
628,0x00
648,0x42
668,0x00
688,0x55
709,0xC4
729,0x01
749,0xFF
769,0x3A
789,0x00
809,0x55
829,0x1F
849,0x7E
870,0xC9
890,0x00
910,0x0C
930,0x00
950,0xC0
977,0xFF
996,0xFF
1015,0xCB
1034,0x00
1053,0x55
1072,0x6A
1091,0x24
1110,0xA0
1129,0x00
1148,0x00
1167,0x00
1186,0xFF
1205,0xFF
1224,0xFF
1243,0xD0
1262,0x00
1281,0x55
1299,0xE9
1318,0x00
1337,0x55
1356,0xAD
1375,0x00
1394,0x55
1413,0x61
1432,0x20
1451,0x44
1470,0xFF
1491,0xFF
1510,0xFF
1529,0xFF
1548,0xFF
1567,0xFF
1586,0x3A
1605,0x00
1624,0x55
1643,0xCF
1662,0x0C
1681,0xFE
1699,0x25
1718,0x00
1737,0x55
1756,0x8E
1775,0x60
1794,0x7F
1813,0x91
1832,0x00
1851,0x55
1870,0xDD
1889,0x00
1908,0xFC
1927,0x25
1946,0x00
1965,0x55
1989,0x1F
2008,0x7E
2027,0xC9
2045,0x00
2064,0x0C
2083,0x00
2102,0xC0
2121,0xFF
2140,0xFF
2159,0xCB
2178,0x00
2201,0x55
2220,0x80
2239,0x00
2258,0x55
2277,0x32
2296,0x09
2315,0x00
2334,0xC4
2353,0x00
2372,0x55
2391,0x9C
2410,0x00
2429,0x00
2448,0x2B
2467,0x10
2489,0xE0
2508,0xFF
2527,0x3F
2546,0x35
2565,0xD2
2584,0x00
2603,0x55
2622,0x1F
2641,0x7E
2659,0xC9
2678,0x00
2697,0x0C
2716,0x00
2735,0xC0
2754,0xFF
2773,0xFF
2792,0xCB
2811,0x00
2830,0x55
2849,0x42
2868,0x00
2887,0xFF
2906,0xBD
2925,0x00
2944,0x55
2963,0xCA
2986,0xFC
3005,0x7F
3024,0xB8
3043,0x00
3062,0x55
3081,0x0D
3100,0x00
3119,0x00
3138,0xF2
3157,0x00
3176,0x55
3195,0xC1
3214,0x00
3233,0x10
3252,0x00
3271,0xFF
3290,0x2E
3309,0x00
3327,0x55
3346,0xB1
3365,0x0C
3384,0x00
3403,0x42
3422,0x00
3441,0x55
3460,0xC4
3481,0x01
3500,0xFF
3519,0x3A
3538,0x00
3557,0x55
3576,0x1F
3595,0x7D
3614,0xC9
3633,0x00
3652,0x0C
3671,0x00
3690,0xC0
3709,0xFF
3728,0xFF
3747,0xCC
3766,0x00
3785,0x55
3804,0x6A
3823,0x24
3841,0xA0
3860,0x00
3879,0x00
3898,0x00
3917,0xFF
3936,0xFF
3955,0xFF
3979,0xD0
3998,0x00
4017,0x55
4036,0xE9
4055,0x00
4074,0x55
4093,0xAD
4113,0x00
4132,0x55
4151,0x61
4170,0x20
4189,0x44
4207,0xFF
4226,0xFF
4245,0xFF
4264,0xFF
4283,0xFF
