
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 16697 bytes in 19.06 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
187,0x40
250,0xFE
283,0x00
303,0x55
323,0xCF
347,0x0C
368,0xFE
388,0x25
408,0x00
428,0x55
448,0x8E
468,0x60
489,0x7F
509,0x91
529,0x00
549,0x55
569,0xDD
589,0x00
609,0xFC
629,0x25
650,0x00
670,0x55
690,0x1F
710,0x7E
730,0xC9
778,0x00
826,0x0C
849,0x00
873,0xC0
892,0xFF
910,0xFF
929,0xCB
948,0x00
967,0x55
986,0x80
1005,0x00
1024,0x55
1043,0x32
1062,0x09
1081,0x00
1100,0xC4
1119,0x00
1138,0x55
1157,0x9C
1176,0x00
1195,0x00
1214,0x2B
1233,0x10
1252,0xE0
1296,0xFF
1315,0x3F
1334,0x35
1353,0xD2
1376,0x00
1394,0x55
1413,0x1F
1432,0x7E
1451,0xC9
1470,0x00
1489,0x0C
1508,0x00
1527,0xC0
1546,0xFF
1565,0xFF
1584,0xCB
1603,0x00
1622,0x55
1641,0x42
1660,0x00
1679,0xFF
1698,0xBD
1717,0x00
1736,0x55
1755,0xCA
1773,0xFC
1792,0x7F
1811,0xB8
1830,0x00
1849,0x55
1873,0x0D
1892,0x00
1911,0x00
1930,0xF2
1949,0x00
1968,0x55
1987,0xC1
2006,0x00
2025,0x10
2044,0x00
2063,0xFF
2082,0x2E
2101,0x00
2120,0x55
2138,0xB1
2157,0x0C
2176,0x00
2195,0x42
2214,0x00
2233,0x55
2252,0xC4
2276,0x01
2294,0xFF
2313,0x3A
2332,0x00
2351,0x55
2373,0x1F
2392,0x7D
2411,0xC9
2430,0x00
2449,0x0C
2468,0x00
2487,0xC0
2506,0xFF
2525,0xFF
2544,0xCC
2563,0x00
2582,0x55
2601,0x6A
2620,0x24
2639,0xA0
2657,0x00
2676,0x00
2695,0x00
2714,0xFF
2733,0xFF
2752,0xFF
2771,0xD0
2790,0x00
2809,0x55
2828,0xE9
2847,0x00
2871,0x55
2890,0xAD
2909,0x00
2928,0x55
2947,0x61
2966,0x20
2985,0x44
3003,0xFF
3022,0xFF
3041,0xFF
3060,0xFF
3079,0xFF
3098,0xFF
3117,0x3A
3136,0x00
3155,0x55
3174,0xCF
3193,0x0C
3212,0xFE
3231,0x25
3250,0x00
3269,0x55
3288,0x8E
3307,0x60
3326,0x7F
3345,0x91
3366,0x00
3385,0x55
3404,0xDD
3423,0x00
3441,0xFC
3460,0x25
3479,0x00
3566,0x55
3577,0x1F
3596,0x7D
3615,0xC9
3634,0x00
3653,0x0C
3672,0x00
3691,0xC0
3710,0xFF
3729,0xFF
3748,0xCC
3767,0x00
3786,0x55
3805,0x80
3823,0x00
3842,0x55
3866,0x32
3885,0x09
3904,0x00
3923,0xC4
3942,0x00
3961,0x55
3980,0x9C
3999,0x00
4018,0x00
4037,0x2B
4055,0x10
4074,0xE0
4093,0xFF
4112,0x3F
4131,0x35
4150,0xD2
4169,0x00
4188,0x55
4207,0x1F
4252,0x7D
4272,0xC9
4291,0x00
4310,0x0C
4329,0x00
4348,0xC0
4367,0xFF
4386,0xFF
4405,0xCC
4424,0x00
4443,0x55
4462,0x42
4481,0x00
4500,0xFF
4519,0xBD
4538,0x00
4557,0x55
4576,0xCA
4595,0xFC
4614,0x7F
4633,0xB8
4652,0x00
4671,0x55
4690,0x0D
4708,0x00
4727,0x00
4773,0xF2
4792,0x00
4811,0x55
4830,0xC1
4849,0x00
4873,0x10
4891,0x00
4910,0xFF
4929,0x2E
4948,0x00
4967,0x55
4986,0xB1
5005,0x0C
5024,0x00
5043,0x42
5062,0x00
5081,0x55
5100,0xC4
5119,0x01
5138,0xFF
5157,0x3A
5176,0x00
5195,0x55
5214,0x1F
5233,0x7D
5252,0xC9
5270,0x00
5316,0x0C
5335,0x00
5354,0xC0
5375,0xFF
5394,0xFF
5413,0xCC
5432,0xFF
5451,0xFF
5470,0xD0
5489,0x00
5508,0x55
5527,0xE9
5546,0x00
5565,0x55
5584,0xAD
5603,0x00
5622,0x55
5641,0x61
5660,0x20
5679,0x44
5698,0xFF
5717,0xFF
5736,0xFF
5755,0xFF
5774,0xFF
5793,0xFF
5838,0x3A
5862,0x00
5881,0x55
5900,0xCF
5919,0x0C
5938,0xFE
5957,0x25
5976,0x00
5995,0x55
6014,0x8E
6033,0x60
6052,0x7F
6366,0x91
9226,0x55
9749,0xDD
10281,0x00
10795,0xFC
11320,0x25
13563,0xFF
14248,0x55
14769,0x1F
15347,0x7E
15914,0xC9
16489,0x00
17059,0x0C
17634,0x00
18204,0xC0
18779,0xFF
19349,0xFF
19922,0xCB
24248,0x55
24769,0x80
25402,0x80
26025,0xFF
26647,0xFE
28540,0xFF
29225,0x55
29746,0x32
30277,0x09
30800,0x00
31316,0xC4
34249,0x55
34764,0x9C
35296,0x00
35818,0x00
36334,0x2B
36860,0x10
37384,0xE0
37899,0xFF
38420,0x3F
38937,0x35
39458,0xD2
44271,0x55
44791,0x1F
45363,0x7E
45934,0xC9
46509,0x00
47079,0x0C
47654,0x00
48225,0xC0
48800,0xFF
49373,0xFF
49944,0xCB
53563,0xFF
54248,0x55
54769,0x42
55300,0x00
55823,0xFF
56339,0xBD
59225,0x55
59746,0xCA
60277,0xFC
60800,0x7F
61316,0xB8
69226,0x55
69739,0x0D
70324,0x00
70902,0x00
71471,0xF2
79225,0x55
79746,0xC1
80324,0x00
80845,0x10
81371,0x00
81895,0xFF
82409,0x2E
88548,0xFF
89233,0x55
89754,0xB1
90286,0x0C
90807,0x00
91332,0x42
99240,0x55
99761,0xC4
109225,0x55
109746,0x1F
110354,0x7D
110927,0xC9
111501,0x00
112071,0x0C
112647,0x00
113216,0xC0
113792,0xFF
114364,0xFF
114934,0xCC
119233,0x55
119747,0x6A
120286,0x24
120800,0xA0
121324,0x00
121846,0x00
122364,0x00
122887,0xFF
123407,0xFF
123923,0xFF
124443,0xD0
128556,0xFF
129241,0x55
129762,0xE9
134249,0x55
134770,0xAD
139256,0x55
139780,0x61
140312,0x20
140825,0x44
141350,0xFF
141869,0xFF
142389,0xFF
142906,0xFF
143427,0xFF
143944,0xFF
144466,0x3A
149239,0x55
149754,0xCF
150294,0x0C
150807,0xFE
151324,0x25
153548,0xFF
154233,0x55
154754,0x8E
155286,0x60
155807,0x7F
156324,0x91
159239,0x55
159754,0xDD
160294,0x00
160807,0xFC
161324,0x25
164239,0x55
164754,0x1F
165355,0x7D
165927,0xC9
166502,0x00
167072,0x0C
167647,0x00
168217,0xC0
168792,0xFF
169364,0xFF
169934,0xCC
173548,0xFF
174233,0x55
174754,0x80
175409,0x80
176025,0xFF
176647,0xFE
179263,0x55
179784,0x32
180316,0x09
180838,0x00
181355,0xC4
184264,0x55
184779,0x9C
185311,0x00
185833,0x00
186350,0x2B
186876,0x10
187393,0xE0
187909,0xFF
188429,0x3F
188953,0x35
