
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 14131 bytes in 16.12 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
187,0xF0
272,0x00
292,0x55
312,0x6A
336,0x24
356,0xA0
376,0x00
396,0x00
416,0x00
437,0xFF
457,0xFF
477,0xFF
497,0xD0
517,0x00
537,0x55
557,0xE9
577,0x00
598,0x55
618,0xAD
638,0x00
658,0x55
678,0x61
698,0x20
718,0x44
738,0xFF
759,0xFF
779,0xFF
799,0xFF
819,0xFF
839,0xFF
859,0x3A
884,0x00
904,0x55
924,0xCF
945,0x0C
965,0xFE
985,0x25
1005,0x00
1025,0x55
1045,0x8E
1065,0x60
1085,0x7F
1106,0x91
1126,0x00
1146,0x55
1166,0xDD
1186,0x00
1206,0xFC
1226,0x25
1246,0x00
1267,0x55
1287,0x1F
1307,0x7E
1327,0xC9
1347,0x00
1367,0x0C
1388,0x00
1408,0xC0
1428,0xFF
1448,0xFF
1468,0xCB
1488,0x00
1508,0x55
1528,0x80
1549,0x80
1569,0xFF
1589,0xFE
1609,0x00
1629,0x55
1649,0x32
1669,0x09
1689,0x00
1710,0xC4
1730,0x00
1750,0x55
1770,0x9C
1790,0x00
1810,0x00
1830,0x2B
1850,0x10
1875,0xE0
1896,0xFF
1916,0x3F
1936,0x35
1956,0xD2
1976,0x00
1996,0x55
2016,0x1F
2036,0x7E
2057,0xC9
2077,0x00
2097,0x0C
2117,0x00
2137,0xC0
2157,0xFF
2177,0xFF
2197,0xCB
2218,0x00
2238,0x55
2258,0x42
2282,0x00
2303,0xFF
2323,0xBD
2343,0x00
2363,0x55
2415,0xCA
2435,0xFC
2456,0x7F
2476,0xB8
2498,0x00
2517,0x55
2536,0x0D
2555,0x00
2574,0x00
2593,0xF2
2612,0x00
2631,0x55
2650,0xC1
2669,0x00
2687,0x10
2706,0x00
2725,0xFF
2744,0x2E
2790,0x00
2809,0x55
2828,0xB1
2847,0x0C
2870,0x00
2889,0x42
2908,0x00
2927,0x55
2946,0xC4
2965,0x00
2984,0x55
3003,0x1F
3022,0x7E
3041,0xC9
3060,0x00
3079,0x0C
3098,0x00
3117,0xC0
3136,0xFF
3155,0xFF
3174,0xCB
3193,0x00
3212,0x55
3231,0x6A
3249,0x24
3268,0xA0
3287,0x00
3306,0x00
3325,0x00
3344,0xFF
3363,0xFF
3385,0xFF
3404,0xD0
3423,0x00
3442,0x55
3461,0xE9
3480,0x00
3499,0x55
3518,0xAD
3537,0x00
3556,0x55
3575,0x61
3594,0x20
3613,0x44
3632,0xFF
3651,0xFF
3670,0xFF
3689,0xFF
3707,0xFF
3726,0xFF
3745,0x3A
3764,0x00
3783,0x55
3802,0xCF
3821,0x0C
3840,0xFE
3859,0x25
3883,0x00
3901,0x55
3920,0x8E
3939,0x60
3958,0x7F
3977,0x91
3996,0x00
4015,0x55
4034,0xDD
4053,0x00
4072,0xFC
4091,0x25
4110,0x00
4129,0x55
