
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 14351 bytes in 16.41 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
170,0xF0
255,0x00
275,0x55
295,0xCA
316,0xFC
336,0x7F
357,0xB8
377,0x00
397,0x55
417,0x0D
449,0x00
469,0x00
489,0xF2
513,0x00
533,0x55
553,0xC1
573,0x00
593,0x10
614,0x00
634,0xFF
654,0x2E
674,0x00
694,0x55
714,0xB1
734,0x0C
754,0x00
775,0x42
795,0x00
815,0x55
835,0xC4
860,0x00
880,0x55
900,0x1F
920,0x7E
940,0xC9
961,0x00
981,0x0C
1001,0x00
1021,0xC0
1041,0xFF
1061,0xFF
1081,0xCB
1101,0x00
1122,0x55
1142,0x6A
1162,0x24
1182,0xA0
1202,0x00
1222,0x00
1242,0x00
1262,0xFF
1283,0xFF
1303,0xFF
1323,0xD0
1343,0x00
1365,0x55
1385,0xE9
1406,0x00
1426,0x55
1446,0xAD
1466,0x00
1486,0x55
1506,0x61
1526,0x20
1546,0x44
1567,0xFF
1587,0xFF
1607,0xFF
1627,0xFF
1647,0xFF
1667,0xFF
1687,0x3A
1710,0x00
1729,0x55
1748,0xCF
1767,0x0C
1786,0xFE
1805,0x25
1824,0x00
1843,0x55
1866,0x8E
1885,0x60
1904,0x7F
1923,0x91
1942,0x00
1961,0x55
1980,0xDD
1999,0x00
2018,0xFC
2036,0x25
2055,0x00
2074,0x55
2093,0x1F
2112,0x7E
2131,0xC9
2150,0x00
2169,0x0C
2188,0x00
2207,0xC0
2226,0xFF
2249,0xFF
2268,0xCB
2287,0x00
2306,0x55
2325,0x80
2344,0x80
2366,0xFF
2385,0xFE
2404,0x00
2423,0x55
2442,0x32
2461,0x09
2480,0x00
2499,0xC4
2518,0x00
2537,0x55
2556,0x9C
2575,0x00
2594,0x00
2613,0x2B
2632,0x10
2651,0xE0
2670,0xFF
2689,0x3F
2708,0x35
2726,0xD2
2745,0x00
2764,0x55
2783,0x1F
2802,0x7E
2821,0xC9
2840,0x00
2864,0x0C
2883,0x00
2902,0xC0
2921,0xFF
2940,0xFF
2959,0xCB
3045,0x00
3057,0x55
3076,0x42
3095,0x00
3114,0xFF
3133,0xBD
3152,0x00
3170,0x55
3189,0xCA
3208,0xFC
3227,0x7F
3246,0xB8
3265,0x00
