
*** CAPTURE STARTED ***
Buffer size: 30000 bytes (RAW MODE)
Capturing raw UART data with timestamps
Press 't' to stop capture


*** CAPTURE STOPPED ***
Captured 12817 bytes in 14.60 seconds
Type 'c' for CSV export


=== RAW CSV Export (copy this) ===

Timestamp_us,Byte_Hex
176,0x70
261,0x55
281,0x1F
313,0x7E
334,0xC9
357,0x00
377,0x0C
397,0x00
417,0xC0
438,0xFF
458,0xFF
478,0xCB
501,0x00
522,0x55
542,0x80
562,0x80
582,0xFF
602,0xFE
622,0x00
642,0x55
662,0x32
683,0x09
703,0x00
723,0xC4
743,0x00
763,0x55
783,0x9C
803,0x00
823,0x00
844,0x2B
864,0x10
884,0xE0
904,0xFF
924,0x3F
944,0x35
964,0xD2
989,0x00
1009,0x55
1029,0x1F
1049,0x7E
1070,0xC9
1090,0x00
1110,0x0C
1130,0x00
1150,0xC0
1170,0xFF
1190,0xFF
1210,0xCB
1231,0x00
1251,0x55
1271,0x42
1291,0x00
1311,0xFF
1331,0xBD
1351,0x00
1371,0x55
1392,0xCA
1412,0xFC
1432,0x7F
1452,0xB8
1472,0x00
1494,0x55
1514,0x0D
1534,0x00
1555,0x00
1575,0xF2
1595,0x00
1615,0x55
1635,0xC1
1655,0x00
1675,0x10
1695,0x00
1716,0xFF
1736,0x2E
1756,0x00
1776,0x55
1796,0xB1
1816,0x0C
1836,0x00
1856,0x42
1905,0x00
1925,0x55
1945,0xC4
1968,0x00
1991,0x55
2010,0x1F
2029,0x7E
2048,0xC9
2067,0x00
2086,0x0C
2105,0x00
2124,0xC0
2143,0xFF
2162,0xFF
2181,0xCB
2200,0x00
2219,0x55
2238,0x6A
2257,0x24
2276,0xA0
2299,0x00
2318,0x00
2364,0x00
2382,0xFF
2401,0xFF
2420,0xFF
2439,0xD0
2458,0x00
2477,0x55
2497,0xE9
2516,0x00
2535,0x55
2554,0xAD
2573,0x00
2592,0x55
2611,0x61
2630,0x20
2649,0x44
2668,0xFF
2687,0xFF
2706,0xFF
2725,0xFF
2744,0xFF
2763,0xFF
2782,0x3A
2801,0x00
2820,0x55
2838,0xCF
2857,0x0C
2876,0xFE
2895,0x25
2914,0x00
2933,0x55
2952,0x8E
2971,0x60
2995,0x7F
3014,0x91
3033,0x00
3052,0x55
3071,0xDD
3090,0x00
3109,0xFC
3128,0x25
3147,0x00
3166,0x55
3185,0x1F
3203,0x7E
3222,0xC9
3241,0x00
3260,0x0C
3279,0x00
3298,0xC0
3317,0xFF
3336,0xFF
3355,0xCB
3374,0x00
3393,0x55
3412,0x80
3431,0x80
3450,0xFF
3469,0xFE
3488,0x00
3507,0x55
3526,0x32
3545,0x09
3564,0x00
3583,0xC4
3602,0x00
3621,0x55
3640,0x9C
3659,0x00
3678,0x00
3697,0x2B
3716,0x10
3735,0xE0
3754,0xFF
3773,0x3F
3792,0x35
3811,0xD2
3830,0x00
3849,0x55
3867,0x1F
3886,0x7E
3905,0xC9
3924,0x00
3943,0x0C
3962,0x00
3986,0xC0
4005,0xFF
4024,0xFF
4043,0xCB
4062,0x00
4081,0x55
4100,0x42
4119,0x00
4138,0xFF
4156,0xBD
4175,0x00
4194,0x55
4213,0xCA
4233,0xFC
4252,0x7F
4271,0xB8
4290,0x00
4309,0x55
4328,0x0D
4347,0x00
4366,0x00
4385,0xF2
4404,0x00
4423,0x55
4442,0xC1
4461,0x00
4480,0x10
4500,0x00
4519,0xFF
4538,0x2E
4557,0x00
4576,0x55
4595,0xB1
4614,0x0C
4633,0x00
4652,0x42
4671,0x00
4690,0x55
4709,0xC4
4728,0x00
4747,0x55
4766,0x1F
4785,0x7E
4804,0xC9
4822,0x00
4841,0x0C
4860,0x00
4879,0xC0
4898,0xFF
4917,0xFF
4936,0xCB
4955,0x00
4974,0x55
4998,0x6A
5017,0x24
5036,0xA0
5054,0x00
5073,0x00
5092,0x00
5111,0xFF
5130,0xFF
5149,0xFF
5168,0xD0
5187,0x00
5206,0x55
5225,0xE9
5244,0x00
5263,0x55
5282,0xAD
5301,0x00
5320,0x55
5339,0x55
5358,0xE9
5377,0x00
5396,0x55
5415,0xAD
5434,0x00
5453,0x55
5471,0x61
5493,0x20
5512,0x44
5531,0xFF
5550,0xFF
5569,0xFF
5588,0xFF
5607,0xFF
5626,0xFF
5645,0x3A
5664,0x00
5683,0x55
5702,0xCF
5721,0x0C
5740,0xFE
5758,0x25
5777,0x00
5796,0x55
5815,0x8E
5834,0x60
5853,0x7F
5872,0x91
5891,0x00
5910,0x55
5992,0xDD
6011,0x00
6030,0xFC
6049,0x25
6068,0x00
6087,0x55
6106,0x1F
6125,0x7E
6144,0xC9
6163,0x00
6182,0x0C
6202,0x00
6221,0xC0
6240,0xFF
6259,0xFF
6278,0xCB
6297,0x00
6316,0x55
6335,0x80
6354,0x80
6372,0xFF
6391,0xFE
6410,0x00
6429,0x55
6448,0x32
6467,0x09
6487,0x00
6506,0xC4
6525,0x00
6544,0x55
6563,0x9C
6582,0x00
6601,0x00
6620,0x2B
6639,0x10
6684,0xE0
6703,0xFF
6722,0x3F
6741,0x35
6760,0xD2
6779,0x00
6798,0x55
6817,0x1F
6836,0x7E
6855,0xC9
6874,0x00
6893,0x0C
6912,0x00
6931,0xC0
6950,0xFF
6969,0xFF
6992,0xCB
