Timestamp_us,Break,Sync,ID,Data,Checksum
819,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
980,0x00,0x55,0xB1,"0x0C,0x00",0x42
1101,0x00,0x55,0xC4,,0x00
1161,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
1437,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1691,0x00,0x55,0xE9,,0x00
1748,0x00,0x55,0xAD,,0x00
1805,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
2035,0x00,0x55,0xCF,"0x0C,0xFE",0x25
2175,0x00,0x55,0x8E,"0x60,0x7F",0x91
2289,0x00,0x55,0xDD,"0x00,0xFC",0x25
2412,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
2666,0x00,0x55,0x80,,0x00
2723,0x00,0x55,0x32,"0x09,0x00",0xC4
2836,0x00,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
3067,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
3295,0x00,0x55,0x42,"0x00,0xFF",0xBD
3413,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
3527,0x00,0x55,0x0D,"0x00,0x00",0xF2
3641,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
3792,0x00,0x55,0xB1,"0x0C,0x00",0x42
3909,0x00,0x55,0xC4,,0x00
3966,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
4194,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
4427,0x00,0x55,0xE9,,0x00
4484,0x00,0x55,0xAD,,0x00
4541,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
4768,0x00,0x55,0xCF,"0x0C,0xFE",0x25
4943,0x00,0x55,0x8E,"0x60,0x7F",0x91
5057,0x00,0x55,0xDD,"0x00,0xFC",0x25
5171,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
5403,0x00,0x55,0xFF,,0x2E
5479,0x00,0x55,0xB1,"0x0C,0x00",0x42
5619,0x00,0x55,0xC4,,0x00
5676,0x00,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
5907,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
6161,0x00,0x55,0xE9,,0x00
6218,0x00,0x55,0xAD,,0x00
6276,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
6508,0x00,0x55,0xCF,"0x0C,0xFE",0x25
6648,0x00,0x55,0x8E,"0x60,0x7F",0x91
10522,,0x55,0xDD,"0x00,0xFC",0x25
15594,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
25588,,0x55,0x80,,0x00
35595,,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
45561,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
55549,,0x55,0x42,"0x00,0xFF",0xBD
60527,,0x55,0xCA,"0xFC,0x7F",0xB8
70519,,0x55,0x0D,"0x00,0x00",0xF2
80530,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
90519,,0x55,0xB1,"0x0C,0x00",0x42
100515,,0x55,0xC4,,0x00
120515,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
130515,,0x55,0xE9,,0xFF
135537,,0x55,0xAD,,0xFF
140519,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
150512,,0x55,0xCF,"0x0C,0xFE",0x25
155542,,0x55,0x8E,"0x60,0x7F",0x91
160519,,0x55,0xDD,"0x00,0xFC",0x25
165527,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
175537,,0x55,0x80,,0x00
185537,,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
195537,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
205560,,0x55,0x42,"0x00,0xFF",0xBD
210535,,0x55,0xCA,"0xFC,0x7F",0xB8
220515,,0x55,0x0D,"0x00,0x00",0xF2
230515,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
240521,,0x55,0xB1,"0x0C,0x00",0x42
250522,,0x55,0xC4,,0x00
270530,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
280522,,0x55,0xE9,,0x00
290522,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
300515,,0x55,0xCF,"0x0C,0xFE",0x25
305530,,0x55,0x8E,"0x60,0x7F",0x91
310515,,0x55,0xDD,"0x00,0xFC",0x25
315534,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
325545,,0x55,0x80,,0x00
335538,,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
345538,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
355542,,0x55,0x42,"0x00,0xFF",0xBD
360515,,0x55,0xCA,"0xFC,0x7F",0xB8
370527,,0x55,0x0D,"0x00,0x00",0xF2
380515,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
390519,,0x55,0xB1,"0x0C,0x00",0x42
400514,,0x55,0xC4,,0xFF
410515,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
420512,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
430515,,0x55,0xE9,,0x00
440530,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
450522,,0x55,0xCF,"0x0C,0xFE",0x25
455522,,0x55,0x8E,"0x60,0x7F",0x91
460522,,0x55,0xDD,"0x00,0xFC",0x25
465522,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
475519,,0x55,0x80,,0x00
485529,,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
495527,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
505534,,0x55,0x42,"0x00,0xFF",0xBD
510530,,0x55,0xCA,"0xFC,0x7F",0xB8
520530,,0x55,0x0D,"0x00,0x00",0xF2
530507,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
540515,,0x55,0xB1,"0x0C,0x00",0x42
550504,,0x55,0xC4,,0x00
570511,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
580507,,0x55,0xE9,,0x00
590530,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
600507,,0x55,0xCF,"0x0C,0xFE",0x25
605538,,0x55,0x8E,"0x60,0x7F",0x91
610512,,0x55,0xDD,"0x00,0xFC",0x25
615530,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
625530,,0x55,0x80,,0xFF
630515,,0x55,0x32,"0x09,0x00",0xC4
635550,,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
645522,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
655522,,0x55,0x42,"0x00,0xFF",0xBD
660537,,0x55,0xCA,"0xFC,0x7F",0xB8
670514,,0x55,0x0D,"0x00,0x00",0xF2
680522,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
690514,,0x55,0xB1,"0x0C,0x00",0x42
700504,,0x55,0xC4,,0xFF
710507,,0x55,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0
720514,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
730512,,0x55,0xE9,,0x00
740511,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
750512,,0x55,0xCF,"0x0C,0xFE",0x25
755530,,0x55,0x8E,"0x60,0x7F",0x91
760507,,0x55,0xDD,"0x00,0xFC",0x25
