Timestamp_us,Break,Sync,ID,Data,Checksum
406,0x00,0x55,0xCF,"0x0C,0xFE",0x25
543,0x00,0x55,0x8E,"0x60,0x7F",0x91
667,0x00,0x55,0xDD,"0x00,0xFC",0x25
788,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
1025,0x00,0x55,0x80,,0x00
1082,0x00,0x55,0x32,"0x09,0x00",0xC4
1196,0x00,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
1423,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
1656,0x00,0x55,0x42,"0x00,0xFF",0xBD
1769,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
1883,0x00,0x55,0x0D,"0x00,0x00",0xF2
1999,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
2150,0x00,0x55,0xB1,"0x0C,0x00",0x42
2267,0x00,0x55,0xC4,,0x00
2324,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
2556,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
2784,0x00,0x55,0xE9,,0x00
2840,0x00,0x55,0xAD,,0x00
2897,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
3125,0x00,0x55,0xCF,"0x0C,0xFE",0x25
3239,0x00,0x55,0x8E,"0x60,0x7F",0x91
3352,0x00,0x55,0xDD,"0x00,0xFC",0x25
3466,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
3698,0x00,0x55,0x80,,0x00
3755,0x00,0x55,0x32,"0x09,0x00",0xC4
3869,0x00,0x55,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1
4100,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
4327,0x00,0x55,0x42,"0x00,0xFF",0xBD
4441,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
4559,0x00,0x55,0x0D,"0x00,0x00",0xF2
4673,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
4825,0x00,0x55,0xB1,"0x0C,0x00",0x42
4938,0x00,0x55,0xC4,,0x00
4999,0x00,0x55,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF
5359,0x00,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
5591,0x00,0x55,0x42,"0x00,0xFF",0xBD
5737,,0x55,0xCA,"0xFC,0x7F",0xB8
6436,0x00,0x55,0x0D,"0x00,0x00",0xF2
16439,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
26439,,0x55,0xB1,"0x0C,0x00",0x42
36436,,0x55,0xC4,,0x00
56439,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
66439,,0x55,0xE9,,0x00
76496,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
86439,,0x55,0xCF,"0x0C,0xFE",0x25
91462,,0x55,0x8E,"0x60,0x7F",0x91
96444,,0x55,0xDD,"0x00,0xFC",0x25
101460,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
111462,,0x55,0x80,,0x00
121484,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
131455,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
141439,,0x55,0x42,"0x00,0xFF",0xBD
146447,,0x55,0xCA,"0xFC,0x7F",0xB8
156447,,0x55,0x0D,"0x00,0x00",0xF2
166447,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
176447,,0x55,0xB1,"0x0C,0x00",0x42
186439,,0x55,0xC4,,0xFF
196440,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
206439,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
216437,,0x55,0xE9,,0x00
226447,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
236437,,0x55,0xCF,"0x0C,0xFE",0x25
241487,,0x55,0x8E,"0x60,0x7F",0x91
246439,,0x55,0xDD,"0x00,0xFC",0x25
251455,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
261462,,0x55,0x80,,0x00
271463,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
281455,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
291463,,0x55,0x42,"0x00,0xFF",0xBD
296440,,0x55,0xCA,"0xFC,0x7F",0xB8
306440,,0x55,0x0D,"0x00,0x00",0xF2
316440,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
326447,,0x55,0xB1,"0x0C,0x00",0x42
336447,,0x55,0xC4,,0x00
356447,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
366447,,0x55,0xE9,,0x00
376474,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
386541,,0x55,0xCF,"0x0C,0xFE",0x25
391460,,0x55,0x8E,"0x60,0x7F",0x91
396436,,0x55,0xDD,"0x00,0xFC",0x25
401484,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
411719,,0x55,0x80,,0x00
421459,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
431455,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
441483,,0x55,0x42,"0x00,0xFF",0xBD
446440,,0x55,0xCA,"0xFC,0x7F",0xB8
456431,,0x55,0x0D,"0x00,0x00",0xF2
466432,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
476447,,0x55,0xB1,"0x0C,0x00",0x42
486432,,0x55,0xC4,,0x00
506439,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
516432,,0x55,0xE9,,0x00
526455,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
536495,,0x55,0xCF,"0x0C,0xFE",0x25
541552,,0x55,0x8E,"0x60,0x7F",0x91
546447,,0x55,0xDD,"0x00,0xFC",0x25
551447,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
561462,,0x55,0x80,,0x00
571463,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
581483,,0x55,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE
591482,,0x55,0x42,"0x00,0xFF",0xBD
596432,,0x55,0xCA,"0xFC,0x7F",0xB8
606431,,0x55,0x0D,"0x00,0x00",0xF2
616432,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
626440,,0x55,0xB1,"0x0C,0x00",0x42
636432,,0x55,0xC4,,0x00
