Timestamp_us,Break,Sync,ID,Data,Checksum
347,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
598,0x00,0x55,0x42,"0x00,0xFF",0xBD
724,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
845,0x00,0x55,0x0D,"0x00,0x00",0xF2
965,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1126,0x00,0x55,0xB1,"0x0C,0x00",0x42
1303,0x00,0x55,0xC4,"0x01,0xFF",0x3A
1424,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
1670,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1961,0x00,0x55,0xE9,,0x00
2017,0x00,0x55,0xAD,,0x00
2074,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
2304,0x00,0x55,0xCF,"0x0C,0xFE",0x25
2422,0x00,0x55,0x8E,"0x60,0x7F",0x91
2562,0x00,0x55,0xDD,"0x00,0xFC",0x25
2681,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
2908,0x00,0x55,0x80,,0x00
2992,0x00,0x55,0x32,"0x09,0x00",0xC4
3105,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
3335,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
3589,0x00,0x55,0x42,"0x00,0xFF",0xBD
3707,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
3821,0x00,0x55,0x0D,"0x00,0x00",0xF2
3935,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
4113,0x00,0x55,0xB1,"0x0C,0x00",0x42
4229,0x00,0x55,0xC4,"0x01,0xFF",0x3A
4342,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
4571,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
4803,0x00,0x55,0xE9,,0x00
4860,0x00,0x55,0xAD,,0x00
4917,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
5145,0x00,0x55,0xCF,"0x0C,0xFE",0x25
5259,0x00,0x55,0x8E,"0x60,0x7F",0x91
5373,0x00,0x55,0xDD,"0x00,0xFC,0x25,0x00,0x00,0x0C,0x00,0xC0",0xFF
5643,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
5871,0x00,0x55,0xE9,,0x00
5928,0x00,0x55,0xAD,,0x00
5985,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
6265,,0x55,0xCF,"0x0C,0xFE",0x25
6380,0x00,0x55,0x8E,"0x60,0x7F",0x91
6494,0x00,0x55,0xDD,"0x00,0xFC",0x25
6608,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
6840,0x00,0x55,0x80,,0x00
6897,0x00,0x55,0x32,"0x09,0x00",0xC4
7037,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
16980,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
