Timestamp_us,Break,Sync,ID,Data,Checksum
270,0x00,0x55,0x42,"0x00,0xFF",0xBD
407,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
528,0x00,0x55,0x0D,"0x00,0x00",0xF2
661,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
822,0x00,0x55,0xB1,"0x0C,0x00",0x42
999,0x00,0x55,0xC4,"0x01,0xFF",0x3A
1117,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
1345,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1599,0x00,0x55,0xE9,,0x00
1656,0x00,0x55,0xAD,,0x00
1712,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1940,0x00,0x55,0xCF,"0x0C,0xFE",0x25
2080,0x00,0x55,0x8E,"0x60,0x7F",0x91
2198,0x00,0x55,0xDD,"0x00,0xFC",0x25
2316,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
2544,0x00,0x55,0x80,,0x00
2601,0x00,0x55,0x32,"0x09,0x00",0xC4
2741,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
2968,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
3227,0x00,0x55,0x42,"0x00,0xFF",0xBD
3341,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
3454,0x00,0x55,0x0D,"0x00,0x00",0xF2
3568,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
3720,0x00,0x55,0xB1,"0x0C,0x00",0x42
3860,0x00,0x55,0xC4,"0x01,0xFF",0x3A
3974,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
4206,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
4435,0x00,0x55,0xE9,,0x00
4491,0x00,0x55,0xAD,,0x00
4548,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
4776,0x00,0x55,0xCF,"0x0C,0xFE",0x25
4890,0x00,0x55,0x8E,"0x60,0x7F",0x91
5004,0x00,0x55,0xDD,"0x00,0xFC",0x25
5122,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
5349,0x00,0x55,0x80,"0x00,0xFF,0xFF",0xCC
5482,0x00,0x55,0x80,,0x00
5539,0x00,0x55,0x32,"0x09,0x00",0xC4
5655,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
5883,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
8134,,0x55,0x42,"0x00,0xFF",0xBD
13099,,0x55,0xCA,"0xFC,0x7F",0xB8
23099,,0x55,0x0D,"0x00,0x00",0xF2
33099,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
43099,,0x55,0xB1,"0x0C,0x00",0x42
53091,,0x55,0xC4,"0x01,0xFF",0x3A
63083,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
73091,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
83088,,0x55,0xE9,,0x00
93091,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
103088,,0x55,0xCF,"0x0C,0xFE",0x25
108111,,0x55,0x8E,"0x60,0x7F",0x91
113088,,0x55,0xDD,"0x00,0xFC",0x25
118111,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
128104,,0x55,0x80,,0x00
138106,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
148106,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
158119,,0x55,0x42,"0x00,0xFF",0xBD
163091,,0x55,0xCA,"0xFC,0x7F",0xB8
173091,,0x55,0x0D,"0x00,0x00",0xF2
183091,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
193119,,0x55,0xB1,"0x0C,0x00",0x42
203119,,0x55,0xC4,"0x01,0xFF",0x3A
213119,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
223099,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
233099,,0x55,0xE9,,0x00
243098,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
253088,,0x55,0xCF,"0x0C,0xFE",0x25
258111,,0x55,0x8E,"0x60,0x7F",0x91
263088,,0x55,0xDD,"0x00,0xFC",0x25
268106,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
278111,,0x55,0x80,,0x00
288141,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
298155,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
308148,,0x55,0x42,"0x00,0xFF",0xBD
313088,,0x55,0xCA,"0xFC,0x7F",0xB8
323084,,0x55,0x0D,"0x00,0x00",0xF2
333084,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
343099,,0x55,0xB1,"0x0C,0x00",0x42
353083,,0x55,0xC4,"0x01,0xFF",0x3A
