Timestamp_us,Break,Sync,ID,Data,Checksum
288,0x00,0x55,0xDD,"0x00,0xFC",0x25
415,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
656,0x00,0x55,0x80,,0x00
717,0x00,0x55,0x32,"0x09,0x00",0xC4
838,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1079,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
1321,0x00,0x55,0x42,"0x00,0xFF",0xBD
1447,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
1567,0x00,0x55,0x0D,"0x00,0x00",0xF2
1688,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1849,0x00,0x55,0xB1,"0x0C,0x00",0x42
1963,0x00,0x55,0xC4,"0x01,0xFF",0x3A
2077,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
2352,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
2580,0x00,0x55,0xE9,,0x00
2637,0x00,0x55,0xAD,,0x00
2693,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
2922,0x00,0x55,0xCF,"0x0C,0xFE",0x25
3062,0x00,0x55,0x8E,"0x60,0x7F",0x91
3176,0x00,0x55,0xDD,"0x00,0xFC",0x25
3290,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
3548,0x00,0x55,0x80,,0x00
3605,0x00,0x55,0x32,"0x09,0x00",0xC4
3719,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
3948,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
4202,0x00,0x55,0x42,"0x00,0xFF",0xBD
4317,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
4435,0x00,0x55,0x0D,"0x00,0x00",0xF2
4549,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
4727,0x00,0x55,0xB1,"0x0C,0x00",0x42
4843,0x00,0x55,0xC4,"0x01,0xFF",0x3A
4956,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
5184,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
5499,0x00,0x55,0xB1,"0x0C,0x00",0x42
5613,0x00,0x55,0xC4,"0x01,0xFF",0x3A
5727,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
5982,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
6210,0x00,0x55,0xE9,,0x00
6268,0x00,0x55,0xAD,,0x00
6329,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
6583,0x00,0x55,0xCF,"0x0C,0xFE",0x25
6697,0x00,0x55,0x8E,"0x60,0x7F",0x91
6811,0x00,0x55,0xDD,"0x00,0xFC",0x25
6951,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
13003,,0x55,0x80,,0xFF
17991,,0x55,0x32,"0x09,0x00",0xC4
23029,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
33013,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
42975,,0x55,0x42,"0x00,0xFF",0xBD
47975,,0x55,0xCA,"0xFC,0x7F",0xB8
57973,,0x55,0x0D,"0x00,0x00",0xF2
67975,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
77975,,0x55,0xB1,"0x0C,0x00",0x42
87968,,0x55,0xC4,"0x01,0xFF",0x3A
97968,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
107968,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
117965,,0x55,0xE9,,0xFF
122988,,0x55,0xAD,,0x00
137965,,0x55,0xCF,"0x0C,0xFE",0x25
142983,,0x55,0x8E,"0x60,0x7F",0x91
147965,,0x55,0xDD,"0x00,0xFC",0x25
152988,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
162988,,0x55,0x80,,0x00
173003,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
183006,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
192990,,0x55,0x42,"0x00,0xFF",0xBD
197968,,0x55,0xCA,"0xFC,0x7F",0xB8
207968,,0x55,0x0D,"0x00,0x00",0xF2
217968,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
227972,,0x55,0xB1,"0x0C,0x00",0x42
237972,,0x55,0xC4,"0x01,0xFF",0x3A
247972,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
257975,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
267975,,0x55,0xE9,,0xFF
272983,,0x55,0xAD,,0x00
287968,,0x55,0xCF,"0x0C,0xFE",0x25
292983,,0x55,0x8E,"0x60,0x7F",0x91
297967,,0x55,0xDD,"0x00,0xFC",0x25
302990,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
312988,,0x55,0x80,,0x00
322991,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
333006,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
342991,,0x55,0x42,"0x00,0xFF",0xBD
347967,,0x55,0xCA,"0xFC,0x7F",0xB8
357960,,0x55,0x0D,"0x00,0x00",0xF2
367959,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
377972,,0x55,0xB1,"0x0C,0x00",0x42
387960,,0x55,0xC4,"0x01,0xFF",0x3A
397968,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
407965,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
417968,,0x55,0xE9,,0x00
427975,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
437975,,0x55,0xCF,"0x0C,0xFE",0x25
442972,,0x55,0x8E,"0x60,0x7F",0x91
447980,,0x55,0xDD,"0x00,0xFC",0x25
452972,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
462975,,0x55,0x80,,0x00
472983,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
482998,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
492990,,0x55,0x42,"0x00,0xFF",0xBD
497960,,0x55,0xCA,"0xFC,0x7F",0xB8
507960,,0x55,0x0D,"0x00,0x00",0xF2
517968,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
