Timestamp_us,Break,Sync,ID,Data,Checksum
270,0x00,0x55,0x0D,"0x00,0x00",0xF2
406,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
568,0x00,0x55,0xB1,"0x0C,0x00",0x42
688,0x00,0x55,0xC4,"0x01,0xFF",0x3A
809,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1053,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1281,0x00,0x55,0xE9,,0x00
1337,0x00,0x55,0xAD,,0x00
1394,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1624,0x00,0x55,0xCF,"0x0C,0xFE",0x25
1737,0x00,0x55,0x8E,"0x60,0x7F",0x91
1851,0x00,0x55,0xDD,"0x00,0xFC",0x25
1965,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
2201,0x00,0x55,0x80,,0x00
2258,0x00,0x55,0x32,"0x09,0x00",0xC4
2372,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
2603,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
2830,0x00,0x55,0x42,"0x00,0xFF",0xBD
2944,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
3062,0x00,0x55,0x0D,"0x00,0x00",0xF2
3176,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
3327,0x00,0x55,0xB1,"0x0C,0x00",0x42
3441,0x00,0x55,0xC4,"0x01,0xFF",0x3A
3557,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
3785,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
4017,0x00,0x55,0xE9,,0x00
4074,0x00,0x55,0xAD,,0x00
4132,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
4359,0x00,0x55,0xCF,"0x0C,0xFE",0x25
