Timestamp_us,Break,Sync,ID,Data,Checksum
303,0x00,0x55,0xCF,"0x0C,0xFE",0x25
428,0x00,0x55,0x8E,"0x60,0x7F",0x91
549,0x00,0x55,0xDD,"0x00,0xFC",0x25
670,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
967,0x00,0x55,0x80,,0x00
1024,0x00,0x55,0x32,"0x09,0x00",0xC4
1138,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1394,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1622,0x00,0x55,0x42,"0x00,0xFF",0xBD
1736,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
1849,0x00,0x55,0x0D,"0x00,0x00",0xF2
1968,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
2120,0x00,0x55,0xB1,"0x0C,0x00",0x42
2233,0x00,0x55,0xC4,"0x01,0xFF",0x3A
2351,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
2582,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
2809,0x00,0x55,0xE9,,0x00
2871,0x00,0x55,0xAD,,0x00
2928,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
3155,0x00,0x55,0xCF,"0x0C,0xFE",0x25
3269,0x00,0x55,0x8E,"0x60,0x7F",0x91
3385,0x00,0x55,0xDD,"0x00,0xFC",0x25
3566,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
3786,0x00,0x55,0x80,,0x00
3842,0x00,0x55,0x32,"0x09,0x00",0xC4
3961,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
4188,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
4443,0x00,0x55,0x42,"0x00,0xFF",0xBD
4557,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
4671,0x00,0x55,0x0D,"0x00,0x00",0xF2
4811,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
4967,0x00,0x55,0xB1,"0x0C,0x00",0x42
5081,0x00,0x55,0xC4,"0x01,0xFF",0x3A
5195,0x00,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
5508,0x00,0x55,0xE9,,0x00
5565,0x00,0x55,0xAD,,0x00
5622,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
5881,0x00,0x55,0xCF,"0x0C,0xFE",0x25
5995,0x00,0x55,0x8E,"0x60,0x7F",0x91
9226,,0x55,0xDD,"0x00,0xFC",0x25
14248,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
24248,,0x55,0x80,"0x80,0xFF",0xFE
29225,,0x55,0x32,"0x09,0x00",0xC4
34249,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
44271,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
54248,,0x55,0x42,"0x00,0xFF",0xBD
59225,,0x55,0xCA,"0xFC,0x7F",0xB8
69226,,0x55,0x0D,"0x00,0x00",0xF2
79225,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
89233,,0x55,0xB1,"0x0C,0x00",0x42
99240,,0x55,0xC4,,0x00
119233,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
129241,,0x55,0xE9,,0x00
139256,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
149239,,0x55,0xCF,"0x0C,0xFE",0x25
154233,,0x55,0x8E,"0x60,0x7F",0x91
159239,,0x55,0xDD,"0x00,0xFC",0x25
164239,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
174233,,0x55,0x80,"0x80,0xFF",0xFE
179263,,0x55,0x32,"0x09,0x00",0xC4
184264,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
194248,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
204248,,0x55,0x42,"0x00,0xFF",0xBD
209226,,0x55,0xCA,"0xFC,0x7F",0xB8
219225,,0x55,0x0D,"0x00,0x00",0xF2
229233,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
239241,,0x55,0xB1,"0x0C,0x00",0x42
249224,,0x55,0xC4,,0x00
269232,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
279264,,0x55,0xE9,,0x00
289241,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
299225,,0x55,0xCF,"0x0C,0xFE",0x25
304249,,0x55,0x8E,"0x60,0x7F",0x91
309248,,0x55,0xDD,"0x00,0xFC",0x25
314247,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
324249,,0x55,0x80,"0x80,0xFF",0xFE
329224,,0x55,0x32,"0x09,0x00",0xC4
334247,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
344233,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
354241,,0x55,0x42,"0x00,0xFF",0xBD
359233,,0x55,0xCA,"0xFC,0x7F",0xB8
369233,,0x55,0x0D,"0x00,0x00",0xF2
379233,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
389233,,0x55,0xB1,"0x0C,0x00",0x42
399218,,0x55,0xC4,,0xFF
409218,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
419256,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
429240,,0x55,0xE9,,0x00
439225,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
449225,,0x55,0xCF,"0x0C,0xFE",0x25
454233,,0x55,0x8E,"0x60,0x7F",0x91
459226,,0x55,0xDD,"0x00,0xFC",0x25
464240,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
474248,,0x55,0x80,"0x80,0xFF",0xFE
479248,,0x55,0x32,"0x09,0x00",0xC4
484262,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
494240,,0x55,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC
504248,,0x55,0x42,"0x00,0xFF",0xBD
509233,,0x55,0xCA,"0xFC,0x7F",0xB8
519217,,0x55,0x0D,"0x00,0x00",0xF2
529218,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
539233,,0x55,0xB1,"0x0C,0x00",0x42
549233,,0x55,0xC4,,0x00
569233,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
579280,,0x55,0xE9,,0x00
589233,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
599224,,0x55,0xCF,"0x0C,0xFE",0x25
604242,,0x55,0x8E,"0x60,0x7F",0x91
609247,,0x55,0xDD,"0x00,0xFC",0x25
614247,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
624247,,0x55,0x80,"0x80,0xFF",0xFE
629225,,0x55,0x32,"0x09,0x00",0xC4
634247,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
644233,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
654247,,0x55,0x42,"0x00,0xFF",0xBD
659224,,0x55,0xCA,"0xFC,0x7F",0xB8
669218,,0x55,0x0D,"0x00,0x00",0xF2
679218,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
689262,,0x55,0xB1,"0x0C,0x00",0x42
699218,,0x55,0xC4,,0x00
719225,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
729271,,0x55,0xE9,,0x00
739280,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
749302,,0x55,0xCF,"0x0C,0xFE",0x25
754231,,0x55,0x8E,"0x60,0x7F",0x91
759256,,0x55,0xDD,"0x00,0xFC",0x25
764234,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
774232,,0x55,0x80,"0x80,0xFF",0xFE
779262,,0x55,0x32,"0x09,0x00",0xC4
784234,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
794241,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
804247,,0x55,0x42,"0x00,0xFF",0xBD
809241,,0x55,0xCA,"0xFC,0x7F",0xB8
819233,,0x55,0x0D,"0x00,0x00",0xF2
829217,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
839224,,0x55,0xB1,"0x0C,0x00",0x42
849218,,0x55,0xC4,,0x00
869233,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
879224,,0x55,0xE9,,0xFF
884279,,0x55,0xAD,,0x00
899218,,0x55,0xCF,"0x0C,0xFE",0x25
904241,,0x55,0x8E,"0x60,0x7F",0x91
909241,,0x55,0xDD,"0x00,0xFC",0x25
914241,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
924247,,0x55,0x80,"0x80,0xFF",0xFE
929240,,0x55,0x32,"0x09,0x00",0xC4
934241,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
944225,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
954233,,0x55,0x42,"0x00,0xFF",0xBD
959234,,0x55,0xCA,"0xFC,0x7F",0xB8
969247,,0x55,0x0D,"0x00,0x00",0xF2
979233,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
989247,,0x55,0xB1,"0x0C,0x00",0x42
999233,,0x55,0xC4,,0xFF
1009233,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1019240,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1029239,,0x55,0xE9,,0x00
1039278,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1049256,,0x55,0xCF,"0x0C,0xFE",0x25
1054264,,0x55,0x8E,"0x60,0x7F",0x91
1059217,,0x55,0xDD,"0x00,0xFC",0x25
1064241,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1074241,,0x55,0x80,"0x80,0xFF",0xFE
1079225,,0x55,0x32,"0x09,0x00",0xC4
1084241,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1094241,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1104247,,0x55,0x42,"0x00,0xFF",0xBD
1109224,,0x55,0xCA,"0xFC,0x7F",0xB8
1119218,,0x55,0x0D,"0x00,0x00",0xF2
1129217,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1139225,,0x55,0xB1,"0x0C,0x00",0x42
1149225,,0x55,0xC4,,0xFF
1159225,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1169233,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1179233,,0x55,0xE9,,0x00
1189233,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1199256,,0x55,0xCF,"0x0C,0xFE",0x25
1204262,,0x55,0x8E,"0x60,0x7F",0x91
1209218,,0x55,0xDD,"0x00,0xFC",0x25
1214233,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1224241,,0x55,0x80,"0x80,0xFF",0xFE
1229248,,0x55,0x32,"0x09,0x00",0xC4
1234241,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1244240,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1254240,,0x55,0x42,"0x00,0xFF",0xBD
1259218,,0x55,0xCA,"0xFC,0x7F",0xB8
1269218,,0x55,0x0D,"0x00,0x00",0xF2
1279218,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1289225,,0x55,0xB1,"0x0C,0x00",0x42
1299218,,0x55,0xC4,,0x00
1319249,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1329241,,0x55,0xE9,,0x00
1339302,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1349355,,0x55,0xCF,"0x0C,0xFE",0x25
1354225,,0x55,0x8E,"0x60,0x7F",0x91
1359248,,0x55,0xDD,"0x00,0xFC",0x25
1364225,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1374233,,0x55,0x80,"0x80,0xFF",0xFE
1379233,,0x55,0x32,"0x09,0x00",0xC4
1384234,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1394264,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1404233,,0x55,0x42,"0x00,0xFF",0xBD
1409218,,0x55,0xCA,"0xFC,0x7F",0xB8
1419233,,0x55,0x0D,"0x00,0x00",0xF2
1429218,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1439240,,0x55,0xB1,"0x0C,0x00",0x42
1449233,,0x55,0xC4,,0x00
1469218,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1479218,,0x55,0xE9,,0xFF
1484241,,0x55,0xAD,,0xFF
1489248,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1499218,,0x55,0xCF,"0x0C,0xFE",0x25
1504388,,0x55,0x8E,"0x60,0x7F",0x91
1509224,,0x55,0xDD,"0x00,0xFC",0x25
1514232,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1524241,,0x55,0x80,"0x80,0xFF",0xFE
1529217,,0x55,0x32,"0x09,0x00",0xC4
1534256,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1544225,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1554231,,0x55,0x42,"0x00,0xFF",0xBD
1559225,,0x55,0xCA,"0xFC,0x7F",0xB8
1569226,,0x55,0x0D,"0x00,0x00",0xF2
1579225,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1589241,,0x55,0xB1,"0x0C,0x00",0x42
1599210,,0x55,0xC4,,0x00
1619218,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1629217,,0x55,0xE9,,0xFF
1634233,,0x55,0xAD,,0x00
1649218,,0x55,0xCF,"0x0C,0xFE",0x25
1654239,,0x55,0x8E,"0x60,0x7F",0x91
1659354,,0x55,0xDD,"0x00,0xFC",0x25
1664256,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1674241,,0x55,0x80,"0x80,0xFF",0xFE
1679217,,0x55,0x32,"0x09,0x00",0xC4
1684241,,0x55,0x9C,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3
1694232,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1704241,,0x55,0x42,"0x00,0xFF",0xBD
1709217,,0x55,0xCA,"0xFC,0x7F",0xB8
1719210,,0x55,0x0D,"0x00,0x00",0xF2
1729210,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1739225,,0x55,0xB1,"0x0C,0x00",0x42
1749225,,0x55,0xC4,,0x00
1769225,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1779255,,0x55,0xE9,,0x00
1789225,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1799216,,0x55,0xCF,"0x0C,0xFE",0x25
1804256,,0x55,0x8E,"0x60,0x7F",0x91
1809216,,0x55,0xDD,"0x00,0xFC",0x25
1814349,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1824396,,0x55,0x80,"0x80,0xFF",0xFE
1829217,,0x55,0x32,"0x09,0x00",0xC4
1834233,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
