Timestamp_us,Break,Sync,ID,Data,Checksum
292,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
537,0x00,0x55,0xE9,,0x00
598,0x00,0x55,0xAD,,0x00
658,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
904,0x00,0x55,0xCF,"0x0C,0xFE",0x25
1025,0x00,0x55,0x8E,"0x60,0x7F",0x91
1146,0x00,0x55,0xDD,"0x00,0xFC",0x25
1267,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1508,0x00,0x55,0x80,"0x80,0xFF",0xFE
1629,0x00,0x55,0x32,"0x09,0x00",0xC4
1750,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1996,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
2238,0x00,0x55,0x42,"0x00,0xFF",0xBD
2363,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
2517,0x00,0x55,0x0D,"0x00,0x00",0xF2
2631,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
2809,0x00,0x55,0xB1,"0x0C,0x00",0x42
2927,0x00,0x55,0xC4,,0x00
2984,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
3212,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
3442,0x00,0x55,0xE9,,0x00
3499,0x00,0x55,0xAD,,0x00
3556,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
3783,0x00,0x55,0xCF,"0x0C,0xFE",0x25
3901,0x00,0x55,0x8E,"0x60,0x7F",0x91
4015,0x00,0x55,0xDD,"0x00,0xFC",0x25
4129,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
4357,0x00,0x55,0x80,"0x80,0xFF",0xFE
4473,0x00,0x55,0x32,"0x09,0x00",0xC4
4587,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
4814,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
5046,0x00,0x55,0x42,"0x00,0xFF",0xBD
5160,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
5274,0x00,0x55,0x0D,"0x00,0x00",0xF2
5371,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
5598,0x00,0x55,0xCF,"0x0C,0xFE",0x25
5712,0x00,0x55,0x8E,"0x60,0x7F",0x91
5826,0x00,0x55,0xDD,"0x00,0xFC",0x25
5944,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
6173,0x00,0x55,0x80,"0x80,0xFF",0xFE
6287,0x00,0x55,0x32,"0x09,0x00",0xC4
6402,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
6629,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
6857,0x00,0x55,0x42,"0x00,0xFF",0xBD
6976,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
7089,0x00,0x55,0x0D,"0x00,0x00",0xF2
7203,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
7355,0x00,0x55,0xB1,"0x0C,0x00",0x42
10703,,0x55,0xC4,,0xFF
20703,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
30723,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
40717,,0x55,0xE9,,0x00
50710,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
60703,,0x55,0xCF,"0x0C,0xFE",0x25
65726,,0x55,0x8E,"0x60,0x7F",0x91
70718,,0x55,0xDD,"0x00,0xFC",0x25
75726,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
85725,,0x55,0x80,"0x80,0xFF",0xFE
90702,,0x55,0x32,"0x09,0x00",0xC4
95726,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
105723,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
115718,,0x55,0x42,"0x00,0xFF",0xBD
120703,,0x55,0xCA,"0xFC,0x7F",0xB8
130703,,0x55,0x0D,"0x00,0x00",0xF2
140702,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
150726,,0x55,0xB1,"0x0C,0x00",0x42
160710,,0x55,0xC4,,0x00
180730,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
190748,,0x55,0xE9,,0xFF
195718,,0x55,0xAD,,0x00
210700,,0x55,0xCF,"0x0C,0xFE",0x25
215723,,0x55,0x8E,"0x60,0x7F",0x91
220702,,0x55,0xDD,"0x00,0xFC",0x25
225718,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
235723,,0x55,0x80,"0x80,0xFF",0xFE
240702,,0x55,0x32,"0x09,0x00",0xC4
245726,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
255718,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
265725,,0x55,0x42,"0x00,0xFF",0xBD
270699,,0x55,0xCA,"0xFC,0x7F",0xB8
280695,,0x55,0x0D,"0x00,0x00",0xF2
290703,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
300710,,0x55,0xB1,"0x0C,0x00",0x42
310695,,0x55,0xC4,,0x00
330741,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
340703,,0x55,0xE9,,0x00
350715,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
360710,,0x55,0xCF,"0x0C,0xFE",0x25
365710,,0x55,0x8E,"0x60,0x7F",0x91
370710,,0x55,0xDD,"0x00,0xFC",0x25
375707,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
385741,,0x55,0x80,"0x80,0xFF",0xFE
390733,,0x55,0x32,"0x09,0x00",0xC4
395715,,0x55,0x9C,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3
405718,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
415718,,0x55,0x42,"0x00,0xFF",0xBD
420722,,0x55,0xCA,"0xFC,0x7F",0xB8
430695,,0x55,0x0D,"0x00,0x00",0xF2
440695,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
450700,,0x55,0xB1,"0x0C,0x00",0x42
460695,,0x55,0xC4,,0x00
480718,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
490718,,0x55,0xE9,,0x00
500710,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
510703,,0x55,0xCF,"0x0C,0xFE",0x25
515726,,0x55,0x8E,"0x60,0x7F",0x91
520702,,0x55,0xDD,"0x00,0xFC",0x25
525726,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
535726,,0x55,0x80,"0x80,0xFF",0xFE
540702,,0x55,0x32,"0x09,0x00",0xC4
545726,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
555710,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
565710,,0x55,0x42,"0x00,0xFF",0xBD
570725,,0x55,0xCA,"0xFC,0x7F",0xB8
