Timestamp_us,Break,Sync,ID,Data,Checksum
275,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
397,0x00,0x55,0x0D,"0x00,0x00",0xF2
533,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
694,0x00,0x55,0xB1,"0x0C,0x00",0x42
815,0x00,0x55,0xC4,,0x00
880,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1122,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
1365,0x00,0x55,0xE9,,0x00
1426,0x00,0x55,0xAD,,0x00
1486,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
1729,0x00,0x55,0xCF,"0x0C,0xFE",0x25
1843,0x00,0x55,0x8E,"0x60,0x7F",0x91
1961,0x00,0x55,0xDD,"0x00,0xFC",0x25
2074,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
2306,0x00,0x55,0x80,"0x80,0xFF",0xFE
2423,0x00,0x55,0x32,"0x09,0x00",0xC4
2537,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
2764,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
3057,0x00,0x55,0x42,"0x00,0xFF",0xBD
3170,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
3284,0x00,0x55,0x0D,"0x00,0x00",0xF2
3400,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
3551,0x00,0x55,0xB1,"0x0C,0x00",0x42
3665,0x00,0x55,0xC4,,0x00
3748,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
3981,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
4208,0x00,0x55,0xE9,,0x00
4292,0x00,0x55,0xAD,,0x00
4350,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
4578,0x00,0x55,0xCF,"0x0C,0xFE",0x25
4691,0x00,0x55,0x8E,"0x60,0x7F",0x91
4805,0x00,0x55,0xDD,"0x00,0xFC",0x25
4924,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
5151,0x00,0x55,0x80,"0x80,0xFF",0xFE
5265,0x00,0x55,0x32,"0x09,0x00,0xC4,0x00,0xFF,0xFF",0xCB
5457,0x00,0x55,0x80,"0x80,0xFF",0xFE
5571,0x00,0x55,0x32,"0x09,0x00",0xC4
5684,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
5917,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
6144,0x00,0x55,0x42,"0x00,0xFF",0xBD
6259,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
6376,0x00,0x55,0x0D,"0x00,0x00",0xF2
6489,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
6641,0x00,0x55,0xB1,"0x0C,0x00",0x42
6755,0x00,0x55,0xC4,,0x00
23748,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
33747,,0x55,0xE9,,0x00
43763,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
53778,,0x55,0xCF,"0x0C,0xFE",0x25
58755,,0x55,0x8E,"0x60,0x7F",0x91
63760,,0x55,0xDD,"0x00,0xFC",0x25
68770,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
78763,,0x55,0x80,"0x80,0xFF",0xFE
