Timestamp_us,Break,Sync,ID,Data,Checksum
261,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
522,0x00,0x55,0x80,"0x80,0xFF",0xFE
642,0x00,0x55,0x32,"0x09,0x00",0xC4
763,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
1009,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
1251,0x00,0x55,0x42,"0x00,0xFF",0xBD
1371,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
1494,0x00,0x55,0x0D,"0x00,0x00",0xF2
1615,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
1776,0x00,0x55,0xB1,"0x0C,0x00",0x42
1925,0x00,0x55,0xC4,,0x00
1991,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
2219,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
2477,0x00,0x55,0xE9,,0x00
2535,0x00,0x55,0xAD,,0x00
2592,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
2820,0x00,0x55,0xCF,"0x0C,0xFE",0x25
2933,0x00,0x55,0x8E,"0x60,0x7F",0x91
3052,0x00,0x55,0xDD,"0x00,0xFC",0x25
3166,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
3393,0x00,0x55,0x80,"0x80,0xFF",0xFE
3507,0x00,0x55,0x32,"0x09,0x00",0xC4
3621,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
3849,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
4081,0x00,0x55,0x42,"0x00,0xFF",0xBD
4194,0x00,0x55,0xCA,"0xFC,0x7F",0xB8
4309,0x00,0x55,0x0D,"0x00,0x00",0xF2
4423,0x00,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
4576,0x00,0x55,0xB1,"0x0C,0x00",0x42
4690,0x00,0x55,0xC4,,0x00
4747,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
4974,0x00,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
5206,0x00,0x55,0xE9,,0x00
5263,0x00,0x55,0xAD,,0x00
5320,0x00,0x55,0x55,,0xE9
5396,0x00,0x55,0xAD,,0x00
5453,0x00,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
5683,0x00,0x55,0xCF,"0x0C,0xFE",0x25
5796,0x00,0x55,0x8E,"0x60,0x7F",0x91
5910,0x00,0x55,0xDD,"0x00,0xFC",0x25
6087,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
6316,0x00,0x55,0x80,"0x80,0xFF",0xFE
6429,0x00,0x55,0x32,"0x09,0x00",0xC4
6544,0x00,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
6798,0x00,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
7030,0x00,0x55,0x42,"0x00,0xFF",0xBD
11672,,0x55,0xCA,"0xFC,0x7F",0xB8
21661,,0x55,0x0D,"0x00,0x00",0xF2
31664,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
41669,,0x55,0xB1,"0x0C,0x00",0x42
51672,,0x55,0xC4,,0x00
71680,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
81672,,0x55,0xE9,,0x00
91672,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
101661,,0x55,0xCF,"0x0C,0xFE",0x25
106703,,0x55,0x8E,"0x60,0x7F",0x91
111661,,0x55,0xDD,"0x00,0xFC",0x25
116687,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
126687,,0x55,0x80,"0x80,0xFF",0xFE
131662,,0x55,0x32,"0x09,0x00",0xC4
136687,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
146718,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
156692,,0x55,0x42,"0x00,0xFF",0xBD
161665,,0x55,0xCA,"0xFC,0x7F",0xB8
171657,,0x55,0x0D,"0x00,0x00",0xF2
181664,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
191669,,0x55,0xB1,"0x0C,0x00",0x42
201664,,0x55,0xC4,,0xFF
211662,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
221662,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
231664,,0x55,0xE9,,0x00
241680,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
251672,,0x55,0xCF,"0x0C,0xFE",0x25
256669,,0x55,0x8E,"0x60,0x7F",0x91
261673,,0x55,0xDD,"0x00,0xFC",0x25
266669,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
276672,,0x55,0x80,"0x80,0xFF",0xFE
281677,,0x55,0x32,"0x09,0x00",0xC4
286707,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
296680,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
306708,,0x55,0x42,"0x00,0xFF",0xBD
311677,,0x55,0xCA,"0xFC,0x7F",0xB8
321657,,0x55,0x0D,"0x00,0x00",0xF2
331657,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
341664,,0x55,0xB1,"0x0C,0x00",0x42
351657,,0x55,0xC4,,0x00
371661,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
381664,,0x55,0xE9,,0x00
391677,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
401664,,0x55,0xCF,"0x0C,0xFE",0x25
406707,,0x55,0x8E,"0x60,0x7F",0x91
411664,,0x55,0xDD,"0x00,0xFC",0x25
416687,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
426687,,0x55,0x80,"0x80,0xFF",0xFE
431661,,0x55,0x32,"0x09,0x00",0xC4
436687,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
446671,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
456687,,0x55,0x42,"0x00,0xFF",0xBD
461669,,0x55,0xCA,"0xFC,0x7F",0xB8
471664,,0x55,0x0D,"0x00,0x00",0xF2
481672,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
491669,,0x55,0xB1,"0x0C,0x00",0x42
501657,,0x55,0xC4,,0x00
521662,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
531657,,0x55,0xE9,,0x00
541664,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
551662,,0x55,0xCF,"0x0C,0xFE",0x25
556680,,0x55,0x8E,"0x60,0x7F",0x91
561664,,0x55,0xDD,"0x00,0xFC",0x25
566680,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
576680,,0x55,0x80,"0x80,0xFF",0xFE
581662,,0x55,0x32,"0x09,0x00",0xC4
586677,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
596677,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
606733,,0x55,0x42,"0x00,0xFF",0xBD
611662,,0x55,0xCA,"0xFC,0x7F",0xB8
621656,,0x55,0x0D,"0x00,0x00",0xF2
631657,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
641669,,0x55,0xB1,"0x0C,0x00",0x42
651672,,0x55,0xC4,,0x00
671671,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
681672,,0x55,0xE9,,0x00
691669,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
701657,,0x55,0xCF,"0x0C,0xFE",0x25
706680,,0x55,0x8E,"0x60,0x7F",0x91
711657,,0x55,0xDD,"0x00,0xFC",0x25
716687,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
726856,,0x55,0x80,"0x80,0xFF",0xFE
731657,,0x55,0x32,"0x09,0x00",0xC4
