ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,138,"70519,220515,370527,520530,670514,820527,970507,1120507,1270507,1420633,1570511,1720512,1870522,2020514,2170499,2320530,2470499,2620507,2770499,2920484,3070506,3220480,3370475,3520473,3670481,3820476,3970468,4120473,4270476,4420469,4570468,4720461,4870468,5020466,5170461,5320461,5470483,5620475,5770453,5920469,6070484,6220446,6370446,6520445,6670469,6820461,6970435,7120435,7270446,7420438,7570436,7720436,7870438,8020429,8170428,8320429,8470436,8620429,8770422,8920422,9070429,9220420,9370413,9520421,9670421,9820414,9970429,10120407,10270413,10420407,10570404,10720422,10870414,11020418,11170397,11320429,11470422,11620392,11770420,11920407,12070399,12220384,12370380,12520380,12670391,12820377,12970372,13120372,13270385,13420372,13570369,13720364,13870372,14020362,14170361,14320468,14470384,14620357,14770372,14920397,15070380,15220369,15370346,15520372,15670356,15820349,15970341,16120341,16270349,16420341,16570334,16720339,16870372,17020334,17170334,17320341,17470334,17620349,17770334,17920349,18070357,18220349,18370341,18520364,18670349,18820341,18970334,19120334,19270341,19420311,19570303,19720303,19870311,20020300,20170296,20320296,20470303,20620326"
0x0D,0x00,0x55,"0x00,0x00",0xF2,1,3527
0x1F,,0x55,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0,298,"15594,45561,165527,195537,315534,345538,410515,465522,495527,615530,645522,710507,765535,795530,915529,945530,1065512,1095522,1215527,1245511,1365519,1395522,1460538,1515519,1545514,1665512,1695514,1815519,1845504,1965515,1995512,2115512,2145515,2265499,2295515,2415515,2445492,2565507,2595506,2660499,2715507,2745527,2865507,2895506,2960484,3015496,3045499,3165522,3195507,3315499,3345496,3465506,3495496,3560476,3615527,3645484,3710473,3765496,3795512,3915491,3945496,4065484,4095491,4215497,4245483,4310469,4365492,4395515,4515489,4545506,4665478,4695507,4815492,4845476,4910458,4965484,4995483,5115480,5145484,5265473,5295468,5415496,5445469,5565476,5595476,5715476,5745476,5865450,5895491,6015492,6045461,6165469,6195483,6315473,6345466,6465461,6495484,6615469,6645476,6765461,6795484,6915484,6945469,7065450,7095484,7215476,7245443,7365461,7395476,7515476,7545453,7665446,7695473,7815469,7845446,7910429,7965450,7995469,8115469,8145437,8265453,8295469,8415466,8445436,8510429,8565458,8595461,8715438,8745443,8865436,8895446,9015438,9045443,9165454,9195438,9315443,9345438,9465434,9495458,9615451,9645438,9765454,9795436,9915436,9945446,10065453,10095429,10215450,10245436,10365461,10395429,10460413,10515446,10545443,10665434,10695426,10760399,10815435,10845446,10965435,10995412,11115427,11145438,11265412,11295433,11415418,11445429,11565421,11595421,11715413,11745436,11865418,11895545,12015413,12045418,12110392,12165429,12195407,12315414,12345407,12465397,12495407,12615413,12645453,12765408,12795407,12915408,12945421,13065392,13095413,13215404,13245384,13365419,13395413,13515397,13545491,13665377,13695411,13760364,13815397,13845384,13965412,13995384,14060372,14115412,14145408,14265372,14295392,14360357,14415377,14445372,14565405,14595404,14715377,14745380,14865364,14895380,15015380,15045364,15110354,15165377,15195372,15315372,15345372,15465361,15495372,15615371,15645364,15710349,15765372,15795364,15915369,15945364,16065356,16095364,16215370,16245357,16365357,16395362,16515357,16545357,16665346,16695349,16815362,16845346,16965356,16995349,17060346,17115353,17145354,17265331,17295353,17415357,17445341,17565346,17595346,17715349,17745364,17810349,17865342,17895346,18015349,18045341,18165353,18195341,18315341,18345341,18465349,18495364,18615357,18645326,18765353,18795331,18915338,18945334,19065326,19095361,19215356,19245338,19310311,19365349,19395326,19515331,19545318,19665334,19695326,19815331,19845354,19965338,19995326,20115311,20145341,20265311,20295326,20415318,20445303,20565316,20595318"
0x1F,0x00,0x55,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0,6,"1161,2412,3067,3966,5171,5676"
0x32,,0x55,"0x09,0x00",0xC4,28,"630515,780514,1080522,1230507,1380530,1680514,2730492,3630484,4230476,5280476,6480484,8430429,8880435,9180421,9330422,11430499,12630392,14130372,15030364,15630349,15930372,16080357,16380342,17130334,17430342,17730334,17880372,18780349"
0x32,0x00,0x55,"0x09,0x00",0xC4,1,2723
0x42,,0x55,"0x00,0xFF",0xBD,138,"55549,205560,355542,505534,655522,805542,955545,1105538,1255530,1405542,1555530,1705522,1855514,2005522,2155527,2305515,2455519,2605512,2755515,2905507,3055492,3205499,3355504,3505515,3655506,3805507,3955499,4105515,4255484,4405522,4555489,4705504,4855496,5005491,5155484,5305484,5455473,5605484,5755481,5905476,6055454,6205476,6355468,6505468,6655481,6805469,6955484,7105461,7255466,7405461,7555481,7705458,7855468,8005450,8155473,8305453,8455458,8605450,8755446,8905454,9055436,9205438,9355469,9505461,9655434,9805453,9955438,10105453,10255422,10405446,10555436,10705446,10855413,11005438,11155421,11305438,11455412,11605438,11755411,11905433,12055400,12205433,12355411,12505412,12655420,12805407,12955445,13105404,13255391,13405407,13555429,13705392,13855476,14005428,14155426,14305407,14455392,14605399,14755391,14905380,15055369,15205380,15355379,15505372,15655362,15805372,15955372,16105372,16255357,16405369,16555362,16705357,16855349,17005364,17155356,17305357,17455334,17605354,17755354,17905349,18055341,18205361,18355349,18505364,18655349,18805357,18955341,19105357,19255326,19405334,19555326,19705349,19855318,20005346,20155323,20305331,20455311,20605323"
0x42,0x00,0x55,"0x00,0xFF",0xBD,1,3295
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,107,"140519,290522,440530,590530,740511,1040538,1190522,1340527,1490527,1640515,1790514,1940522,2090522,2240507,2390507,2840496,3290491,3440499,3590491,3740484,3890484,4340476,4490476,4640484,4790484,4940469,5090476,5690489,5840468,5990466,6140458,6290461,6440458,6590481,6740446,6890458,7190469,7490446,7640451,7790446,7940438,8390438,8540537,8840435,9140446,9290445,9440429,9590429,9740422,9890429,10040426,10190429,10490419,10640438,10790422,10940407,11090414,11240413,11390414,11690436,11990407,12140412,12440407,12590399,12890392,13040392,13190400,13340379,13490392,13790384,14090377,14540364,14690371,14840372,14990372,15290364,15440364,15590364,15740357,15890392,16040372,16190392,16340371,16490349,16640349,16940341,17090349,17240346,17390357,17540333,17690364,17840364,17990357,18140357,18290357,18740346,18890357,19040357,19190349,19340319,19490349,19640318,19790319,20090311,20240311,20390311,20540303"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,3,"1805,4541,6276"
