ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,127,"156447,306440,456431,606431,756440,906432,1056432,1206432,1356440,1506424,1656424,1806424,1956431,2106424,2256416,2406437,2556447,2706439,2856432,3006432,3156424,3306440,3456408,3606409,3756416,3906406,4056401,4206401,4356409,4506401,4656398,4806401,4956406,5106394,5256393,5406393,5556401,5706391,5856496,6006386,6156394,6306401,6456386,6606416,6756391,6906401,7056401,7206401,7356409,7506462,7656386,7806391,7956378,8106371,8256370,8406371,8556378,8706371,8856363,9006363,9156371,9306363,9456363,9606363,9756378,9906371,10056371,10206378,10356378,10506353,10656348,10806375,10956355,11106348,11256345,11406345,11556370,11706360,11856340,12006371,12156378,12306363,12456332,12606352,12756340,12906332,13056329,13206329,13356355,13506325,13656324,13806324,13956348,14106322,14256340,14406317,14556345,14706317,14856332,15006317,15156340,15306309,15456317,15606309,15756340,15906309,16056310,16206306,16356317,16506301,16656302,16806301,16956324,17106301,17256294,17406294,17556302,17706294,17856294,18006294,18156301,18306286,18456286,18606286,18756294,18906283,19056279"
0x0D,0x00,0x55,"0x00,0x00",0xF2,3,"1883,4559,6436"
0x1F,,0x55,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE,172,"101460,131455,196440,251455,281455,401484,431455,551447,581483,701462,731474,2351432,2381439,2501548,2531431,2651456,2681439,2801429,2831439,2896432,2951424,2981439,3046417,3101455,3131424,3251452,3281432,3401455,3431439,3496409,3551424,3581432,3701447,3731417,3851455,3881432,4001429,4031437,4151416,4181424,4301424,4331432,4451455,4481424,4546409,4601424,4631424,4751432,4781455,4846401,4901417,4931409,4996394,5051417,5081528,5201424,5231447,5296401,5351424,5381447,5501414,5531401,5651401,5681416,5801416,5831416,5951398,5981409,6101417,6131401,6251409,8351378,8381391,8501386,8531386,8596363,8651386,8681391,8801386,8831417,8951378,8981386,9101394,9131378,9251386,9281383,9401383,9431383,9551370,9581408,9646355,9701406,9731371,9851378,9881375,10001379,10031375,10151371,10181393,10246401,10301378,10331363,10396455,10451370,10481371,10601371,10631370,10751378,10781362,10901398,10931360,11051370,11081363,11201371,11231371,11351347,11381370,11501368,11531355,11651363,11681363,11801363,11831378,11896340,11951391,11981363,12101363,12131348,12251355,14351348,14381345,14501339,14531330,14596333,14651341,14681355,14746333,14801363,14831340,14951347,14981337,15101337,15131324,15251333,15281340,15401340,15431340,15551325,15581332,15701332,15731317,15851332,15881329,16001332,16031329,16151317,16181325,16301325,16331314,16451348,16481314,16601325,16631324,16751317,16781325,16901325,16931309,16996302,17051309,17081321,17201322,17231321"
0x1F,,0x55,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,111,"851583,881452,946447,1001455,1031480,1151467,1181455,1246424,1301452,1331440,1451474,1481444,1601455,1631455,1751462,1781447,1901462,1931447,1996424,2051439,2081439,2201444,2231455,6281409,6346401,6401409,6431409,6551394,6581406,6701409,6731394,6796378,6851401,6881406,7001409,7031401,7096386,7151391,7181398,7301409,7331394,7451401,7481398,7601401,7631398,7751386,7781393,7846371,7901399,7931378,8051394,8081393,8146386,8201393,8231391,12281363,12401368,12431363,12551348,12581378,12701378,12731340,12851355,12881378,12946340,13001383,13031355,13151345,13181378,13246333,13301375,13331355,13451347,13481371,13601375,13631340,13751337,13781371,13901371,13931332,14051348,14081345,14201332,14231363,17351310,17381317,17501317,17531325,17651317,17681317,17801317,17831314,17951301,17981317,18101314,18131302,18251310,18281310,18401309,18431309,18496287,18551299,18581309,18701401,18731294,18851324,18881310,19001302,19031302,19151310,19181302"
0x1F,0x00,0x55,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF,6,"788,1423,2324,3466,4100,4999"
0x1F,0x00,0x55,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE,1,5359
0x32,,0x55,"0x08,0xC8",0xFC,16,"3266447,3716409,4016432,4766432,4916424,5516401,8966378,9266370,10016394,10616371,11216348,14066325,14216345,15566325,15866317,16016309"
0x32,,0x55,"0x09,0x00",0xC4,14,"866439,1916424,2816417,5666394,6416391,6716417,7616401,11966363,12116348,12266340,13016340,17816294,18716286,18866294"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"1082,3755"
0x42,,0x55,"0x00,0xFF",0xBD,75,"141439,291463,441483,591482,741447,891482,1041455,1191483,1341439,1491480,1641455,1791482,1941455,2091447,2241447,2391444,2541432,2691447,2841439,5691439,5841424,5991429,6141401,6291414,6441414,6591409,6741401,6891414,7041406,7191401,7341394,7491421,7641409,7791394,7941386,8091401,8241399,8391416,11391368,11541347,11691370,11841363,11991363,12141355,12291367,12441383,12591360,12741371,12891360,13041386,13191355,13341371,13491352,13641378,13791348,16341317,16491332,16641340,16791324,16941317,17091325,17241310,17391325,17541307,17691325,17841317,17991317,18141301,18291317,18441348,18591309,18741299,18891317,19041332,19191302"
