ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,102,"41934,191919,341934,491903,641956,791911,942034,1091904,1241926,1391926,1541919,1691942,1841899,1991919,2141932,2291911,2441934,2591988,2741905,2891904,3041883,3191898,3341882,3491886,3641885,3791888,3941896,4091877,4241877,4391883,4541875,4691876,4841876,4991878,5141870,5291872,5441872,5591876,5741870,5891862,6041870,6191871,6341862,6491861,6641861,6791870,6941860,7091858,7241858,7391895,7541877,7691850,7841850,7991859,8141845,8291844,8441844,8591856,8741846,8891846,9041845,9191894,9341862,9491834,9641834,9791877,9941837,10091838,10241856,10391838,10541833,10691830,10841830,10991834,11141822,11291822,11441822,11591852,11741822,11891860,12041863,12191940,12341838,12491812,12641851,12791859,12941820,13091830,13241814,13391830,13541807,13691807,13841807,13991815,14141821,14291799,14441799,14591815,14741799,14891815,15041799,15191814"
0x0D,0x00,0x55,"0x00,0x00",0xF2,2,"845,3821"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,179,"16980,81912,136965,167011,231933,286934,316950,381918,436926,466965,531911,586918,616926,681903,736950,766934,831903,886949,916919,981927,1036927,1066948,1131903,1186943,1216925,1281919,1336926,1366935,1431896,4966903,5031918,5086895,5116894,5181903,5236911,5266893,5331870,5386885,5416894,5481891,5536888,5566877,5631884,5686890,5716891,5781919,5836895,5866891,5931870,5986878,6016883,6081895,6136883,6166875,6231877,6286883,6316884,6381896,6436889,6466884,6531862,6586869,6616878,6681859,6736884,6766870,6831884,6886886,6916878,6981872,7036886,7066878,7131861,7186863,7216877,7281858,7336876,7366861,7431856,7486874,7516861,7581890,7636875,7666875,7731858,7786862,7816870,7881853,7936876,7966859,8031845,8086862,8116870,8181861,8236888,8266870,8331853,8386858,8416870,8481845,8536890,8566853,8631846,8686910,8716870,8781858,8836949,8866862,8931844,8986869,9016865,9081886,9136883,9166857,9231837,9286888,9316862,9381853,9436878,9466859,9531837,9586853,9616861,9681834,9736862,9766972,9831837,9886861,9916853,9981844,10036858,10066875,10131834,10186858,10216888,10281830,10336858,10366850,10431833,10486856,10516855,10581837,10636858,10666853,10731830,10786837,10816851,10881830,10936842,10966862,11031822,11086845,11116853,11181834,11236845,11266844,11331830,11386834,11416845,13486833,13516830,13581822,13636833,13666829,13731807,13786812,13816833,13881807,13936863,13966845,14031807,14086842,14116861,14181815,14236846,14266845,14331807,14386814,14416822"
0x1F,,0x55,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,126,"1486941,1516919,1581911,1636918,1666941,1731904,1786911,1816910,1881893,1936919,1966904,2031894,2086919,2116911,2181925,2236917,2266918,2331919,2386894,2416919,2481888,2536918,2566904,2631891,2686912,2716912,2781918,2836911,2866912,2931888,2986902,3016912,3081904,3136912,3166896,3231883,3286903,3316904,3381918,3436910,3466912,3531884,3586893,3616910,3681903,3736903,3766888,3832017,3886903,3916902,3981904,4036903,4066904,4131902,4186894,4216903,4281911,4336901,4366891,4431875,4486894,4516911,4581927,4636901,4666883,4731875,4786884,4816898,4881888,4936897,11481838,11536853,11566850,11631821,11686844,11716845,11781834,11836846,11866845,11931822,11986830,12016846,12081815,12136845,12166830,12231815,12286837,12316834,12381850,12436838,12466834,12531814,12586829,12616834,12681814,12736837,12766849,12831815,12886857,12916838,12981822,13036830,13066830,13131812,13186819,13216819,13281807,13336838,13366821,13431804,14481804,14536844,14566814,14631799,14686822,14716821,14781833,14836819,14866822,14931822,14986807,15016820,15081853,15136821,15166819,15231792"
0x1F,0x00,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,6,"347,1424,2681,3335,4342,6608"
0x32,,0x55,"0x09,0x00",0xC4,35,"1201942,1351903,1801911,2251896,2551911,2701893,2851894,3151888,3301887,4351886,4801888,5251875,6001903,6301870,6451894,6751888,7201896,7351861,7651875,7801872,8251850,8701875,9001861,9451846,9601896,9901860,10351834,10501834,11551830,12001834,12451820,13501815,14401821,14851820,15001814"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"2992,6897"
0x42,,0x55,"0x00,0xFF",0xBD,102,"26935,176941,326958,477033,626972,776950,926949,1076927,1226949,1376917,1526949,1676918,1826941,1976911,2126948,2276919,2426918,2576893,2726920,2876911,3026911,3176904,3326918,3476910,3626909,3776894,3926910,4076904,4226926,4376911,4526919,4676896,4826896,4976883,5126902,5276893,5426884,5576885,5726894,5876894,6026894,6176878,6326891,6476891,6626904,6776869,6926883,7076883,7226886,7376870,7526877,7676878,7826876,7976862,8126875,8276862,8426870,8576860,8726870,8876869,9026870,9176860,9326870,9476884,9626862,9776850,9926863,10076995,10226894,10376846,10526877,10676875,10826856,10976837,11126846,11276850,11426845,11576844,11726877,11876853,12026845,12176838,12326845,12476845,12626838,12776845,12926845,13076834,13226830,13376827,13526834,13676830,13826830,13976807,14126853,14276830,14426830,14576814,14726858,14876819,15026819,15176830"
0x42,0x00,0x55,"0x00,0xFF",0xBD,2,"598,3589"
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,78,"261911,411919,561919,711949,1011917,1161919,1311919,2061903,2361910,2661919,2811904,2961919,3111904,3411895,3561896,3711901,3861898,4011895,4161911,4311911,4461886,4761888,4911888,5211883,5361884,5661874,5811904,5961877,6111896,6261877,6412001,6561876,6711919,6861911,7011918,7161870,7311869,7611904,7761884,7911885,8061902,8211859,8361904,8661858,8961860,9111885,9261845,9411850,10011845,10161853,10311845,10461840,10611846,10761846,10911846,11061830,11211837,11361845,11661851,11811837,11961838,12261851,12411859,12561830,12711853,13011822,13311830,13611820,13761837,13911821,14061815,14211822,14361815,14511814,14661807,14811814,14961815,15261830"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,3,"2074,4917,5985"
