ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,100,"23099,173091,323084,473083,623091,773083,923080,1073080,1223088,1373084,1523076,1673076,1823083,1973107,2123088,2273076,2423084,2573068,2723083,2873068,3023076,3173065,3323061,3473061,3623068,3773061,3923060,4073060,4223068,4373060,4523053,4673053,4823060,4973053,5123050,5273050,5423058,5573045,5723045,5873045,6023073,6173073,6323155,6473068,6623050,6773038,6923061,7073037,7223061,7373038,7523053,7673038,7823065,7973053,8123052,8273045,8423084,8573061,8723068,8873042,9023030,9173038,9323022,9473022,9623165,9773022,9923015,10073015,10223022,10373014,10523011,10673012,10823019,10973007,11123030,11273096,11423061,11573030,11723007,11873007,12023014,12172999,12323015,12473015,12623022,12773015,12923076,13073004,13223022,13373007,13523007,13672992,13822999,13973007,14122984,14272984,14422999,14573007,14722984,14872984"
0x0D,0x00,0x55,"0x00,0x00",0xF2,2,"528,3454"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,299,"63083,118111,148106,213119,268106,298155,363099,418098,448106,513099,568116,598099,663083,718139,748099,813091,868106,898099,963084,1018098,1048103,1113084,1168106,1198091,1263076,1318099,1348099,1413091,1468096,1498098,1563080,1618088,1648088,1713076,1768127,1798141,1863076,1918099,1948119,2013083,2068096,2098099,2163091,2218084,2248106,2313068,2368095,2398099,2463068,2518106,2548096,2613080,2668107,2698107,2763091,2818083,2848091,2913068,2968200,2998106,3063065,3118127,3148091,3213076,3268134,3298091,3363068,3418091,3448088,3513060,3568127,3598076,3663060,3718127,3748106,3813076,3868106,3898083,3963061,4018091,4048106,4113058,4168134,4198088,4263061,4318076,4348076,4413068,4468081,4498068,4563058,4618068,4648104,4713053,4768083,4798061,4863053,4918073,4948084,5013066,5068068,5098126,5163053,5218091,5248091,5313050,5368091,5398076,5463045,5518088,5548215,5613060,5668099,5698076,5763061,5818061,5848116,5913045,5968076,5998076,6063045,6118091,6148099,6213053,6268068,6298099,6363068,6418053,6448083,6513037,6568068,6598050,6663038,6718091,6748098,6813076,6868065,6898061,6963045,7018045,7048084,7113037,7168076,7198165,7263053,7318058,7348065,7413068,7468061,7498107,7563060,7618045,7648053,7713030,7768068,7798045,7863053,7918045,7948068,8013061,8068053,8098053,8163061,8218065,8248050,8313030,8368054,8398053,8463050,8518068,8548065,8613053,8668068,8698068,8763030,8818038,8848045,8913045,8968053,8998061,9063022,9118066,9148075,9213045,9268068,9298060,9363022,9418030,9448060,9513019,9568045,9598030,9663014,9718045,9748038,9813030,9868038,9898038,9963019,10018030,10048037,10113015,10168038,10198038,10263014,10318037,10348053,10413022,10468037,10498068,10563015,10618020,10648053,10713015,10768022,10798022,10863007,10918030,10948038,11013022,11068035,11098029,11163014,11218037,11248030,11313015,11368053,11398022,11463007,11518030,11548045,11613045,11668027,11698027,11763007,11818014,11848045,11912999,11968049,11998015,12062999,12118022,12148038,12213012,12268022,12298022,12362999,12418012,12448022,12512999,12568027,12598007,12662996,12718015,12748022,12813007,12868038,12898015,12962999,13018007,13048006,13112992,13168035,13198007,13262992,13318012,13348011,13413004,13468014,13498014,13562992,13617992,13648019,13712989,13768030,13798007,13862991,13918007,13948007,14013015,14068038,14098053,14162992,14218016,14248007,14312984,14368030,14397997,14462984,14518007,14548007,14612997,14668022,14698007,14762984,14817997,14848022,14912981,14968007"
0x1F,0x00,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,6,"1117,2316,2968,3974,5122,5883"
0x1F,,0x55,,0x7D,1,14997991
0x32,,0x55,"0x09,0x00",0xC4,22,"433106,883083,1633091,1933084,2833091,2983076,3133068,4183061,5233084,5833060,6283045,8233068,8383060,9133045,9433045,10033038,10483022,10933030,11533015,12732999,13782992,14682991"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"2601,5539"
0x42,,0x55,"0x00,0xFF",0xBD,100,"8134,158119,308148,458106,608098,758134,908138,1058106,1208096,1358107,1508099,1658099,1808119,1958107,2108099,2258106,2408075,2558127,2708091,2858111,3008083,3158140,3308091,3458118,3608103,3758119,3908118,4058106,4208104,4358083,4508084,4658106,4808068,4958080,5108076,5258065,5408080,5558124,5708119,5858196,6008091,6158118,6308099,6458084,6608076,6758068,6908083,7058065,7208076,7358106,7508163,7658076,7808065,7958075,8108080,8258058,8408038,8558073,8708052,8858053,9008076,9158134,9308068,9458045,9608053,9758091,9908060,10058058,10208045,10358060,10508058,10658053,10808083,10958030,11108034,11258030,11408022,11558038,11708045,11858027,12008037,12158030,12308030,12458030,12608019,12758027,12908022,13058015,13208007,13358022,13508038,13658035,13807997,13958015,14108060,14258030,14408019,14558014,14708027,14858007"
0x42,0x00,0x55,"0x00,0xFF",0xBD,2,"270,3227"
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,79,"93091,243098,393099,693091,843096,993099,1143126,1443091,1743091,1893099,2043106,2193173,2343106,2643083,2793126,2943083,3093073,3243076,3393084,3543084,3993076,4143076,4293068,4443068,4593068,4743068,4893060,5043065,5193068,5343068,5493057,5643083,5793060,5943061,6093052,6543083,6843076,6993076,7143068,7293042,7443073,7593068,7893061,8043068,8193061,8343045,8643068,8793061,8943065,9093045,9243038,9393045,9543037,9693027,10743030,11043053,11193030,11343050,11493015,11643022,11793037,11943022,12093007,12243014,12543015,12693004,12843007,12993014,13143015,13293022,13443007,13593007,13743007,13892999,14043007,14342999,14492992,14642999,14942999"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,2,"1712,4548"
0x6A,,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,100,"73091,223099,373134,523088,673106,823096,973104,1123083,1273091,1423141,1573126,1723091,1873103,2023091,2173076,2323075,2473076,2623083,2773073,2923068,3073068,3223076,3373068,3523068,3673068,3823076,3973068,4123060,4273061,4423068,4573060,4723057,4873057,5023065,5173061,5323053,5473053,5623061,5773052,5923053,6073053,6223060,6373045,6523045,6673061,6823076,6973042,7123045,7273037,7423068,7573038,7723060,7873053,8023068,8173053,8323053,8473030,8623060,8773045,8923030,9073045,9223038,9373038,9523022,9673022,9823030,9973020,10123019,10273019,10423027,10573038,10723014,10873015,11023022,11173015,11323037,11473015,11623022,11773007,11923022,12073007,12223014,12373004,12523004,12672999,12823007,12972999,13122999,13272999,13423007,13572999,13722997,13872992,14022999,14173007,14322989,14472989,14623000,14772984,14922984"
0x6A,0x00,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,2,"1345,4206"
0x80,,0x55,,0x00,78,"128104,278111,578106,728111,1028091,1178106,1328106,1478107,1778118,2078096,2228083,2378111,2528099,2678111,3278083,3428076,3578119,3728124,3878346,4028099,4328083,4478099,4628091,4778134,4928149,5078099,5378099,5528075,5678088,5978099,6128091,6428060,6578099,6728080,6878091,7028053,7178088,7328060,7478148,7628053,7778053,7928053,8078053,8528068,8678042,8828045,8978045,9278068,9578042,9728045,9878076,10178038,10328042,10628022,10778030,11078038,11228022,11378029,11678029,11828015,11978027,12128030,12278027,12428015,12578027,12878022,13028007,13178022,13328022,13478015,13628015,13928015,14078037,14228015,14377999,14528029,14827999,14978007"
0x80,,0x55,,0xFF,22,"428096,878106,1628091,1928106,2828084,2978098,3128091,4178099,5228068,5828076,6278068,8228042,8378052,9128076,9428038,10028030,10478038,10928037,11528022,12728030,13778030,14678007"
0x80,0x00,0x55,,0x00,2,"2544,5482"
0x80,0x00,0x55,"0x00,0xFF,0xFF",0xCC,1,5349
0x8E,,0x55,"0x60,0x7F",0x91,100,"108111,258111,408128,558104,708106,858106,1008091,1158106,1308099,1458091,1608088,1758106,1908099,2058099,2208084,2358134,2508118,2658211,2808099,2958134,3108089,3258139,3408091,3558131,3708124,3858134,4008068,4158099,4308098,4458084,4608091,4758106,4908106,5058103,5208088,5358099,5508089,5658088,5808076,5958096,6108091,6258091,6408052,6558068,6708084,6858060,7008053,7158053,7308061,7458053,7608045,7758060,7908083,8058054,8208045,8358053,8508068,8658053,8808038,8958053,9108073,9258060,9408035,9558045,9708042,9858038,10008014,10158045,10308038,10458037,10608030,10758037,10908035,11058030,11208020,11358030,11508029,11658030,11808014,11958022,12108022,12258022,12408012,12558022,12708022,12858007,13008006,13158019,13308034,13458015,13608012,13758030,13908015,14058053,14208015,14358015,14508029,14658007,14807991,14958004"
0x8E,0x00,0x55,"0x60,0x7F",0x91,2,"2080,4890"
0x9C,,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,100,"138106,288141,438099,588106,738111,888091,1038096,1188098,1338104,1488107,1638091,1788119,1938120,2088106,2238104,2388100,2538126,2688091,2838100,2988091,3138106,3288091,3438076,3588083,3738099,3888083,4038076,4188106,4338083,4488081,4638068,4788106,4938124,5088124,5238138,5388119,5538091,5688091,5838061,5988083,6138068,6288068,6438058,6588053,6738091,6888106,7038052,7188083,7338088,7488076,7638045,7788084,7938053,8088053,8238045,8388053,8538046,8688068,8838038,8988045,9138061,9288045,9438022,9588042,9738037,9888038,10038038,10188075,10338039,10488037,10638027,10788038,10938053,11088031,11238022,11388027,11538030,11688027,11838022,11988022,12138045,12288030,12438014,12588019,12738020,12888038,13038015,13188015,13338037,13488035,13638022,13788015,13938014,14088053,14238015,14388022,14538006,14688022,14837999,14988022"
0x9C,0x00,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,2,"2741,5655"
0xAD,,0x55,,0x00,21,"538119,1288107,1588107,2488091,3688119,3838107,6238091,6388099,6688061,7738083,8488038,9838038,9988061,10138045,10288038,10438030,10588030,10888038,12388037,14188015,14788030"
0xAD,,0x55,,0xFF,6,"4738099,6988083,8638045,8788068,11638015,14038030"
0xAD,0x00,0x55,,0x00,2,"1656,4491"
0xB1,,0x55,"0x0C,0x00",0x42,40,"43099,193119,343099,493091,643091,793091,943099,1093083,1243106,1393091,1543091,1693080,1843118,1993118,2143106,2293076,2443084,2593098,2743080,2893068,12043012,12193012,12343012,12492999,12643007,12793007,12943007,13092999,13242999,13393004,13543007,13692992,13842999,13993038,14143038,14292989,14443015,14592999,14743014,14893022"
0xB1,,0x55,"0x2C,0x00",0x22,21,"6043060,6193053,6343068,6493045,6643049,6793053,6943076,7093038,7243065,7393045,7543068,7693053,7843065,7993061,8143068,8293030,8443060,8593061,8743037,8893045,9043030"
0xB1,,0x55,"0x3C,0x00",0x12,20,"3043076,3193076,3343076,3493065,3643068,3793076,3943073,4093061,4243068,4393068,4543068,4693061,4843061,4993061,5143061,5293053,5443058,5593060,5743060,5893045"
