ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,99,"57973,207968,357960,507960,657967,807957,957960,1107960,1257968,1407960,1557981,1707952,1857990,2007952,2157952,2307958,2457960,2607952,2757942,2907945,3057952,3207944,3357945,3507944,3657952,3807936,3957934,4107952,4257942,4407975,4557949,4707937,4857945,5008029,5157945,5307937,5457975,5607945,5757922,5907922,6057929,6207922,6357921,6507921,6657926,6807945,6957942,7107914,7257922,7407911,7557914,7707937,7857919,8007914,8157906,8307914,8457914,8607904,8757906,8907904,9057914,9207899,9357899,9507899,9657906,9807899,9957899,10107899,10257906,10407891,10557888,10707888,10857922,11007891,11157891,11307891,11457922,11607899,11757881,11907911,12057906,12207883,12357883,12507876,12657883,12807876,12957876,13107872,13257881,13407873,13557873,13707873,13857876,14007873,14157859,14307873,14457876,14607867,14757868"
0x0D,0x00,0x55,"0x00,0x00",0xF2,2,"1567,4435"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,222,"302990,333006,397968,452972,482998,547960,602991,632990,697958,752988,782998,847967,902983,933021,997959,1052965,1082982,1147960,1202980,1232975,1297952,1352975,1382998,1447965,1502983,1532996,1597960,1652967,1682975,1747949,1802965,1832967,1897952,1952975,1982972,2047960,2102976,2132975,2197957,2252960,2282988,2347967,2402972,2432957,2497945,2552975,2583064,2647960,2702968,2732991,2797952,2852960,2882991,2947942,3002967,3032975,3097945,3152968,3182983,3247952,3302965,3332960,3397942,3452960,3482968,3547937,3602965,3632949,3697937,3752957,4802960,4832945,4897929,4952952,4982952,5047945,5102952,5132949,5197929,5252942,6782937,6847929,6902945,6932927,6997922,7052927,7082937,7147913,7202960,7232945,7297929,7352935,7382935,7447929,7502926,7532937,7597914,7652922,7682934,7747914,8282929,8347903,8402929,8432922,8497906,8552929,8582944,8647937,8702945,8732934,8797906,8852914,8882922,8947906,9002944,9032914,9097904,9152945,9182922,9247929,9302929,9332922,9397906,9452911,9482922,9547960,9602942,9632906,9697896,9752937,10297896,10352904,10382922,10447906,10502919,10532922,10597899,10652899,10682914,10747891,10802914,10832906,10897891,10952911,10982914,11047899,11102919,11132914,11197888,11252896,11282914,11347891,11402914,11432899,11497883,11552906,11582906,11647906,11702906,11732906,11797911,11852899,11882906,11947883,12002912,12032899,12097896,12152904,12182906,12247891,12302906,12332906,12397883,12452888,12482899,12547876,12602906,12632903,12697876,12752899,12782896,12847891,12902899,12932898,12997876,13052889,13082896,13147872,13202891,13232891,13297873,13352898,13382914,13447888,13502914,13532919,13597872,13652881,13682922,13747875,13802922,13832914,13897873,13952914,13982914,14047883,14102888,14132889,14197872,14252880,14282914,14347867,14402888,14432883,14497899,14552888,14582906,14647879,14702911,14732906,14797867,14852906"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,75,"33013,97968,152988,183006,247972,3782959,3847952,3902957,3932958,3997944,4052952,4082952,4147937,4202960,4232944,4297937,4352960,4382952,4447944,4502988,4532973,4597935,4652960,4682972,4747929,5282950,5347942,5402952,5432937,5497929,5552945,5582952,5647937,5702949,5732950,5797929,5852934,5882952,5947922,6002949,6032935,6097942,6152944,6182945,6247937,6302949,6332942,6397934,6452934,6482945,6547922,6602945,6632960,6697922,6752936,7802937,7832919,7898014,7952934,7982929,8047919,8102934,8132929,8197914,8252922,9782906,9847906,9902919,9932922,9997896,10052906,10082914,10147914,10202922,10232904"
0x1F,0x00,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,6,"415,1079,2077,3290,3948,4956"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,2,"5727,6951"
0x32,,0x55,"0x09,0x00",0xC4,24,"17991,617968,767967,1967975,2717952,3467960,3917945,4667952,4967937,5117937,6017929,6167929,7067958,7217921,7367922,8417911,10517896,10967899,11267929,11717891,12017906,12467899,12767883,13967872"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"717,3605"
0x42,,0x55,"0x00,0xFF",0xBD,99,"42975,192990,342991,492990,642972,792988,943003,1092998,1243075,1392983,1542980,1692983,1842967,1992967,2142975,2292975,2442965,2593011,2742975,2893072,3042975,3193003,3342991,3492983,3642972,3792990,3942968,4092957,4242949,4392967,4542960,4692972,4842965,4992959,5142952,5292952,5442960,5592960,5742952,5892949,6042936,6192952,6342945,6492944,6642937,6792944,6942950,7092945,7242945,7392945,7542937,7692929,7842929,7992937,8142937,8292937,8442945,8592960,8742950,8892926,9042922,9192952,9342945,9492952,9642914,9792922,9942921,10092919,10242906,10392922,10542906,10692914,10842898,10992914,11142914,11292914,11442896,11592914,11742914,11892906,12042906,12192914,12342906,12492898,12642891,12792906,12942899,13092899,13242883,13392891,13542896,13692891,13842914,13992896,14142899,14292889,14442896,14592914,14742914"
0x42,0x00,0x55,"0x00,0xFF",0xBD,2,"1321,4202"
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,71,"427975,577983,727965,877975,1027975,1177973,1477998,1627968,1777967,1927957,2227998,2377968,2527952,2677957,2827960,2977960,3127952,3427960,3577960,3877949,4177952,4327942,4477944,4627950,4927936,5227942,5527937,5677937,5977945,6127926,6277960,6427934,6727929,7027934,7177952,7477929,7627929,7777929,8077922,8227922,8527914,8677922,8827922,8977922,9277914,9427914,9577914,9727906,9877914,10027914,10177914,10478014,10627906,10927899,11227906,11527891,11677922,11977922,12277914,12427911,13027906,13477906,13627891,13777942,13927881,14077904,14227881,14377906,14527872,14677891,14827884"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,2,"2693,6329"
0x6A,,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,99,"107968,257975,407965,557967,707967,857973,1007960,1157960,1307960,1457995,1607959,1757960,1907960,2057967,2207980,2357949,2507949,2657957,2807952,2957952,3107952,3257960,3407945,3557945,3707942,3857949,4007945,4157937,4307937,4457944,4607960,4757934,4907937,5057944,5207937,5357952,5507929,5657937,5807927,5957929,6107927,6257937,6407929,6557922,6707945,6857952,7007919,7157934,7307934,7457929,7607922,7757914,7907914,8057921,8207914,8357914,8507914,8657922,8807912,8957903,9107903,9257914,9407906,9557919,9707904,9857990,10007922,10157914,10307914,10457929,10607914,10757914,10907914,11057922,11207891,11357929,11507906,11657914,11807904,11957883,12107891,12257891,12407883,12557883,12707883,12857891,13007883,13157876,13307876,13457883,13607881,13757873,13907872,14057896,14207873,14357891,14507891,14657899,14807911"
0x6A,0x00,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,3,"2352,5184,5982"
0x80,,0x55,,0x00,75,"162988,312988,462975,912988,1062968,1212982,1362990,1512982,1662965,1812972,2112991,2262968,2412988,2562988,2862960,3012967,3162998,3312967,3612968,3762998,4062952,4212960,4362975,4513113,4812960,5262937,5412945,5562949,5712945,5862937,6312942,6462937,6612942,6762942,6912960,7512937,7662929,7812937,7962945,8113099,8262914,8562937,8712926,8862934,9012934,9162929,9312952,9462922,9612945,9762922,9912922,10062914,10212914,10362927,10662906,10812914,11112906,11412906,11562914,11862896,12162906,12312906,12612906,12912922,13062906,13212899,13362904,13512899,13662912,13812891,14112945,14262883,14412888,14562899,14712914"
0x80,,0x55,,0xFF,24,"13003,612983,762983,1962975,2712975,3462952,3912960,4662944,4962960,5112983,6012952,6162952,7062929,7212945,7362937,8412935,10513026,10962914,11262899,11712914,12012906,12462899,12762929,13962914"
0x80,0x00,0x55,,0x00,2,"656,3548"
0x8E,,0x55,"0x60,0x7F",0x91,99,"142983,292983,442972,592991,742982,892983,1042958,1192980,1342975,1492975,1642965,1792995,1942973,2092980,2242960,2392975,2542975,2692972,2842957,2993003,3142968,3292983,3442952,3592968,3742960,3892950,4042965,4192982,4342972,4492960,4642967,4792960,4942952,5092952,5242945,5392952,5542957,5692949,5842937,5992945,6142945,6292942,6442934,6592945,6742934,6892942,7042929,7192945,7342942,7492937,7642921,7792934,7942952,8092929,8242922,8392937,8542952,8692929,8842912,8992929,9142942,9292922,9442914,9592929,9742919,9892914,10042906,10192922,10342919,10492911,10642906,10792914,10942911,11092914,11242899,11392911,11542903,11692906,11842899,11992911,12142929,12292919,12442881,12593057,12742896,12892914,13042891,13192899,13342911,13492914,13642881,13792899,13942934,14092904,14242904,14392891,14542903,14692912,14842899"
0x8E,0x00,0x55,"0x60,0x7F",0x91,2,"3062,6697"
0x9C,,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,99,"23029,173003,322991,472983,623059,772983,922983,1072972,1222988,1372991,1522975,1672991,1822998,1972975,2122998,2273036,2422967,2572982,2722968,2872957,3022975,3172967,3322980,3472960,3622965,3772965,3922960,4072952,4222957,4372960,4522983,4672975,4822952,4972960,5122983,5272965,5422980,5572952,5722952,5872937,6022942,6172937,6322942,6472934,6622945,6772944,6922942,7072926,7222937,7372934,7522934,7672927,7822937,7972937,8122960,8272919,8422979,8572960,8722944,8872919,9022919,9172921,9322919,9472960,9622922,9772921,9922919,10072914,10222919,10372919,10522914,10672906,10822914,10972914,11122906,11272904,11422912,11572912,11722904,11872891,12022904,12172899,12322919,12472899,12622929,12772896,12922896,13072888,13222904,13372899,13522914,13672891,13822914,13972888,14122919,14272881,14422899,14572907,14722904"
0x9C,0x00,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,2,"838,3719"
