ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,98,"116320,266320,416328,566342,716320,866320,1016328,1166336,1316312,1466313,1616328,1766313,1916313,2066312,2216320,2366313,2516304,2666305,2816319,2966305,3116305,3266305,3416312,3566305,3716297,3866297,4016305,4166297,4316313,4466319,4616305,4766296,4916304,5066290,5216297,5366305,5516305,5666290,5816297,5966288,6116282,6266282,6416290,6566282,6716282,6866282,7016290,7166281,7316281,7466275,7616282,7766274,7916274,8066274,8216283,8366272,8516267,8666266,8816274,8966267,9116290,9266267,9416275,9566264,9716281,9866267,10016271,10166259,10316259,10466274,10616282,10766256,10916252,11066251,11216297,11366251,11516251,11666251,11816374,11966267,12116265,12266251,12416289,12566244,12716259,12866242,13016267,13166251,13316258,13466236,13616265,13766239,13916251,14066251,14216252,14366232,14516232,14666226"
0x0D,0x00,0x55,"0x00,0x00",0xF2,3,"270,3062,5408"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,200,"391359,456320,511343,541343,606335,661343,691343,756320,811320,841366,906335,961343,991335,1056320,1111335,1141359,1206351,1261343,1291341,1356320,3391320,3456303,3511319,3541327,3606312,3661313,3691328,3756305,3811328,3841334,3906297,3961328,3991313,4056297,4111320,4141343,4206311,4261349,4291320,4356297,4411313,4441320,4506298,4561343,4591305,4656297,4711319,4741343,4806304,4861343,4891335,4956312,5011302,5041336,5106290,5161344,5191297,5256289,5311312,5341335,5406320,5461344,5491312,5556290,5611297,5641335,5706290,5761336,5791297,5856290,5911311,5941297,6006297,6061313,6091305,6156290,6211298,6241305,6306282,6361306,6391298,6456282,6511296,6541305,6606296,6661305,6691305,6756282,6811289,6841303,8406282,8461358,8491290,8556274,8611298,8641289,8706267,8761313,8791274,8856266,8911290,8941290,9006273,9061311,9091288,9156267,9211274,9241290,9306265,9361297,9391389,9456259,9511288,9541290,9606274,9661281,9691282,9756282,9811275,9841303,9906259,9961290,9991290,10056259,10111281,10141327,10206267,10261305,10291297,10356290,10411267,10441312,10506258,10561282,10591290,10656252,10711274,10741274,10806266,10861280,10891274,10956259,11011267,11041274,11106251,11161282,11191267,11256251,11311273,11341275,11406259,11461274,11491273,11556252,11611258,11641259,11706251,11761274,11791259,11856267,11911267,11941267,12006258,12061266,12091290,12156267,12211274,12241267,12306246,12361290,12391259,12456259,12511265,12541290,12606252,12661290,12691282,12756265,12811267,12841267,13411249,13441259,13506239,13561259,13591243,13656252,13711281,13741251,13806244,13861267,13891259,13956251,14011251,14041259,14106231,14161251,14191246,14256234,14311251,14341251"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,94,"61343,91343,156327,211335,241335,306320,361349,1411328,1441450,1506312,1561343,1591328,1656312,1711336,1741335,1806328,1861336,1891335,1956313,2011327,2041335,2106313,2161350,2191327,2256311,2311358,2341328,2406342,2461374,2491351,2556312,2611344,2641357,2706305,2761351,2791365,2856305,2911351,2941343,3006320,3061335,3091418,3156305,3211336,3241342,3306305,3361328,6906282,6961305,6991290,7056280,7111329,7141297,7206290,7261304,7291297,7356282,7411290,7441297,7506274,7561297,7591320,7656274,7711328,7741297,7806288,7861298,7891320,7956275,8011282,8041311,8106274,8161336,8191304,8256273,8311313,8341290,12906242,12961267,12991252,13056366,13111259,13141259,13206274,13261265,13291265,13356259,14406245,14461258,14491242,14556232,14611241,14641252,14706343"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,4,"809,1965,2603,6335"
0x1F,0x00,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,2,"3557,4702"
0x32,,0x55,"0x09,0x00",0xC4,14,"76328,1426351,1726335,2026343,2176312,2326312,6976282,8176274,8326274,12076267,13426251,13726242,14176236,14326236"
0x32,,0x55,"0x08,0xC8",0xFC,10,"3376305,3526305,4576297,4726297,5626319,5776290,5926290,9376267,10126297,10876274"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"2258,4991"
0x42,,0x55,"0x00,0xFF",0xBD,58,"101351,251343,401336,551351,701349,851343,1001320,1151343,1301343,1451343,1601328,1751343,1901335,2051336,2201328,2351358,2501358,2651358,2801320,2951358,3101374,6251313,6401297,6551311,6701297,6851305,7001328,7151328,7301336,7451320,7601290,7751305,7901306,8051313,8201305,8351297,8501298,8651290,8801282,11951274,12101311,12251290,12401251,12551273,12701281,12851266,13001274,13151267,13301265,13451265,13601274,13751265,13901259,14051267,14201251,14351259,14501251,14651257"
0x42,,0x55,"0xC8,0xFE",0xF5,40,"3251349,3401420,3551343,3701328,3851312,4001336,4151320,4301343,4451320,4601335,4751320,4901343,5051320,5201328,5351320,5501343,5651312,5801297,5951313,6101312,8951297,9101290,9251289,9401297,9551282,9701396,9851282,10001275,10151289,10301288,10451297,10601273,10751328,10901297,11051280,11201282,11351327,11501290,11651289,11801265"
0x42,0x00,0x55,"0x00,0xFF",0xBD,1,2830
