ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,127,"69226,219225,369233,519217,669218,819233,969247,1119218,1269218,1419233,1569226,1719210,1869210,2019209,2169218,2319210,2469233,2619210,2769218,2919202,3069202,3219202,3369210,3519202,3669203,3819202,3969210,4119194,4269195,4419195,4569203,4719195,4869194,5019195,5169203,5319187,5469187,5619202,5769218,5919187,6069187,6219202,6369217,6519179,6669180,6819179,6969187,7119179,7269180,7419179,7569187,7719179,7869194,8019172,8169202,8319171,8469301,8619202,8769218,8919202,9069210,9219186,9369218,9519164,9669164,9819164,9969187,10119156,10269157,10419157,10569171,10719156,10869179,11019157,11169187,11319149,11469149,11619149,11769156,11919149,12069149,12219149,12369157,12519141,12669141,12819140,12969149,13119141,13269141,13419142,13569149,13719139,13869156,14019134,14169141,14319133,14469133,14619134,14769141,14919132,15069126,15219125,15369133,15519127,15669124,15819124,15969156,16119124,16269124,16419140,16569125,16719121,16869113,17019114,17169124,17319114,17469116,17619116,17769118,17919107,18069107,18219107,18369114,18519107,18669105,18819105,18969116"
0x0D,0x00,0x55,"0x00,0x00",0xF2,2,"1849,4671"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,266,"14248,44271,614247,644233,764234,794241,914241,944225,1009233,1064241,1094241,1159225,1214233,1244240,1364225,1394264,1514232,1544225,1664256,1694232,1814349,1844233,1964225,1994233,2114234,2144226,2264248,2294232,2359218,2414233,2444233,2564218,2594225,2714234,2744233,2809202,2864234,2894225,3014233,3044241,3164234,3194225,3314225,3344210,3464333,3494210,3614232,3644248,3764241,3794218,3859233,3914241,3944240,4009195,4064210,4094248,4214263,4244247,4364202,4394233,4514218,4544210,4664218,4694233,4759202,4814256,4844240,4964223,4994218,5114279,5144202,5209210,5264218,5294241,5414233,5444210,5564210,5594210,5714225,5744226,5809210,5864211,5894210,6014210,6044331,6164217,6194202,6314211,6344187,6464202,6494226,6614209,6644247,6764195,6794224,6914196,6944232,7064234,7094224,7159187,7214203,7244271,7364187,7394218,7514202,7544239,7609172,7664225,7694225,7814203,7844226,7964211,7994226,8059194,8114226,8144187,8264195,8294195,8359210,8414195,8444187,8509195,8564186,8594210,8714209,8744179,8864203,8894217,9014187,9044210,9164195,9194180,9314218,9344201,9464211,9494210,9614210,9644187,9764165,9794210,9914210,9944172,10009156,10064179,10094179,10214186,10244179,10364171,10394179,10514186,10544187,10664180,10694180,10814179,10844209,10964164,10994179,11114180,11144164,11264172,11294172,11414180,11444202,11564164,11594171,11714172,11744164,11864171,11894170,12014171,12044156,12164157,12194172,12314173,12344157,12409141,12464164,12494164,12614157,12644170,12764187,12794164,12914164,12944149,13064180,13094164,13214187,13244164,13364155,13394165,13514163,13544171,13664188,13694163,13814187,13844187,13964164,13994172,14594157,14714155,14744141,14864149,14894141,15014155,15044164,15164141,15194164,15259141,15314149,15344141,15464140,15494149,15559134,15614148,15644163,15709126,15764134,15794141,15914149,15944133,16064164,16094141,16214164,16244172,16309124,16364286,16394141,16459118,16514165,16544133,16664141,16694141,16814156,16844163,16964149,16994134,17114163,17144128,17264156,17294134,17359124,17414155,17444157,17564124,17594133,17659116,17714157,17744116,17864149,17894133,17959124,18014218,18044149,18109114,18164140,18194134,18314141,18344125,18464149,18494157,18614157,18644156,18764133,18794148,18914133,18944240"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,15,"164239,194248,314247,344233,409218,464240,494240,14114180,14144164,14264156,14294157,14359141,14414156,14444187,14564141"
0x1F,0x00,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,4,"2351,3566,4188,5195"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,2,"670,1394"
0x32,,0x55,"0x09,0x00",0xC4,127,"29225,179263,329224,479248,629225,779262,929240,1079225,1229248,1379233,1529217,1679217,1829217,1979248,2129216,2279233,2429209,2579240,2729210,2879210,3029210,3179240,3329208,3479202,3629202,3779218,3929202,4079202,4229202,4379209,4529194,4679202,4829194,4979208,5129194,5279215,5429195,5579332,5729215,5879225,6029232,6179217,6329225,6479202,6629184,6779210,6929185,7079187,7229179,7379195,7529183,7679179,7829177,7979187,8129178,8279172,8429171,8579202,8729171,8879194,9029172,9179202,9329170,9479164,9629164,9779179,9929164,10079164,10229164,10379177,10529162,10679172,10829187,10979187,11129178,11279187,11429157,11579187,11729155,11879149,12029148,12179162,12329148,12479148,12629149,12779156,12929147,13079140,13229172,13379156,13529141,13679141,13829141,13979148,14129140,14279133,14429133,14579149,14729133,14879133,15029130,15179141,15329130,15479130,15629154,15779141,15929148,16079124,16229124,16379141,16529141,16679125,16829124,16979130,17129116,17279116,17429116,17579125,17729113,17879113,18029116,18179123,18329107,18479202,18629109,18779123,18929123"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"1024,3842"
0x42,,0x55,"0x00,0xFF",0xBD,127,"54248,204248,354241,504248,654247,804247,954233,1104247,1254240,1404233,1554231,1704241,1854247,2004241,2154226,2304233,2454233,2604240,2754218,2904248,3054233,3204233,3354216,3504256,3654255,3804248,3954241,4104249,4254210,4404233,4554210,4704224,4854224,5004218,5154202,5304218,5454218,5604218,5754203,5904233,6054216,6204210,6354195,6504224,6654209,6804210,6954196,7104202,7254203,7404241,7554196,7704233,7854240,8004278,8154233,8304217,8454233,8604239,8754187,8904218,9054187,9204202,9354202,9504217,9654216,9804187,9954164,10104187,10254179,10404186,10554172,10704187,10854179,11004179,11154171,11304179,11454180,11604180,11754164,11904172,12054171,12204171,12354156,12504172,12654172,12804180,12954156,13104163,13254164,13404163,13554157,13704164,13854187,14004179,14154149,14304162,14454163,14604156,14754141,14904157,15054157,15204155,15354141,15504172,15654141,15804148,15954149,16104163,16254149,16404149,16554148,16704147,16854141,17004141,17154134,17304147,17454165,17604134,17754124,17904141,18054156,18204149,18354149,18504141,18654134,18804147,18954134"
0x42,0x00,0x55,"0x00,0xFF",0xBD,2,"1622,4443"
