ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,107,"130703,280695,430695,580703,730695,880694,1030695,1180702,1330692,1480718,1630687,1780710,1930715,2080687,2230687,2380718,2530684,2680710,2830680,2980687,3130680,3280695,3430679,3580687,3730676,3880702,4030672,4180702,4330672,4480672,4630672,4780710,4930669,5080695,5230664,5380695,5530664,5680687,5830664,5980695,6130661,6280657,6430661,6580672,6730657,6880672,7030672,7180703,7330718,7480695,7630664,7780684,7930649,8080672,8230649,8380687,8530653,8680687,8830661,8980679,9130657,9280641,9430653,9580680,9730641,9880635,10030635,10180649,10330635,10480638,10630639,10780641,10930646,11080648,11230631,11380657,11530631,11680623,11830641,11980631,12130641,12280623,12430641,12580631,12730635,12880616,13030616,13180627,13330616,13480618,13630618,13780623,13930611,14080612,14230635,14380618,14530608,14680610,14830611,14980616,15130603,15280604,15430603,15580611,15730618,15880616,16030603"
0x0D,0x00,0x55,"0x00,0x00",0xF2,3,"2517,5274,7089"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,238,"20703,75726,105723,225718,255718,375707,405718,525726,555710,675733,705730,770710,825741,855733,975733,1005741,1125746,1155733,1220695,1275740,1305738,1425746,1455741,1575733,1605741,1725741,1755725,1820718,1875733,1905733,1970702,2025733,2055733,2120687,2175725,2205725,2325846,2355725,2420687,2475754,2505730,2625710,2655764,2775702,2805707,2925725,2955703,3075745,3105702,3170695,3225722,3255702,3375725,3405702,3525708,3555687,3675695,3705733,3825700,3855710,3975687,4005717,4125700,4155703,4220703,4275692,4305691,4425699,4455710,4520703,4575687,4605695,4725695,4755710,4820695,4875718,4905700,5025695,5055707,5175679,5205687,5325710,5355702,5475715,5505702,5625679,5655687,5775702,5805687,5925718,5955672,6075710,6105687,6225687,6255725,6375672,6405702,6525685,6555733,6620657,6675710,6705702,6825684,6855680,6920657,6975695,7005680,7125680,7155695,7275703,7305679,7425681,7455702,7575703,7605672,7725672,7755687,7875700,7905662,8025672,8055677,8175661,8205669,8325669,8355687,8475657,8505687,8625672,8655672,8775670,8805692,8925669,8955657,9075670,9105694,9225669,9255664,9375649,9405680,9525679,9555671,9675661,9705664,9825664,9855657,9975646,10005657,10070657,10125664,10155649,10275662,10305657,10425656,10455657,10575641,10605657,10670649,10725657,10755638,10875654,10905654,10970664,11025654,11055649,11175641,11205657,11325641,11355641,11475649,11505649,11625649,11655672,11775638,11805649,11925764,11955635,12075664,12105646,12170654,12225646,12255646,12375634,12405649,12525649,12555635,12675681,12705641,12825647,12855641,12975634,13005641,13070616,13125647,13155631,13220616,13275634,13305638,13425635,13455664,13575733,13605654,13725684,13755649,13875653,13905631,13970623,14025670,14055664,14175623,14205635,14270608,14325634,14355631,14420607,14475641,14505733,14625631,14655631,14775623,14805631,14925635,14955635,15075623,15105657,15225630,15255687,15375616,15405631,15525627,15555611,15620600,15675631,15705624,15825631,15855638,15975634,16005641,16070623"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,7,"1267,1996,2984,4129,4814,5944,6629"
0x32,,0x55,"0x09,0x00",0xC4,44,"90702,240702,390733,540702,690703,840700,990707,1140700,1290694,1440695,1590733,1740695,1890715,2040710,2190702,2340702,2490689,2640687,2790695,2940684,3090687,3240680,3390695,12990635,13140624,13290618,13440615,13590630,13740618,13890616,14040748,14190669,14340611,14490631,14640631,14790646,14940631,15090607,15240608,15390618,15540623,15690611,15840616,15990649"
0x32,,0x55,"0xC9,0x00",0x04,21,"3540725,3690676,3840708,3990710,4140680,4290676,4440702,4590687,4740695,4890672,5040695,5190679,5340715,5490669,5640664,5790679,5940691,6090687,6240664,6390672,6540687"
0x32,,0x55,"0x89,0x00",0x44,21,"6690661,6840680,6990672,7140684,7290657,7440685,7590672,7740679,7890653,8040680,8190664,8340677,8490650,8640649,8790664,8940672,9090649,9240672,9390658,9540672,9690664"
0x32,,0x55,"0x49,0x00",0x84,21,"9840641,9990657,10140664,10290641,10440638,10590664,10740665,10890656,11040635,11190646,11340630,11490649,11640646,11790657,11940631,12090649,12240623,12390656,12540623,12690623,12840623"
0x32,0x00,0x55,"0x09,0x00",0xC4,3,"1629,4473,6287"
0x42,,0x55,"0x00,0xFF",0xBD,107,"115718,265725,415718,565710,715740,865725,1015740,1165733,1315748,1465718,1615741,1765733,1915749,2065722,2215733,2365700,2515741,2665710,2815710,2965702,3115733,3265702,3415702,3565718,3715707,3865702,4015700,4165687,4315748,4465717,4615733,4765733,4915741,5065730,5215779,5365707,5515718,5665733,5815723,5965703,6115733,6265726,6415733,6565718,6715748,6865756,7015711,7165669,7315710,7465680,7615710,7765669,7915680,8065676,8215702,8365687,8515702,8665680,8815687,8965656,9115672,9265672,9415687,9565679,9715664,9865664,10015687,10165677,10315691,10465687,10615656,10765672,10915687,11065684,11215656,11365641,11515646,11665679,11815648,11965641,12115654,12265679,12415646,12565635,12715664,12865646,13015664,13165638,13315649,13465664,13615653,13765657,13915664,14065638,14215635,14365618,14515638,14665630,14815631,14965623,15115635,15265648,15415648,15565639,15715672,15865657,16015646"
0x42,0x00,0x55,"0x00,0xFF",0xBD,3,"2238,5046,6857"
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,90,"5371,50710,350715,500710,650702,800717,950710,1100710,1250718,1400703,1550779,1700725,1850756,2150718,2300702,2450692,2600725,2750703,2900703,3050687,3200702,3350694,3500695,3800695,3950695,4250680,4400687,4700715,4850676,5150687,5300726,5450672,5600687,5750679,5900695,6050687,6200702,6350679,6500680,6650695,6950672,7100687,7250664,7400692,7550672,7700695,7850680,8150687,8300695,8450672,8600687,8900687,9050653,9200680,9500794,9650646,9800680,10400672,10550649,10700677,11000672,11150749,11300649,11600657,11750680,11900664,12050672,12200664,12350656,12500638,12800710,12950635,13100664,13250623,13550646,13700630,13850638,14150641,14300631,14450616,14600623,14750623,14900623,15050611,15200615,15350618,15500618,15650616,15800627,16100616"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,2,"658,3556"
