ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,109,"123748,273755,423748,573740,723740,873748,1023740,1173740,1323739,1473747,1623737,1773732,1923732,2073740,2223732,2373732,2523732,2673740,2823729,2973725,3123748,3273760,3423725,3573724,3723724,3873732,4023721,4173717,4323725,4473732,4623717,4773717,4923717,5073737,5223717,5373709,5523717,5673725,5823709,5973709,6123836,6273762,6423709,6573709,6723709,6873732,7023702,7173717,7323725,7473725,7623717,7773755,7923701,8073706,8223694,8373701,8523717,8673725,8823694,8973691,9123694,9273722,9423686,9573686,9723686,9873694,10023686,10173683,10323683,10473691,10623679,10773679,10923679,11073686,11223679,11373676,11523679,11673686,11823679,11973671,12123671,12273679,12423671,12573671,12723671,12873678,13023694,13173663,13323663,13473686,13623668,13773663,13923663,14073671,14223660,14373656,14523656,14673664,14823656,14973656,15123656,15273663,15423652,15573648,15723648,15873655,16023649,16173648,16323648"
0x0D,0x00,0x55,"0x00,0x00",0xF2,3,"397,3284,6376"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,245,"68770,98763,218770,248763,313748,368786,398793,518786,548763,668752,698794,818814,848763,968778,998763,1063755,1118867,1148760,1268763,1298763,1418790,1448755,1513740,1568778,1598785,1718786,1748775,1868747,1898755,2018786,2048873,2168755,2198755,2263748,2318755,2348755,2413740,2468748,2498755,2618762,2648744,2713730,2768779,2798748,2918752,2948748,3068745,3098770,3218755,3248739,3368748,3398763,3518748,3548763,3668740,3698839,3818749,3848732,3968745,3998740,4118747,4148762,4268722,4298763,4418744,4448740,4568738,4598740,4718740,4748794,4813717,4868755,4898755,5018745,5048744,5168732,5198755,5263725,5318740,5348808,5468744,5498740,5618737,5648748,5768760,5798732,5918755,5948732,6068725,6098748,6218732,6248725,6368745,6398724,6518732,6548717,6668717,6698732,6763702,6818729,6848714,6968724,6998724,7118716,7148724,7213709,7268714,7298725,7418724,7448709,7568726,7598721,7718724,7748755,7868714,7898725,8018722,8048709,8113702,8168717,8198725,8318717,8348725,8468709,8498714,8618717,8648701,8768718,8798717,8918717,8948717,9068699,9098714,9163694,9218732,9248702,9313694,9368709,9398701,9518715,9548709,9668699,9698709,9818707,9848699,9968702,9998709,10063694,10118709,10148717,10268709,10298732,10363686,10418732,10448694,10513679,10568709,10598729,10663755,10718733,10748702,10868691,10898701,11018707,11048698,11168702,11198702,11263686,11318702,11348702,11468692,11498694,11618725,11648709,11713671,11768699,11798714,11918699,11948694,12068686,12098694,12218694,12248671,12368694,12398694,12463709,12518696,12548694,12613702,12668679,12698694,12818687,12848687,12968692,12998691,13118686,13148686,13268686,13298686,13418725,13448684,13568692,13598701,13718703,13748686,13813671,13868694,13898702,14018809,14048676,14113664,14168717,14198702,14318722,14348702,14468691,14498699,14618725,14648686,14768680,14798679,14863671,14918714,14948679,15013664,15068683,15098671,15218724,15248664,15313656,15368675,15398671,15518686,15548702,15668656,15698702,15818676,15848663,15968668,15998701,16118671,16148671,16213648,16268663,16298686"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,6,"880,2074,2764,3748,4924,5917"
0x32,,0x55,"0x09,0x00",0xC4,45,"83763,233748,383748,533747,683755,833745,983745,1133745,1283776,1433741,1583824,1733755,1883770,2033740,2183755,2333755,2483748,2633732,2783732,2933745,3083786,3233824,3383747,3533748,13283679,13433671,13583686,13733663,13883678,14033663,14183663,14333663,14483778,14633663,14783663,14933656,15083668,15233656,15383656,15533656,15683669,15833668,15983671,16133725,16283683"
0x32,,0x55,"0x39,0x00",0x94,22,"3683778,3833763,3983745,4133740,4283755,4433741,4583721,4733722,4883732,5033717,5183763,5333717,5483729,5633719,5783717,5933717,6083745,6233740,6383736,6533709,6683722,6833709"
0x32,,0x55,"0x29,0x00",0xA4,22,"6983709,7133709,7283717,7433706,7583722,7733702,7883714,8033701,8183699,8333725,8483714,8633699,8783694,8933694,9083706,9233694,9383693,9533691,9683706,9833686,9983687,10133686"
0x32,,0x55,"0x19,0x00",0xB4,20,"10283702,10433686,10583686,10733687,10883694,11033683,11183679,11333679,11483694,11633678,11783679,11933679,12083686,12233679,12383679,12533671,12683701,12833671,12983686,13133686"
0x32,0x00,0x55,"0x09,0x00",0xC4,2,"2423,5571"
0x32,0x00,0x55,"0x09,0x00,0xC4,0x00,0xFF,0xFF",0xCB,1,5265
0x42,,0x55,"0x00,0xFF",0xBD,109,"108786,258763,408793,558801,708763,858755,1008772,1158786,1308763,1458748,1608770,1758763,1908755,2058748,2208762,2358763,2508755,2658745,2808755,2958755,3108752,3258740,3408755,3558748,3708747,3858737,4008748,4158763,4308745,4458725,4608747,4758740,4908740,5058732,5208744,5358755,5508755,5658786,5808783,5958740,6108778,6258740,6408732,6558748,6708732,6858722,7008732,7158725,7308716,7458717,7608725,7758725,7908725,8058714,8208725,8358722,8508717,8658709,8808725,8958722,9108737,9258725,9408714,9558714,9708717,9858701,10008709,10158717,10308709,10458709,10608724,10758709,10908709,11058709,11208706,11358702,11508702,11658717,11808724,11958702,12108694,12258683,12408698,12558694,12708692,12858679,13008686,13158694,13308694,13458694,13608709,13758709,13908686,14058694,14208706,14358702,14508701,14658686,14808686,14958679,15108699,15258668,15408684,15558694,15708679,15858655,16008694,16158671,16308671"
0x42,0x00,0x55,"0x00,0xFF",0xBD,2,"3057,6144"
0x61,,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,95,"43763,193762,343801,643778,793763,943747,1093755,1243755,1393755,1543748,1843752,1993755,2143740,2293747,2443747,2593747,2743740,3193748,3343732,3493755,3643739,3793740,4093732,4243740,4393740,4543724,4693732,4843732,4993732,5293724,5443729,5593729,5893725,6043725,6193725,6343740,6493725,6643721,6793725,6943709,7093716,7243717,7393717,7543725,7693717,7843732,7993714,8293725,8593709,8743701,8893709,9043709,9193709,9343694,9493702,9643702,9793702,9943694,10093699,10243702,10393701,10543687,10843694,10993694,11143686,11293691,11443694,11743678,11893686,12043709,12193687,12493686,12643702,12793686,12943717,13243739,13393709,13543671,13843691,13993678,14143671,14293671,14443676,14593679,14743663,15043671,15193671,15343660,15493664,15643671,15793668,15943656,16093663,16243663,16393663"
0x61,0x00,0x55,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A,2,"1486,4350"
0x6A,,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,110,"23748,173747,323747,473755,623747,773744,923745,1073755,1223748,1373740,1523740,1673748,1823739,1973740,2123740,2273748,2423737,2573732,2723738,2873740,3023755,3173732,3323732,3473755,3623729,3773725,3923740,4073732,4223725,4373725,4523724,4673732,4823721,4973717,5123744,5273724,5423717,5573717,5723717,5873724,6023748,6173717,6323732,6473725,6623709,6773709,6923709,7073717,7223709,7373702,7523724,7673717,7823702,7973702,8123701,8273709,8423702,8573702,8723702,8873709,9023694,9173694,9323694,9473702,9623693,9773694,9923691,10073702,10223687,10373686,10523686,10673694,10823702,10973793,11123701,11273709,11423702,11573694,11723701,11873686,12023676,12173679,12323694,12473684,12623717,12773671,12923671,13073679,13223694,13373694,13523671,13673693,13823671,13973664,14123663,14273671,14423663,14573663,14723663,14873671,15023661,15173656,15323656,15473663,15623656,15773656,15923655,16073663,16223653,16373648"
0x6A,0x00,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,2,"1122,3981"
0x80,,0x55,"0x80,0xFF",0xFE,103,"78763,228785,378770,528785,678755,828768,978775,1128824,1278793,1428881,1578801,1728770,1878748,2028755,2178748,2328791,2478760,2628771,2778793,2928767,3078740,3528886,3678737,3828748,3978768,4128748,4278730,4428767,4578744,4729082,4878732,5028732,5178740,5328771,5478730,5628745,5778761,5928936,6078725,6228732,6378755,6528732,6828732,6978725,7128747,7278717,7428725,7578729,7728725,7878702,8028722,8178725,8328824,8478709,8628725,8778717,8928732,9078702,9228717,9378717,9528852,9678725,9828709,10128709,10278699,10428709,10578740,10728936,10878694,11028701,11178701,11328702,11478694,11628724,11778701,11928709,12078686,12228694,12378702,12528694,12678679,13128691,13278686,13428694,13578694,13728702,13878694,14028702,14178706,14328882,14478686,14628717,14778702,14928679,15078668,15228725,15378679,15528956,15678699,15828694,15978725,16128678,16278671"
0x80,,0x55,"0xA0,0xFF",0xDE,6,"3228771,3378770,6678722,9978709,12828694,12978693"
0x80,0x00,0x55,"0x80,0xFF",0xFE,3,"2306,5151,5457"
0x8E,,0x55,"0x60,0x7F",0x91,109,"58755,208786,358817,508803,658763,808878,958785,1108763,1258757,1408783,1558786,1708778,1858747,2008763,2158755,2308755,2458748,2608755,2758778,2908755,3058740,3208752,3358745,3508755,3658740,3808747,3958745,4108747,4258732,4408748,4558740,4708740,4858732,5008740,5158739,5308737,5458725,5608738,5758755,5908732,6058722,6208732,6358740,6508729,6658717,6808732,6958732,7108732,7258709,7408725,7558725,7708725,7858709,8008722,8158724,8308717,8458702,8608717,8758716,8908717,9058701,9208722,9358714,9508709,9658702,9808714,9958715,10108724,10258714,10408709,10558706,10708709,10858694,11008709,11158699,11308702,11458691,11608725,11758703,11908695,12058679,12208699,12358694,12508691,12658683,12808694,12958694,13108692,13258679,13408717,13558701,13708813,13858717,14008702,14158709,14308717,14458709,14608702,14758694,14908668,15058671,15208702,15358678,15508678,15658664,15808676,15958676,16108671,16258661"
0x8E,0x00,0x55,"0x60,0x7F",0x91,2,"1843,4691"
