ID,Break,Sync,Data,Checksum,Count,Timestamps
0x0D,,0x55,"0x00,0x00",0xF2,98,"21661,171657,321657,471664,621656,771657,921654,1071661,1221657,1371649,1521672,1671677,1821726,1971672,2121664,2271654,2421664,2571649,2721649,2871656,3021641,3171639,3321656,3471680,3621641,3771641,3921657,4071649,4221634,4371634,4521634,4671641,4821631,4971634,5121634,5271641,5421634,5571626,5721626,5871664,6021623,6171626,6321626,6471633,6621626,6771619,6921619,7071626,7221619,7371633,7521615,7671641,7821615,7971634,8121616,8271641,8421641,8571608,8721608,8871634,9021611,9171603,9321611,9471619,9621603,9771600,9921603,10071608,10221600,10371603,10521603,10671611,10821596,10971593,11121596,11271603,11421595,11571595,11721596,11871603,12021588,12171588,12321588,12471596,12621585,12771588,12921600,13071615,13221603,13371611,13521580,13671611,13821577,13971580,14121577,14271587,14421580,14571578"
0x0D,0x00,0x55,"0x00,0x00",0xF2,2,"1494,4309"
0x1F,,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,185,"261,116687,146718,211662,266669,296680,416687,446671,566680,596677,716687,746725,866664,896695,1016679,1046746,1166700,1196695,1316695,1346672,1411657,1466664,1496677,1616677,1646671,1766676,1796672,1861677,1916669,1946672,2066662,2096672,2216672,2246646,2366669,2396672,2516669,2546695,2666654,2696672,2816677,2846657,2966664,2996664,3061657,3116685,3146662,3266654,3296664,3416672,3446657,3566664,3596662,3716662,3746662,3811669,3866654,3896661,4016661,4046649,4166680,4196654,4261646,4316664,4346657,4466649,4496657,4616664,4646662,4711722,4766657,4796657,4861662,4916657,4946657,5066641,5096647,5216654,5246641,5366654,5396646,5516649,5546680,5666631,5696657,5816654,5846639,5966646,5996669,6116676,6146646,6266638,6296649,6416649,6446656,6566646,6596641,6716646,6746649,6811626,6866631,6896649,7016649,7046626,7166664,7196641,7316646,7346639,7466631,7496641,7561618,7616638,7646626,7711634,7766634,7796634,7916639,7946626,8066626,8096634,8216641,8246626,8366634,8396633,8516623,8546664,8666626,8696634,8816631,8846618,8966634,8996633,9116653,9146634,9211611,9266619,9296626,9416631,9446615,9566672,9596626,9716756,9746626,9866654,9896626,9961603,10016649,10046634,12116616,12146616,12266600,12296718,12416611,12446619,12511588,12566608,12596611,12716618,12746649,12866600,12896603,12961600,13016611,13046595,13166608,13196603,13261593,13316608,13346626,13466595,13496626,13616608,13646603,13766600,13796618,13916603,13946639,14066588,14096603,14216596,14246596,14366603,14396603,14516596,14546623"
0x1F,,0x55,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,30,"10111600,10166646,10196623,10316654,10346639,10466634,10496626,10616634,10646633,10766642,10796608,10861611,10916634,10946619,11066626,11096619,11216633,11246631,11311596,11366669,11396616,11516618,11546649,11666600,11696611,11816615,11846600,11966616,11996611,12061603"
0x1F,0x00,0x55,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,7,"1009,1991,3166,3849,4747,6087,6798"
0x32,,0x55,"0x09,0x00",0xC4,59,"131662,281677,431661,581662,731657,881687,1031657,1181657,1331669,1481672,1631654,1781654,1931654,2081662,2231649,2381649,2531649,2681664,2831646,2981646,5831641,5981631,6131631,6281641,6431626,6581624,6731623,6881646,7031634,7181626,7331642,7481631,7631638,7781615,7931639,8081631,8231615,8381639,8531615,11681623,11831687,11981631,12131611,12281603,12431641,12581588,12731611,12881664,13031603,13181588,13331626,13481623,13631588,13781596,13931580,14081593,14231577,14381578,14531580"
0x32,,0x55,"0x08,0xC8",0xFC,38,"3131649,3281672,3431654,3581662,3731641,3881657,4031639,4181638,4331638,4481649,4631642,4781639,4931634,5081646,5231631,5381631,5531631,5681641,8681623,8831616,8981611,9131611,9281624,9431611,9581608,9731611,9881616,10031608,10181603,10331600,10481618,10631601,10781600,10931603,11081616,11231600,11381601,11531593"
0x32,0x00,0x55,"0x09,0x00",0xC4,3,"642,3507,6429"
0x42,,0x55,"0x00,0xFF",0xBD,59,"156692,306708,456687,606733,756707,906687,1056685,1206700,1356715,1506695,1656687,1806679,1956677,2106669,2256657,2406672,2556677,2706672,2856672,3006664,5856631,6006680,6156646,6306657,6456656,6606657,6756646,6906649,7056634,7206664,7356641,7506649,7656631,7806639,7956641,8106641,8256626,8406641,8556634,11706616,11856600,12006618,12156616,12306619,12456603,12606725,12756641,12906608,13056611,13206611,13356611,13506603,13656593,13806611,13956626,14106626,14256649,14406608,14556603"
0x42,,0x55,"0xC8,0xFE",0xF5,38,"3156672,3306661,3456657,3606695,3756672,3906662,4056649,4206680,4356672,4506664,4656649,4806662,4956654,5106657,5256646,5406657,5556656,5706649,8706626,8856626,9006631,9156631,9306642,9456626,9606657,9756634,9906649,10056618,10206649,10356626,10506656,10656608,10806626,10956639,11106619,11256611,11406618,11556608"
