Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_00_no_button_modules_no_presses_no_lights_grouped but NOT in lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0,6,"1161,2412,3067,3966,5171,5676"
IN_A_NOT_B,0x6A,"0x24,0xA0",0x00,1,20670311
IN_A_NOT_B,0xFF,,0x2E,1,5403
,,,,,
=== In lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped but NOT in lin_capture_00_no_button_modules_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF,6,"788,1423,2324,3466,4100,4999"
IN_B_NOT_A,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE,1,5359
IN_B_NOT_A,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,111,"851583,881452,946447,1001455,1031480,1151467,1181455,1246424,1301452,1331440,1451474,1481444,1601455,1631455,1751462,1781447,1901462,1931447,1996424,2051439,2081439,2201444,2231455,6281409,6346401,6401409,6431409,6551394,6581406,6701409,6731394,6796378,6851401,6881406,7001409,7031401,7096386,7151391,7181398,7301409,7331394,7451401,7481398,7601401,7631398,7751386,7781393,7846371,7901399,7931378,8051394,8081393,8146386,8201393,8231391,12281363,12401368,12431363,12551348,12581378,12701378,12731340,12851355,12881378,12946340,13001383,13031355,13151345,13181378,13246333,13301375,13331355,13451347,13481371,13601375,13631340,13751337,13781371,13901371,13931332,14051348,14081345,14201332,14231363,17351310,17381317,17501317,17531325,17651317,17681317,17801317,17831314,17951301,17981317,18101314,18131302,18251310,18281310,18401309,18431309,18496287,18551299,18581309,18701401,18731294,18851324,18881310,19001302,19031302,19151310,19181302"
IN_B_NOT_A,0x32,"0x08,0xC8",0xFC,16,"3266447,3716409,4016432,4766432,4916424,5516401,8966378,9266370,10016394,10616371,11216348,14066325,14216345,15566325,15866317,16016309"
IN_B_NOT_A,0x42,"0xC8,0xFE",0x75,1,3893154
IN_B_NOT_A,0x42,"0xC8,0xFE",0xF5,52,"2991429,3141424,3291440,3441439,3591440,3741424,4041454,4191429,4341416,4491455,4641432,4791424,4941409,5091475,5241463,5391521,5541424,8541409,8691386,8841394,8991386,9141401,9291394,9441386,9591383,9741371,9891386,10041386,10191378,10341370,10491401,10641378,10791393,10941386,11091378,11241371,13941363,14091348,14241348,14391332,14541332,14691371,14841348,14991360,15141332,15291340,15441337,15591332,15741324,15891340,16041332,16191332"
IN_B_NOT_A,0x8E,"0x60,0x7F",0x11,1,14793194
IN_B_NOT_A,0x8E,"0x62,0x7F",0x8F,1,14941355
IN_B_NOT_A,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,128,"121484,271463,421459,571463,721452,871482,1021452,1171475,1321447,1471463,1621447,1771447,1921447,2071447,2221444,2371431,2521440,2671439,2821439,2971429,3121437,3271437,3421447,3571447,3721475,3871428,4021487,4171462,4321462,4471440,4621455,4771521,4921439,5071462,5221432,5371409,5521416,5671440,5821416,5971406,6121417,6271406,6421406,6571398,6721409,6871401,7021401,7171386,7321401,7471399,7621398,7771391,7921398,8071393,8221393,8371386,8521409,8671394,8821391,8971378,9121383,9271386,9421401,9571378,9721406,9871378,10021367,10171370,10321371,10471378,10621375,10771385,10921370,11071368,11221371,11371360,11521383,11671390,11821363,11971352,12121363,12271360,12421383,12571353,12721378,12871345,13021378,13171340,13321378,13471376,13621378,13771340,13921383,14071371,14221345,14371355,14521386,14671371,14821337,14971348,15121337,15271340,15421333,15571325,15721322,15871332,16021325,16171325,16321329,16471347,16621340,16771316,16921322,17071325,17221317,17371317,17521322,17671317,17821310,17971309,18121337,18271309,18421309,18571294,18721339,18871302,19021340,19171301"
IN_B_NOT_A,0xB1,"0x04,0xC8",0x81,54,"3026416,3176424,3326447,3476424,3626409,3776417,3926417,4076416,4226406,4376409,4526409,4676409,4826401,4976455,5126408,5276406,5426394,5576401,8426371,8576393,8726378,8876394,9026363,9176394,9326390,9476371,9626378,9776447,9926401,10076386,10226383,10376378,10526363,10676378,10826378,10976393,11126393,11276371,13976348,14126332,14276348,14426321,14576348,14726333,14876345,15026317,15176333,15326324,15476332,15626310,15776317,15926317,16076317,16226307"
IN_B_NOT_A,0xCF,"0x04,0xFE",0x2D,54,"2936432,3086414,3236439,3386409,3536424,3686408,3836408,3986409,4136416,4286401,4436401,4586401,4736414,4886401,5036401,5186401,5336409,5486394,5636393,8486371,8636368,8786394,8936378,9086363,9236363,9386363,9536394,9686371,9836378,9986386,10136386,10286378,10436394,10586378,10736363,10886355,11036348,11186347,13886325,14036340,14186324,14336352,14486325,14636337,14786317,14936455,15086317,15236332,15386317,15536324,15686332,15836309,15986325,16136317"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,23,,,,
Total messages in B,31,,,,
Unique to A,3,,,,
Unique to B,11,,,,
Messages in common,20,,,,
