Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_00_no_button_modules_no_presses_no_lights_grouped but NOT in lin_capture_02_drivers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0,6,"1161,2412,3067,3966,5171,5676"
IN_A_NOT_B,0x6A,"0x24,0xA0",0x00,1,20670311
IN_A_NOT_B,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1,1,2836
IN_A_NOT_B,0xC4,,0xFF,22,"400514,700504,1450515,2650499,2950483,3550476,3700476,4300468,4900458,7900433,8500426,10450421,10750400,12100391,13750364,14050380,14350380,15100349,15700349,17050341,17800357,19300333"
IN_A_NOT_B,0xC4,,0x00,3,"1101,3909,5619"
IN_A_NOT_B,0xFF,,0x2E,1,5403
,,,,,
=== In lin_capture_02_drivers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_00_no_button_modules_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,126,"1486941,1516919,1581911,1636918,1666941,1731904,1786911,1816910,1881893,1936919,1966904,2031894,2086919,2116911,2181925,2236917,2266918,2331919,2386894,2416919,2481888,2536918,2566904,2631891,2686912,2716912,2781918,2836911,2866912,2931888,2986902,3016912,3081904,3136912,3166896,3231883,3286903,3316904,3381918,3436910,3466912,3531884,3586893,3616910,3681903,3736903,3766888,3832017,3886903,3916902,3981904,4036903,4066904,4131902,4186894,4216903,4281911,4336901,4366891,4431875,4486894,4516911,4581927,4636901,4666883,4731875,4786884,4816898,4881888,4936897,11481838,11536853,11566850,11631821,11686844,11716845,11781834,11836846,11866845,11931822,11986830,12016846,12081815,12136845,12166830,12231815,12286837,12316834,12381850,12436838,12466834,12531814,12586829,12616834,12681814,12736837,12766849,12831815,12886857,12916838,12981822,13036830,13066830,13131812,13186819,13216819,13281807,13336838,13366821,13431804,14481804,14536844,14566814,14631799,14686822,14716821,14781833,14836819,14866822,14931822,14986807,15016820,15081853,15136821,15166819,15231792"
IN_B_NOT_A,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,6,"347,1424,2681,3335,4342,6608"
IN_B_NOT_A,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,2,"3105,7037"
IN_B_NOT_A,0xC4,"0x01,0xFF",0x3A,2,"1303,4229"
IN_B_NOT_A,0xDD,"0x00,0xFC,0x25,0x00,0x00,0x0C,0x00,0xC0",0xFF,1,5373
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,23,,,,
Total messages in B,22,,,,
Unique to A,6,,,,
Unique to B,5,,,,
Messages in common,17,,,,
