Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_02_drivers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_03_drivers_button_module_heat_presses_every_3s_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,126,"1486941,1516919,1581911,1636918,1666941,1731904,1786911,1816910,1881893,1936919,1966904,2031894,2086919,2116911,2181925,2236917,2266918,2331919,2386894,2416919,2481888,2536918,2566904,2631891,2686912,2716912,2781918,2836911,2866912,2931888,2986902,3016912,3081904,3136912,3166896,3231883,3286903,3316904,3381918,3436910,3466912,3531884,3586893,3616910,3681903,3736903,3766888,3832017,3886903,3916902,3981904,4036903,4066904,4131902,4186894,4216903,4281911,4336901,4366891,4431875,4486894,4516911,4581927,4636901,4666883,4731875,4786884,4816898,4881888,4936897,11481838,11536853,11566850,11631821,11686844,11716845,11781834,11836846,11866845,11931822,11986830,12016846,12081815,12136845,12166830,12231815,12286837,12316834,12381850,12436838,12466834,12531814,12586829,12616834,12681814,12736837,12766849,12831815,12886857,12916838,12981822,13036830,13066830,13131812,13186819,13216819,13281807,13336838,13366821,13431804,14481804,14536844,14566814,14631799,14686822,14716821,14781833,14836819,14866822,14931822,14986807,15016820,15081853,15136821,15166819,15231792"
IN_A_NOT_B,0xDD,"0x00,0xFC,0x25,0x00,0x00,0x0C,0x00,0xC0",0xFF,1,5373
,,,,,
=== In lin_capture_03_drivers_button_module_heat_presses_every_3s_no_lights_grouped but NOT in lin_capture_02_drivers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x1F,,0x7D,1,14997991
IN_B_NOT_A,0x80,"0x00,0xFF,0xFF",0xCC,1,5349
IN_B_NOT_A,0xB1,"0x1C,0x00",0x32,19,"9193045,9343038,9493030,9643030,9793030,9943029,10093022,10243030,10393022,10543022,10693014,10843045,10993022,11143022,11293007,11443015,11593015,11743015,11893006"
IN_B_NOT_A,0xB1,"0x2C,0x00",0x22,21,"6043060,6193053,6343068,6493045,6643049,6793053,6943076,7093038,7243065,7393045,7543068,7693053,7843065,7993061,8143068,8293030,8443060,8593061,8743037,8893045,9043030"
IN_B_NOT_A,0xB1,"0x3C,0x00",0x12,20,"3043076,3193076,3343076,3493065,3643068,3793076,3943073,4093061,4243068,4393068,4543068,4693061,4843061,4993061,5143061,5293053,5443058,5593060,5743060,5893045"
IN_B_NOT_A,0xC4,"0x41,0xFF",0xF9,7,"2753068,5603060,5753045,8753022,8903022,11603015,11753007"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,22,,,,
Total messages in B,26,,,,
Unique to A,2,,,,
Unique to B,6,,,,
Messages in common,20,,,,
