Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_02_drivers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_04_drivers_button_module_vent_presses_every_3s_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,126,"1486941,1516919,1581911,1636918,1666941,1731904,1786911,1816910,1881893,1936919,1966904,2031894,2086919,2116911,2181925,2236917,2266918,2331919,2386894,2416919,2481888,2536918,2566904,2631891,2686912,2716912,2781918,2836911,2866912,2931888,2986902,3016912,3081904,3136912,3166896,3231883,3286903,3316904,3381918,3436910,3466912,3531884,3586893,3616910,3681903,3736903,3766888,3832017,3886903,3916902,3981904,4036903,4066904,4131902,4186894,4216903,4281911,4336901,4366891,4431875,4486894,4516911,4581927,4636901,4666883,4731875,4786884,4816898,4881888,4936897,11481838,11536853,11566850,11631821,11686844,11716845,11781834,11836846,11866845,11931822,11986830,12016846,12081815,12136845,12166830,12231815,12286837,12316834,12381850,12436838,12466834,12531814,12586829,12616834,12681814,12736837,12766849,12831815,12886857,12916838,12981822,13036830,13066830,13131812,13186819,13216819,13281807,13336838,13366821,13431804,14481804,14536844,14566814,14631799,14686822,14716821,14781833,14836819,14866822,14931822,14986807,15016820,15081853,15136821,15166819,15231792"
IN_A_NOT_B,0xDD,"0x00,0xFC,0x25,0x00,0x00,0x0C,0x00,0xC0",0xFF,1,5373
,,,,,
=== In lin_capture_04_drivers_button_module_vent_presses_every_3s_no_lights_grouped but NOT in lin_capture_02_drivers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,2,"5727,6951"
IN_B_NOT_A,0xB1,"0x4C,0x00",0x02,19,"9377914,9527899,9677906,9827914,9977906,10127899,10277906,10427906,10577906,10727891,10877904,11027899,11177898,11327891,11477899,11627914,11777914,11927883,12077888"
IN_B_NOT_A,0xB1,"0x8C,0x00",0xC1,20,"6377945,6527944,6677944,6827975,6977965,7127934,7278021,7427945,7577942,7727929,7877960,8027937,8177960,8327929,8477914,8627914,8777914,8927927,9077914,9227913"
IN_B_NOT_A,0xB1,"0xCC,0x00",0x81,20,"3377952,3527945,3677952,3827952,3977952,4127945,4277942,4427945,4577945,4727937,4877945,5027945,5177945,5327934,5477934,5628074,5777942,5927929,6077975,6227949"
IN_B_NOT_A,0xC4,"0x11,0xFF",0x2A,4,"3087944,6087922,9087922,11937883"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,22,,,,
Total messages in B,25,,,,
Unique to A,2,,,,
Unique to B,5,,,,
Messages in common,20,,,,
