Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped but NOT in lin_capture_05_drivers_button_module_no_presses_lights_cycled_every_3s_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF,6,"788,1423,2324,3466,4100,4999"
IN_A_NOT_B,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE,1,5359
IN_A_NOT_B,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,111,"851583,881452,946447,1001455,1031480,1151467,1181455,1246424,1301452,1331440,1451474,1481444,1601455,1631455,1751462,1781447,1901462,1931447,1996424,2051439,2081439,2201444,2231455,6281409,6346401,6401409,6431409,6551394,6581406,6701409,6731394,6796378,6851401,6881406,7001409,7031401,7096386,7151391,7181398,7301409,7331394,7451401,7481398,7601401,7631398,7751386,7781393,7846371,7901399,7931378,8051394,8081393,8146386,8201393,8231391,12281363,12401368,12431363,12551348,12581378,12701378,12731340,12851355,12881378,12946340,13001383,13031355,13151345,13181378,13246333,13301375,13331355,13451347,13481371,13601375,13631340,13751337,13781371,13901371,13931332,14051348,14081345,14201332,14231363,17351310,17381317,17501317,17531325,17651317,17681317,17801317,17831314,17951301,17981317,18101314,18131302,18251310,18281310,18401309,18431309,18496287,18551299,18581309,18701401,18731294,18851324,18881310,19001302,19031302,19151310,19181302"
IN_A_NOT_B,0x42,"0xC8,0xFE",0x75,1,3893154
IN_A_NOT_B,0x8E,"0x60,0x7F",0x11,1,14793194
IN_A_NOT_B,0x8E,"0x62,0x7F",0x8F,1,14941355
IN_A_NOT_B,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1,2,"1196,3869"
IN_A_NOT_B,0xC4,,0xFF,27,"186439,936439,1236424,1986424,2886432,3036413,3486409,4536417,4836401,4986394,5286393,6336401,6786378,7086378,7836371,8136383,8586371,9636371,10236370,10386378,11886355,12936348,13236332,14586317,14736347,16986302,18486287"
IN_A_NOT_B,0xC4,,0x00,2,"2267,4938"
,,,,,
=== In lin_capture_05_drivers_button_module_no_presses_lights_cycled_every_3s_grouped but NOT in lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,2,"3557,4702"
IN_B_NOT_A,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,4,"809,1965,2603,6335"
IN_B_NOT_A,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF",0xFF,1,14736249
IN_B_NOT_A,0x9C,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3,1,14631242
IN_B_NOT_A,0x9C,"0x00,0x00,0x2B,0x10,0x00,0xFF",0xBD,1,5104
IN_B_NOT_A,0xC4,"0x01,0xFF",0x3A,3,"688,3441,5848"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,31,,,,
Total messages in B,28,,,,
Unique to A,9,,,,
Unique to B,6,,,,
Messages in common,22,,,,
