Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_00_no_button_modules_no_presses_no_lights_grouped but NOT in lin_capture_06_passengers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x79,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xD0,6,"1161,2412,3067,3966,5171,5676"
IN_A_NOT_B,0x6A,"0x24,0xA0",0x00,1,20670311
IN_A_NOT_B,0x80,,0xFF,28,"625530,775535,1075515,1225521,1375530,1675512,2725515,3625522,4225491,5275476,6475476,8425453,8875436,9175446,9325438,11425446,12625413,14125473,15025377,15625371,15925372,16075356,16375364,17125354,17425354,17725545,17875333,18775341"
IN_A_NOT_B,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1,1,2836
IN_A_NOT_B,0xFF,,0x2E,1,5403
,,,,,
=== In lin_capture_06_passengers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_00_no_button_modules_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,4,"2351,3566,4188,5195"
IN_B_NOT_A,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,2,"670,1394"
IN_B_NOT_A,0x80,"0x80,0xFF",0xFE,127,"24248,174233,324249,474248,624247,774232,924247,1074241,1224241,1374233,1524241,1674241,1824396,1974216,2124233,2274233,2424240,2574226,2724233,2874233,3024443,3174218,3324225,3474233,3624256,3774218,3924224,4074226,4224249,4374211,4524218,4674217,4824210,4974202,5124239,5274239,5424395,5574226,5724241,5874233,6024247,6174201,6324233,6474210,6624487,6774195,6924225,7074218,7224202,7374187,7524210,7674195,7824255,7974210,8124225,8274225,8424195,8574180,8724218,8874224,9024210,9174194,9324217,9474218,9624210,9774172,9924187,10074187,10224185,10374173,10524172,10674185,10824180,10974164,11124179,11274179,11424387,11574164,11724172,11874172,12024172,12174164,12324171,12474170,12624301,12774157,12924164,13074195,13224164,13374141,13524179,13674162,13824187,13974170,14124178,14274156,14424156,14574141,14724156,14874157,15024157,15174163,15324148,15474149,15624149,15774141,15924149,16074149,16224240,16374134,16524141,16674248,16824141,16974134,17124141,17274141,17424333,17574141,17724133,17874141,18024166,18174121,18324241,18474156,18624226,18774156,18924164"
IN_B_NOT_A,0x9C,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3,4,"1684241,5434211,10984173,11734171"
IN_B_NOT_A,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,2,"1138,3961"
IN_B_NOT_A,0xC4,"0x01,0xFF",0x3A,2,"2233,5081"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,23,,,,
Total messages in B,24,,,,
Unique to A,5,,,,
Unique to B,6,,,,
Messages in common,18,,,,
