Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_06_passengers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_07_passengers_button_module_heat_presses_every_3s_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,4,"2351,3566,4188,5195"
IN_A_NOT_B,0x80,,0x00,2,"967,3786"
IN_A_NOT_B,0xC4,"0x01,0xFF",0x3A,2,"2233,5081"
,,,,,
=== In lin_capture_07_passengers_button_module_heat_presses_every_3s_no_lights_grouped but NOT in lin_capture_06_passengers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x32,"0x49,0x00",0x84,21,"9840641,9990657,10140664,10290641,10440638,10590664,10740665,10890656,11040635,11190646,11340630,11490649,11640646,11790657,11940631,12090649,12240623,12390656,12540623,12690623,12840623"
IN_B_NOT_A,0x32,"0x89,0x00",0x44,21,"6690661,6840680,6990672,7140684,7290657,7440685,7590672,7740679,7890653,8040680,8190664,8340677,8490650,8640649,8790664,8940672,9090649,9240672,9390658,9540672,9690664"
IN_B_NOT_A,0x32,"0xC9,0x00",0x04,21,"3540725,3690676,3840708,3990710,4140680,4290676,4440702,4590687,4740695,4890672,5040695,5190679,5340715,5490669,5640664,5790679,5940691,6090687,6240664,6390672,6540687"
IN_B_NOT_A,0x80,"0x88,0xFF",0xF6,4,"3235748,6385687,9535679,12685649"
IN_B_NOT_A,0x8E,,0x60,1,16115623
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,24,,,,
Total messages in B,26,,,,
Unique to A,3,,,,
Unique to B,5,,,,
Messages in common,21,,,,
