Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_06_passengers_button_module_no_presses_no_lights_grouped but NOT in lin_capture_08_passengers_button_module_vent_presses_every_3s_no_lights_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,4,"2351,3566,4188,5195"
IN_A_NOT_B,0x80,,0x00,2,"967,3786"
IN_A_NOT_B,0xC4,"0x01,0xFF",0x3A,2,"2233,5081"
,,,,,
=== In lin_capture_08_passengers_button_module_vent_presses_every_3s_no_lights_grouped but NOT in lin_capture_06_passengers_button_module_no_presses_no_lights_grouped ===,,,,,
IN_B_NOT_A,0x32,"0x09,0x00,0xC4,0x00,0xFF,0xFF",0xCB,1,5265
IN_B_NOT_A,0x32,"0x19,0x00",0xB4,20,"10283702,10433686,10583686,10733687,10883694,11033683,11183679,11333679,11483694,11633678,11783679,11933679,12083686,12233679,12383679,12533671,12683701,12833671,12983686,13133686"
IN_B_NOT_A,0x32,"0x29,0x00",0xA4,22,"6983709,7133709,7283717,7433706,7583722,7733702,7883714,8033701,8183699,8333725,8483714,8633699,8783694,8933694,9083706,9233694,9383693,9533691,9683706,9833686,9983687,10133686"
IN_B_NOT_A,0x32,"0x39,0x00",0x94,22,"3683778,3833763,3983745,4133740,4283755,4433741,4583721,4733722,4883732,5033717,5183763,5333717,5483729,5633719,5783717,5933717,6083745,6233740,6383736,6533709,6683722,6833709"
IN_B_NOT_A,0x80,"0xA0,0xFF",0xDE,6,"3228771,3378770,6678722,9978709,12828694,12978693"
IN_B_NOT_A,0xCF,0x0C,0xFE,1,16403648
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,24,,,,
Total messages in B,27,,,,
Unique to A,3,,,,
Unique to B,6,,,,
Messages in common,21,,,,
