Section,ID,Data,Checksum,Count,Timestamps
=== In lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped but NOT in lin_capture_09_passengers_button_module_no_presses_lights_cycled_every_3s_grouped ===,,,,,
IN_A_NOT_B,0x1F,"0x7A,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCF,6,"788,1423,2324,3466,4100,4999"
IN_A_NOT_B,0x1F,"0x7B,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCE,1,5359
IN_A_NOT_B,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD,111,"851583,881452,946447,1001455,1031480,1151467,1181455,1246424,1301452,1331440,1451474,1481444,1601455,1631455,1751462,1781447,1901462,1931447,1996424,2051439,2081439,2201444,2231455,6281409,6346401,6401409,6431409,6551394,6581406,6701409,6731394,6796378,6851401,6881406,7001409,7031401,7096386,7151391,7181398,7301409,7331394,7451401,7481398,7601401,7631398,7751386,7781393,7846371,7901399,7931378,8051394,8081393,8146386,8201393,8231391,12281363,12401368,12431363,12551348,12581378,12701378,12731340,12851355,12881378,12946340,13001383,13031355,13151345,13181378,13246333,13301375,13331355,13451347,13481371,13601375,13631340,13751337,13781371,13901371,13931332,14051348,14081345,14201332,14231363,17351310,17381317,17501317,17531325,17651317,17681317,17801317,17831314,17951301,17981317,18101314,18131302,18251310,18281310,18401309,18431309,18496287,18551299,18581309,18701401,18731294,18851324,18881310,19001302,19031302,19151310,19181302"
IN_A_NOT_B,0x42,"0xC8,0xFE",0x75,1,3893154
IN_A_NOT_B,0x80,,0x00,2,"1025,3698"
IN_A_NOT_B,0x80,,0xFF,30,"861463,1911474,2811445,3261439,3711447,4011947,4761439,4911444,5511417,5661416,6411677,6711409,7611567,8961378,9261378,10011947,10611559,11211702,11961355,12111352,12261371,13011355,14061370,14211391,15561325,15861332,16011721,17811306,18711325,18861325"
IN_A_NOT_B,0x8E,"0x60,0x7F",0x11,1,14793194
IN_A_NOT_B,0x8E,"0x62,0x7F",0x8F,1,14941355
IN_A_NOT_B,0x9C,"0x00,0x00,0x2C,0x10,0xE0,0xFF,0x3F,0x35",0xD1,2,"1196,3869"
,,,,,
=== In lin_capture_09_passengers_button_module_no_presses_lights_cycled_every_3s_grouped but NOT in lin_capture_01_no_button_modules_no_presses_lights_cycled_every_3s_grouped ===,,,,,
IN_B_NOT_A,0x1F,"0x7D,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCC,30,"10111600,10166646,10196623,10316654,10346639,10466634,10496626,10616634,10646633,10766642,10796608,10861611,10916634,10946619,11066626,11096619,11216633,11246631,11311596,11366669,11396616,11516618,11546649,11666600,11696611,11816615,11846600,11966616,11996611,12061603"
IN_B_NOT_A,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB,7,"1009,1991,3166,3849,4747,6087,6798"
IN_B_NOT_A,0x55,,0xE9,1,5320
IN_B_NOT_A,0x80,"0x80,0xFF",0xFE,3,"522,3393,6316"
IN_B_NOT_A,0x9C,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3,10,"1036677,1186677,2086664,2386672,3436664,5236649,6886638,7336638,9436631,11536616"
,,,,,
=== SUMMARY ===,,,,,
Total messages in A,31,,,,
Total messages in B,27,,,,
Unique to A,9,,,,
Unique to B,5,,,,
Messages in common,22,,,,
